PROJECTCOD,CertificateNo,Received,Reported,HOLEID,SAMPLEID,SAMPLETYPE,SapSubType,Point_Type,Dsptch_L_D,SmpDspDate,SmpRetDate,Lab_L_D,Labjobno,AnalysisLD,SampWt_g_D,Wtkg,Wtcru_dry_kg,Tot_Weight_CRU,Pass_2mm_pct,Rmnd_2mm_pct,WT_MinusFrac_CRU_g,WT_PlusFrac_CRU_g,Tot_Weight_PUL_g,Pass_75um_pct,Rmnd_75um_pct,WT_MinusFrac_PUL_g,WT_PlusFrac_PUL_g,Ag_ppm,Ag_ppm_GMD,Ag_ppm_LDD,Ag_ppm_UDD,Al_pct,Al_pct_GMD,Al_pct_LDD,Al_pct_UDD,As_ppm,As_ppm_GMD,As_ppm_LDD,As_ppm_UDD,Ba_ppm,Ba_ppm_GMD,Ba_ppm_LDD,Ba_ppm_UDD,Be_ppm,Be_ppm_GMD,Be_ppm_LDD,Be_ppm_UDD,Bi_ppm,Bi_ppm_GMD,Bi_ppm_LDD,Bi_ppm_UDD,Ca_pct,Ca_pct_GMD,Ca_pct_LDD,Ca_pct_UDD,Cd_ppm,Cd_ppm_GMD,Cd_ppm_LDD,Cd_ppm_UDD,Co_ppm,Co_ppm_GMD,Co_ppm_LDD,Co_ppm_UDD,Cr_ppm,Cr_ppm_GMD,Cr_ppm_LDD,Cr_ppm_UDD,Cu_ppm,Cu_ppm_GMD,Cu_ppm_LDD,Cu_ppm_UDD,Fe_pct,Fe_pct_GMD,Fe_pct_LDD,Fe_pct_UDD,K_pct,K_pct_GMD,K_pct_LDD,K_pct_UDD,La_ppm,La_ppm_GMD,La_ppm_LDD,La_ppm_UDD,Li_ppm,Li_ppm_GMD,Li_ppm_LDD,Li_ppm_UDD,Mg_pct,Mg_pct_GMD,Mg_pct_LDD,Mg_pct_UDD,Mn_ppm,Mn_ppm_GMD,Mn_ppm_LDD,Mn_ppm_UDD,Mo_ppm,Mo_ppm_GMD,Mo_ppm_LDD,Mo_ppm_UDD,Na_pct,Na_pct_GMD,Na_pct_LDD,Na_pct_UDD,Ni_ppm,Ni_ppm_GMD,Ni_ppm_LDD,Ni_ppm_UDD,P_pct,P_pct_GMD,P_pct_LDD,P_pct_UDD,Pb_ppm,Pb_ppm_GMD,Pb_ppm_LDD,Pb_ppm_UDD,S_pct,S_pct_GMD,S_pct_LDD,S_pct_UDD,Sb_ppm,Sb_ppm_GMD,Sb_ppm_LDD,Sb_ppm_UDD,Sc_ppm,Sc_ppm_GMD,Sc_ppm_LDD,Sc_ppm_UDD,Sn_ppm,Sn_ppm_GMD,Sn_ppm_LDD,Sn_ppm_UDD,Sr_ppm,Sr_ppm_GMD,Sr_ppm_LDD,Sr_ppm_UDD,Ti_pct,Ti_pct_GMD,Ti_pct_LDD,Ti_pct_UDD,V_ppm,V_ppm_GMD,V_ppm_LDD,V_ppm_UDD,W_ppm,W_ppm_GMD,W_ppm_LDD,W_ppm_UDD,Y_ppm,Y_ppm_GMD,Y_ppm_LDD,Y_ppm_UDD,Zn_ppm,Zn_ppm_GMD,Zn_ppm_LDD,Zn_ppm_UDD,Zr_ppm,Zr_ppm_GMD,Zr_ppm_LDD,Zr_ppm_UDD,Ag_ppm_AAS42S,Ag_ppm_AAS42S_GMD,Ag_ppm_AAS42S_LDD,Ag_ppm_AAS42S_UDD,Cu_pct,Cu_pct_GMD,Cu_pct_LDD,Cu_pct_UDD,Zn_pct,Zn_pct_GMD,Zn_pct_LDD,Zn_pct_UDD,SampleID_orig,Wtkg_KG[WGH10],Wtcru_dry_kg_KG[CRU24],Tot. Weight_G[CRU-QA/QC],Pass 2mm_%[CRU-QA/QC],Rmnd 2mm_%[CRU-QA/QC],WT. - Frac Entire_G[CRU-QA/QC],WT. + Frac Entire_G[CRU-QA/QC],Tot. Weight_G[PUL-QA/QC],Pass 75um_%[PUL-QA/QC],Rmnd 75um_%[PUL-QA/QC],WT. - Frac Entire_G[PUL-QA/QC],WT. + Frac Entire_G[PUL-QA/QC],Ag_ppm[ICP40B|LDL:2|UDL:10],Al_pct[ICP40B|LDL:0.01|UDL:15],As_ppm[ICP40B|LDL:3|UDL:10000],Ba_ppm[ICP40B|LDL:1|UDL:10000],Be_ppm[ICP40B|LDL:0.5|UDL:2500],Bi_ppm[ICP40B|LDL:5|UDL:10000],Ca_pct[ICP40B|LDL:0.01|UDL:15],Cd_ppm[ICP40B|LDL:1|UDL:10000],Co_ppm[ICP40B|LDL:1|UDL:10000],Cr_ppm[ICP40B|LDL:1|UDL:10000],Cu_ppm[ICP40B|LDL:0.5|UDL:10000],Fe_pct[ICP40B|LDL:0.01|UDL:15],K_pct[ICP40B|LDL:0.01|UDL:15],La_ppm[ICP40B|LDL:0.5|UDL:10000],Li_ppm[ICP40B|LDL:1|UDL:10000],Mg_pct[ICP40B|LDL:0.01|UDL:15],Mn_ppm[ICP40B|LDL:2|UDL:10000],Mo_ppm[ICP40B|LDL:1|UDL:10000],Na_pct[ICP40B|LDL:0.01|UDL:15],Ni_ppm[ICP40B|LDL:1|UDL:10000],P_pct[ICP40B|LDL:0.01|UDL:15],Pb_ppm[ICP40B|LDL:2|UDL:10000],S_pct[ICP40B|LDL:0.01|UDL:5],Sb_ppm[ICP40B|LDL:5|UDL:10000],Sc_ppm[ICP40B|LDL:0.5|UDL:10000],Sn_ppm[ICP40B|LDL:10|UDL:10000],Sr_ppm[ICP40B|LDL:0.5|UDL:5000],Ti_pct[ICP40B|LDL:0.01|UDL:15],V_ppm[ICP40B|LDL:2|UDL:10000],W_ppm[ICP40B|LDL:10|UDL:10000],Y_ppm[ICP40B|LDL:0.5|UDL:10000],Zn_ppm[ICP40B|LDL:1|UDL:10000],Zr_ppm[ICP40B|LDL:0.5|UDL:10000],Ag_ppm[AAS42S|LDL:5|UDL:500],Cu_pct[AAS42S|LDL:0.001|UDL:50],Zn_pct[AAS42S|LDL:0.001|UDL:5]
Tannenberg,TR2502688,08-Nov-25,14-Nov-25,,PAL01684,Core,Drill Core,Drillhole,TR2502688     168             384,08-Nov-25,14-Nov-25,TR2502688,TR2502688     168             384,,1.48,1.48,1.48,,,,,,,,,,,<2,ICP40B,2,10,0.50,ICP40B,0.01,15,<3,ICP40B,3,10000,18,ICP40B,1,10000,<0.5,ICP40B,0.5,2500,<5,ICP40B,5,10000,>15,ICP40B,0.01,15,<1,ICP40B,1,10000,<1,ICP40B,1,10000,2,ICP40B,1,10000,0.6,ICP40B,0.5,10000,0.46,ICP40B,0.01,15,0.16,ICP40B,0.01,15,3.5,ICP40B,0.5,10000,5,ICP40B,1,10000,10.9,ICP40B,0.01,15,643,ICP40B,2,10000,<1,ICP40B,1,10000,0.03,ICP40B,0.01,15,<1,ICP40B,1,10000,<0.01,ICP40B,0.01,15,5,ICP40B,2,10000,0.03,ICP40B,0.01,5,<5,ICP40B,5,10000,<0.5,ICP40B,0.5,10000,<10,ICP40B,10,10000,29.3,ICP40B,0.5,5000,0.01,ICP40B,0.01,15,<2,ICP40B,2,10000,<10,ICP40B,10,10000,2.9,ICP40B,0.5,10000,44,ICP40B,1,10000,11.1,ICP40B,0.5,10000,,AAS42S,5,500,,AAS42S,0.001,50,,AAS42S,0.001,5,PAL01684,1.48,1.48,-,-,-,-,-,-,-,-,-,-,<2,0.50,<3,18,<0.5,<5,>15,<1,<1,2,0.6,0.46,0.16,3.5,5,10.9,643,<1,0.03,<1,<0.01,5,0.03,<5,<0.5,<10,29.3,0.01,<2,<10,2.9,44,11.1,-,-,-
Tannenberg,TR2502688,08-Nov-25,14-Nov-25,,PAL01685,Core,Drill Core,Drillhole,TR2502688     168             384,08-Nov-25,14-Nov-25,TR2502688,TR2502688     168             384,,1.66,1.66,1.66,,,,,,,,,,,<2,ICP40B,2,10,3.69,ICP40B,0.01,15,13,ICP40B,3,10000,422,ICP40B,1,10000,0.7,ICP40B,0.5,2500,<5,ICP40B,5,10000,4.49,ICP40B,0.01,15,<1,ICP40B,1,10000,4,ICP40B,1,10000,11,ICP40B,1,10000,5.7,ICP40B,0.5,10000,1.29,ICP40B,0.01,15,1.77,ICP40B,0.01,15,11.3,ICP40B,0.5,10000,21,ICP40B,1,10000,0.33,ICP40B,0.01,15,1114,ICP40B,2,10000,1,ICP40B,1,10000,0.85,ICP40B,0.01,15,11,ICP40B,1,10000,0.03,ICP40B,0.01,15,13,ICP40B,2,10000,0.02,ICP40B,0.01,5,<5,ICP40B,5,10000,3.0,ICP40B,0.5,10000,<10,ICP40B,10,10000,133,ICP40B,0.5,5000,0.10,ICP40B,0.01,15,23,ICP40B,2,10000,<10,ICP40B,10,10000,13.1,ICP40B,0.5,10000,13,ICP40B,1,10000,36.0,ICP40B,0.5,10000,,AAS42S,5,500,,AAS42S,0.001,50,,AAS42S,0.001,5,PAL01685,1.66,1.66,-,-,-,-,-,-,-,-,-,-,<2,3.69,13,422,0.7,<5,4.49,<1,4,11,5.7,1.29,1.77,11.3,21,0.33,1114,1,0.85,11,0.03,13,0.02,<5,3.0,<10,133,0.10,23,<10,13.1,13,36.0,-,-,-
Tannenberg,TR2502688,08-Nov-25,14-Nov-25,,PAL01686,Core,Drill Core,Drillhole,TR2502688     168             384,08-Nov-25,14-Nov-25,TR2502688,TR2502688     168             384,,1.63,1.63,1.63,,,,,,,,,,,<2,ICP40B,2,10,3.82,ICP40B,0.01,15,12,ICP40B,3,10000,1200,ICP40B,1,10000,0.7,ICP40B,0.5,2500,<5,ICP40B,5,10000,2.80,ICP40B,0.01,15,<1,ICP40B,1,10000,6,ICP40B,1,10000,14,ICP40B,1,10000,6.3,ICP40B,0.5,10000,1.48,ICP40B,0.01,15,1.95,ICP40B,0.01,15,9.7,ICP40B,0.5,10000,24,ICP40B,1,10000,0.46,ICP40B,0.01,15,820,ICP40B,2,10000,1,ICP40B,1,10000,0.91,ICP40B,0.01,15,15,ICP40B,1,10000,0.03,ICP40B,0.01,15,11,ICP40B,2,10000,0.10,ICP40B,0.01,5,<5,ICP40B,5,10000,3.0,ICP40B,0.5,10000,<10,ICP40B,10,10000,305,ICP40B,0.5,5000,0.11,ICP40B,0.01,15,24,ICP40B,2,10000,<10,ICP40B,10,10000,9.8,ICP40B,0.5,10000,21,ICP40B,1,10000,38.1,ICP40B,0.5,10000,,AAS42S,5,500,,AAS42S,0.001,50,,AAS42S,0.001,5,PAL01686,1.63,1.63,-,-,-,-,-,-,-,-,-,-,<2,3.82,12,1200,0.7,<5,2.80,<1,6,14,6.3,1.48,1.95,9.7,24,0.46,820,1,0.91,15,0.03,11,0.10,<5,3.0,<10,305,0.11,24,<10,9.8,21,38.1,-,-,-
Tannenberg,TR2502688,08-Nov-25,14-Nov-25,,PAL01687,Core,Drill Core,Drillhole,TR2502688     168             384,08-Nov-25,14-Nov-25,TR2502688,TR2502688     168             384,,1.74,1.74,1.74,,,,,,,,,,,<2,ICP40B,2,10,4.35,ICP40B,0.01,15,24,ICP40B,3,10000,1058,ICP40B,1,10000,1.8,ICP40B,0.5,2500,<5,ICP40B,5,10000,1.05,ICP40B,0.01,15,<1,ICP40B,1,10000,8,ICP40B,1,10000,30,ICP40B,1,10000,5.0,ICP40B,0.5,10000,2.51,ICP40B,0.01,15,3.04,ICP40B,0.01,15,20.8,ICP40B,0.5,10000,39,ICP40B,1,10000,0.64,ICP40B,0.01,15,404,ICP40B,2,10000,2,ICP40B,1,10000,0.85,ICP40B,0.01,15,22,ICP40B,1,10000,0.05,ICP40B,0.01,15,14,ICP40B,2,10000,0.14,ICP40B,0.01,5,6,ICP40B,5,10000,6.6,ICP40B,0.5,10000,<10,ICP40B,10,10000,302,ICP40B,0.5,5000,0.21,ICP40B,0.01,15,55,ICP40B,2,10000,<10,ICP40B,10,10000,11.8,ICP40B,0.5,10000,30,ICP40B,1,10000,59.6,ICP40B,0.5,10000,,AAS42S,5,500,,AAS42S,0.001,50,,AAS42S,0.001,5,PAL01687,1.74,1.74,-,-,-,-,-,-,-,-,-,-,<2,4.35,24,1058,1.8,<5,1.05,<1,8,30,5.0,2.51,3.04,20.8,39,0.64,404,2,0.85,22,0.05,14,0.14,6,6.6,<10,302,0.21,55,<10,11.8,30,59.6,-,-,-
Tannenberg,TR2502688,08-Nov-25,14-Nov-25,,*DUP-PAL01687,Core,Drill Core,Drillhole,TR2502688     168             384,08-Nov-25,14-Nov-25,TR2502688,TR2502688     168             384,,0.00,0.00,0.00,,,,,,,,,,,<2,ICP40B,2,10,4.42,ICP40B,0.01,15,25,ICP40B,3,10000,1058,ICP40B,1,10000,1.7,ICP40B,0.5,2500,<5,ICP40B,5,10000,1.07,ICP40B,0.01,15,<1,ICP40B,1,10000,8,ICP40B,1,10000,31,ICP40B,1,10000,5.7,ICP40B,0.5,10000,2.57,ICP40B,0.01,15,3.11,ICP40B,0.01,15,21.5,ICP40B,0.5,10000,39,ICP40B,1,10000,0.65,ICP40B,0.01,15,411,ICP40B,2,10000,3,ICP40B,1,10000,0.87,ICP40B,0.01,15,22,ICP40B,1,10000,0.05,ICP40B,0.01,15,17,ICP40B,2,10000,0.15,ICP40B,0.01,5,9,ICP40B,5,10000,6.7,ICP40B,0.5,10000,<10,ICP40B,10,10000,295,ICP40B,0.5,5000,0.21,ICP40B,0.01,15,55,ICP40B,2,10000,<10,ICP40B,10,10000,12.1,ICP40B,0.5,10000,31,ICP40B,1,10000,62.2,ICP40B,0.5,10000,,AAS42S,5,500,,AAS42S,0.001,50,,AAS42S,0.001,5,*DUP-PAL01687,0.00,0.00,-,-,-,-,-,-,-,-,-,-,<2,4.42,25,1058,1.7,<5,1.07,<1,8,31,5.7,2.57,3.11,21.5,39,0.65,411,3,0.87,22,0.05,17,0.15,9,6.7,<10,295,0.21,55,<10,12.1,31,62.2,-,-,-
Tannenberg,TR2502688,08-Nov-25,14-Nov-25,,PAL01688,Core,Drill Core,Drillhole,TR2502688     168             384,08-Nov-25,14-Nov-25,TR2502688,TR2502688     168             384,,1.76,1.76,1.76,,,,,,,,,,,<2,ICP40B,2,10,5.27,ICP40B,0.01,15,31,ICP40B,3,10000,302,ICP40B,1,10000,1.9,ICP40B,0.5,2500,<5,ICP40B,5,10000,1.23,ICP40B,0.01,15,<1,ICP40B,1,10000,8,ICP40B,1,10000,31,ICP40B,1,10000,7.7,ICP40B,0.5,10000,2.43,ICP40B,0.01,15,3.17,ICP40B,0.01,15,24.5,ICP40B,0.5,10000,39,ICP40B,1,10000,0.58,ICP40B,0.01,15,397,ICP40B,2,10000,2,ICP40B,1,10000,0.86,ICP40B,0.01,15,28,ICP40B,1,10000,0.06,ICP40B,0.01,15,12,ICP40B,2,10000,0.01,ICP40B,0.01,5,5,ICP40B,5,10000,7.0,ICP40B,0.5,10000,<10,ICP40B,10,10000,98.8,ICP40B,0.5,5000,0.21,ICP40B,0.01,15,52,ICP40B,2,10000,<10,ICP40B,10,10000,13.5,ICP40B,0.5,10000,29,ICP40B,1,10000,64.6,ICP40B,0.5,10000,,AAS42S,5,500,,AAS42S,0.001,50,,AAS42S,0.001,5,PAL01688,1.76,1.76,-,-,-,-,-,-,-,-,-,-,<2,5.27,31,302,1.9,<5,1.23,<1,8,31,7.7,2.43,3.17,24.5,39,0.58,397,2,0.86,28,0.06,12,0.01,5,7.0,<10,98.8,0.21,52,<10,13.5,29,64.6,-,-,-
Tannenberg,TR2502688,08-Nov-25,14-Nov-25,,PAL01689,Core,Drill Core,Drillhole,TR2502688     168             384,08-Nov-25,14-Nov-25,TR2502688,TR2502688     168             384,,1.61,1.61,1.61,500.0,75.40,24.60,377.0,123.0,20.0,87.50,12.50,17.5,2.5,<2,ICP40B,2,10,3.45,ICP40B,0.01,15,21,ICP40B,3,10000,488,ICP40B,1,10000,0.7,ICP40B,0.5,2500,<5,ICP40B,5,10000,2.44,ICP40B,0.01,15,<1,ICP40B,1,10000,7,ICP40B,1,10000,17,ICP40B,1,10000,6.1,ICP40B,0.5,10000,1.60,ICP40B,0.01,15,1.67,ICP40B,0.01,15,10.1,ICP40B,0.5,10000,25,ICP40B,1,10000,0.48,ICP40B,0.01,15,744,ICP40B,2,10000,2,ICP40B,1,10000,0.86,ICP40B,0.01,15,19,ICP40B,1,10000,0.03,ICP40B,0.01,15,10,ICP40B,2,10000,0.12,ICP40B,0.01,5,<5,ICP40B,5,10000,3.5,ICP40B,0.5,10000,<10,ICP40B,10,10000,112,ICP40B,0.5,5000,0.12,ICP40B,0.01,15,29,ICP40B,2,10000,<10,ICP40B,10,10000,9.1,ICP40B,0.5,10000,21,ICP40B,1,10000,35.6,ICP40B,0.5,10000,,AAS42S,5,500,,AAS42S,0.001,50,,AAS42S,0.001,5,PAL01689,1.61,1.61,500.0,75.40,24.60,377.0,123.0,20.0,87.50,12.50,17.5,2.5,<2,3.45,21,488,0.7,<5,2.44,<1,7,17,6.1,1.60,1.67,10.1,25,0.48,744,2,0.86,19,0.03,10,0.12,<5,3.5,<10,112,0.12,29,<10,9.1,21,35.6,-,-,-
Tannenberg,TR2502688,08-Nov-25,14-Nov-25,,PAL01690,Core,Drill Core,Drillhole,TR2502688     168             384,08-Nov-25,14-Nov-25,TR2502688,TR2502688     168             384,,1.45,1.45,1.45,,,,,,,,,,,<2,ICP40B,2,10,3.55,ICP40B,0.01,15,28,ICP40B,3,10000,521,ICP40B,1,10000,1.1,ICP40B,0.5,2500,<5,ICP40B,5,10000,1.02,ICP40B,0.01,15,<1,ICP40B,1,10000,6,ICP40B,1,10000,27,ICP40B,1,10000,6.3,ICP40B,0.5,10000,2.05,ICP40B,0.01,15,2.24,ICP40B,0.01,15,15.9,ICP40B,0.5,10000,30,ICP40B,1,10000,0.47,ICP40B,0.01,15,368,ICP40B,2,10000,2,ICP40B,1,10000,0.80,ICP40B,0.01,15,21,ICP40B,1,10000,0.04,ICP40B,0.01,15,12,ICP40B,2,10000,0.11,ICP40B,0.01,5,6,ICP40B,5,10000,5.0,ICP40B,0.5,10000,<10,ICP40B,10,10000,108,ICP40B,0.5,5000,0.16,ICP40B,0.01,15,44,ICP40B,2,10000,<10,ICP40B,10,10000,8.9,ICP40B,0.5,10000,21,ICP40B,1,10000,47.9,ICP40B,0.5,10000,,AAS42S,5,500,,AAS42S,0.001,50,,AAS42S,0.001,5,PAL01690,1.45,1.45,-,-,-,-,-,-,-,-,-,-,<2,3.55,28,521,1.1,<5,1.02,<1,6,27,6.3,2.05,2.24,15.9,30,0.47,368,2,0.80,21,0.04,12,0.11,6,5.0,<10,108,0.16,44,<10,8.9,21,47.9,-,-,-
Tannenberg,TR2502688,08-Nov-25,14-Nov-25,,PAL01691,Core,Drill Core,Drillhole,TR2502688     168             384,08-Nov-25,14-Nov-25,TR2502688,TR2502688     168             384,,1.72,1.72,1.72,,,,,,,,,,,<2,ICP40B,2,10,4.59,ICP40B,0.01,15,37,ICP40B,3,10000,366,ICP40B,1,10000,1.5,ICP40B,0.5,2500,<5,ICP40B,5,10000,0.87,ICP40B,0.01,15,<1,ICP40B,1,10000,9,ICP40B,1,10000,42,ICP40B,1,10000,3.6,ICP40B,0.5,10000,2.66,ICP40B,0.01,15,2.55,ICP40B,0.01,15,22.1,ICP40B,0.5,10000,33,ICP40B,1,10000,0.62,ICP40B,0.01,15,407,ICP40B,2,10000,3,ICP40B,1,10000,0.80,ICP40B,0.01,15,26,ICP40B,1,10000,0.04,ICP40B,0.01,15,9,ICP40B,2,10000,0.10,ICP40B,0.01,5,<5,ICP40B,5,10000,6.5,ICP40B,0.5,10000,<10,ICP40B,10,10000,92.4,ICP40B,0.5,5000,0.21,ICP40B,0.01,15,56,ICP40B,2,10000,<10,ICP40B,10,10000,10.8,ICP40B,0.5,10000,40,ICP40B,1,10000,61.5,ICP40B,0.5,10000,,AAS42S,5,500,,AAS42S,0.001,50,,AAS42S,0.001,5,PAL01691,1.72,1.72,-,-,-,-,-,-,-,-,-,-,<2,4.59,37,366,1.5,<5,0.87,<1,9,42,3.6,2.66,2.55,22.1,33,0.62,407,3,0.80,26,0.04,9,0.10,<5,6.5,<10,92.4,0.21,56,<10,10.8,40,61.5,-,-,-
Tannenberg,TR2502688,08-Nov-25,14-Nov-25,,PAL01692,Core,Drill Core,Drillhole,TR2502688     168             384,08-Nov-25,14-Nov-25,TR2502688,TR2502688     168             384,,1.56,1.56,1.56,,,,,,,,,,,<2,ICP40B,2,10,4.18,ICP40B,0.01,15,19,ICP40B,3,10000,358,ICP40B,1,10000,0.9,ICP40B,0.5,2500,<5,ICP40B,5,10000,0.37,ICP40B,0.01,15,<1,ICP40B,1,10000,4,ICP40B,1,10000,22,ICP40B,1,10000,4.4,ICP40B,0.5,10000,1.79,ICP40B,0.01,15,2.07,ICP40B,0.01,15,13.3,ICP40B,0.5,10000,29,ICP40B,1,10000,0.32,ICP40B,0.01,15,150,ICP40B,2,10000,2,ICP40B,1,10000,0.91,ICP40B,0.01,15,14,ICP40B,1,10000,0.04,ICP40B,0.01,15,7,ICP40B,2,10000,0.16,ICP40B,0.01,5,6,ICP40B,5,10000,3.9,ICP40B,0.5,10000,<10,ICP40B,10,10000,95.9,ICP40B,0.5,5000,0.15,ICP40B,0.01,15,38,ICP40B,2,10000,<10,ICP40B,10,10000,6.9,ICP40B,0.5,10000,18,ICP40B,1,10000,46.4,ICP40B,0.5,10000,,AAS42S,5,500,,AAS42S,0.001,50,,AAS42S,0.001,5,PAL01692,1.56,1.56,-,-,-,-,-,-,-,-,-,-,<2,4.18,19,358,0.9,<5,0.37,<1,4,22,4.4,1.79,2.07,13.3,29,0.32,150,2,0.91,14,0.04,7,0.16,6,3.9,<10,95.9,0.15,38,<10,6.9,18,46.4,-,-,-
