BATCH NO: 1.1 (PAL01,Wtkg_KG[WGH10],Wtcru_dry_kg_KG[CRU24],Tot. Weight_G[CRU-QA/QC],Pass 2mm_%[CRU-QA/QC],Rmnd 2mm_%[CRU-QA/QC],WT. - Frac Entire_G[CRU-QA/QC],WT. + Frac Entire_G[CRU-QA/QC],Tot. Weight_G[PUL-QA/QC],Pass 75um_%[PUL-QA/QC],Rmnd 75um_%[PUL-QA/QC],WT. - Frac Entire_G[PUL-QA/QC],WT. + Frac Entire_G[PUL-QA/QC],Ag_ppm[ICP40B|LDL:2|UDL:10],Al_pct[ICP40B|LDL:0.01|UDL:15],As_ppm[ICP40B|LDL:3|UDL:10000],Ba_ppm[ICP40B|LDL:1|UDL:10000],Be_ppm[ICP40B|LDL:0.5|UDL:2500],Bi_ppm[ICP40B|LDL:5|UDL:10000],Ca_pct[ICP40B|LDL:0.01|UDL:15],Cd_ppm[ICP40B|LDL:1|UDL:10000],Co_ppm[ICP40B|LDL:1|UDL:10000],Cr_ppm[ICP40B|LDL:1|UDL:10000],Cu_ppm[ICP40B|LDL:0.5|UDL:10000],Fe_pct[ICP40B|LDL:0.01|UDL:15],K_pct[ICP40B|LDL:0.01|UDL:15],La_ppm[ICP40B|LDL:0.5|UDL:10000],Li_ppm[ICP40B|LDL:1|UDL:10000],Mg_pct[ICP40B|LDL:0.01|UDL:15],Mn_ppm[ICP40B|LDL:2|UDL:10000],Mo_ppm[ICP40B|LDL:1|UDL:10000],Na_pct[ICP40B|LDL:0.01|UDL:15],Ni_ppm[ICP40B|LDL:1|UDL:10000],P_pct[ICP40B|LDL:0.01|UDL:15],Pb_ppm[ICP40B|LDL:2|UDL:10000],S_pct[ICP40B|LDL:0.01|UDL:5],Sb_ppm[ICP40B|LDL:5|UDL:10000],Sc_ppm[ICP40B|LDL:0.5|UDL:10000],Sn_ppm[ICP40B|LDL:10|UDL:10000],Sr_ppm[ICP40B|LDL:0.5|UDL:5000],Ti_pct[ICP40B|LDL:0.01|UDL:15],V_ppm[ICP40B|LDL:2|UDL:10000],W_ppm[ICP40B|LDL:10|UDL:10000],Y_ppm[ICP40B|LDL:0.5|UDL:10000],Zn_ppm[ICP40B|LDL:1|UDL:10000],Zr_ppm[ICP40B|LDL:0.5|UDL:10000],Ag_ppm[AAS42S|LDL:5|UDL:500],Cu_pct[AAS42S|LDL:0.001|UDL:50],Zn_pct[AAS42S|LDL:0.001|UDL:5]
PAL01693,1.43,1.43,-,-,-,-,-,-,-,-,-,-,<2,3.32,16,490,0.7,<5,0.87,<1,7,18,6.1,1.69,1.79,8.8,25,0.46,360,2,0.96,17,0.03,20,0.09,6,3.1,<10,320,0.13,29,<10,7.3,19,38.3,-,-,-
PAL01694,1.75,1.75,-,-,-,-,-,-,-,-,-,-,<2,4.39,46,329,2.1,<5,0.30,<1,9,60,7.8,3.26,3.22,25.2,44,0.66,254,3,0.71,29,0.04,11,0.02,6,7.0,<10,86.3,0.26,76,<10,10.1,31,70.5,-,-,-
PAL01695,-,-,-,-,-,-,-,-,-,-,-,-,8,7.16,790,230,1.5,<5,4.12,23,551,107,4413,5.59,1.61,19.1,18,1.95,865,172,2.40,448,0.05,4083,0.64,377,18.6,62,178,0.65,139,<10,2.9,3954,118,-,-,-
PAL01696,1.20,1.20,-,-,-,-,-,-,-,-,-,-,<2,4.07,19,362,0.9,<5,0.45,<1,6,25,7.3,1.98,2.19,14.1,34,0.42,232,2,0.90,17,0.04,13,0.04,<5,4.5,<10,92.6,0.16,40,<10,8.5,19,47.0,-,-,-
PAL01697,1.61,1.61,-,-,-,-,-,-,-,-,-,-,<2,4.27,26,318,1.0,<5,0.50,<1,6,26,6.5,2.00,2.06,14.7,35,0.44,270,2,0.91,21,0.04,11,0.05,<5,4.9,<10,91.2,0.18,43,<10,8.2,21,55.9,-,-,-
PAL01698,1.78,1.78,-,-,-,-,-,-,-,-,-,-,<2,3.97,14,341,0.8,<5,2.02,<1,11,31,7.1,2.15,1.82,11.7,30,0.87,880,2,0.92,24,0.04,16,0.17,5,4.6,<10,116,0.15,36,<10,9.4,34,48.8,-,-,-
PAL01699,1.75,1.75,-,-,-,-,-,-,-,-,-,-,<2,3.71,15,320,0.7,<5,2.82,<1,9,42,8.4,2.32,1.48,12.9,32,0.74,918,3,0.85,22,0.03,13,0.18,<5,4.3,<10,125,0.14,37,<10,11.2,32,50.0,-,-,-
PAL01700,1.68,1.68,-,-,-,-,-,-,-,-,-,-,<2,3.84,24,309,1.2,<5,2.06,<1,7,31,7.2,2.25,2.00,15.2,33,0.43,593,3,0.80,22,0.04,12,0.02,<5,5.5,<10,76.9,0.17,44,<10,10.3,24,55.4,-,-,-
PAL01701,1.74,1.74,-,-,-,-,-,-,-,-,-,-,<2,3.90,25,257,1.0,<5,3.17,<1,8,42,5.6,2.57,1.62,13.3,35,0.42,872,3,0.68,23,0.03,10,0.02,<5,5.2,<10,146,0.14,41,<10,10.7,28,47.7,-,-,-
PAL01702,1.68,1.68,-,-,-,-,-,-,-,-,-,-,<2,4.70,21,173,1.1,<5,3.40,<1,12,42,8.4,2.96,1.84,14.3,45,0.53,829,3,0.73,28,0.03,14,0.02,<5,7.1,<10,87.6,0.17,50,<10,11.8,38,52.5,-,-,-
PAL01703,1.74,1.74,-,-,-,-,-,-,-,-,-,-,<2,4.85,26,260,1.8,<5,1.38,<1,14,40,11.1,3.48,2.78,16.0,56,0.74,550,3,0.83,33,0.04,18,0.02,<5,8.5,<10,80.1,0.22,72,<10,12.1,47,70.8,-,-,-
PAL01704,1.86,1.86,-,-,-,-,-,-,-,-,-,-,<2,6.22,20,333,1.7,<5,1.55,<1,16,49,11.8,4.06,2.53,21.2,70,0.80,724,3,0.73,40,0.05,14,0.02,7,9.3,<10,105,0.24,77,<10,12.5,62,71.5,-,-,-
PAL01705,1.73,1.73,-,-,-,-,-,-,-,-,-,-,<2,1.83,15,125,0.6,<5,>15,<1,4,12,12.3,0.94,0.71,7.4,23,1.76,183,<1,0.10,9,0.02,10,>5,<5,2.6,<10,1933,0.07,21,<10,4.0,22,17.1,-,-,-
PAL01706,0.00,0.00,-,-,-,-,-,-,-,-,-,-,<2,0.33,11,37,<0.5,<5,>15,<1,<1,3,2.5,0.35,0.13,1.8,10,1.74,127,<1,0.05,3,<0.01,9,>5,<5,<0.5,<10,1292,0.01,6,<10,0.7,14,3.0,-,-,-
PAL01707,1.35,1.35,-,-,-,-,-,-,-,-,-,-,<2,3.21,14,259,1.1,<5,>15,<1,6,22,19.2,1.52,1.21,12.9,33,1.98,248,<1,0.18,15,0.03,11,>5,<5,4.6,<10,2904,0.12,33,<10,7.0,23,29.2,-,-,-
PAL01708,1.41,1.41,-,-,-,-,-,-,-,-,-,-,<2,2.84,12,269,0.9,<5,>15,<1,5,19,17.7,1.34,1.05,12.1,29,1.53,205,1,0.12,13,0.03,48,>5,<5,4.0,<10,3003,0.10,29,<10,6.3,80,26.5,-,-,-
PAL01709,1.79,1.79,500.0,75.60,24.40,378.0,122.0,20.0,85.50,14.50,17.1,2.9,<2,1.76,7,128,0.6,<5,>15,<1,3,11,5.4,0.84,0.66,7.8,21,0.95,125,<1,0.09,9,0.02,14,>5,<5,2.5,<10,2999,0.07,19,<10,4.2,13,17.5,-,-,-
PAL01710,1.76,1.76,-,-,-,-,-,-,-,-,-,-,<2,1.70,8,162,0.6,<5,>15,<1,3,9,6.7,0.81,0.65,7.7,20,0.80,114,1,0.09,10,0.02,10,>5,<5,2.4,<10,4366,0.06,18,<10,3.8,12,16.2,-,-,-
PAL01711,1.37,1.37,-,-,-,-,-,-,-,-,-,-,<2,6.08,18,347,2.0,<5,11.6,<1,8,31,40.0,2.92,2.36,24.3,60,2.38,375,1,0.25,25,0.05,13,>5,<5,8.6,<10,906,0.21,63,<10,13.5,43,52.8,-,-,-
PAL01712,1.36,1.36,-,-,-,-,-,-,-,-,-,-,<2,5.04,17,345,1.7,<5,13.4,<1,8,32,13.5,2.35,1.90,20.2,51,1.99,312,<1,0.21,22,0.04,21,>5,7,7.2,<10,2793,0.18,52,<10,11.1,34,45.5,-,-,-
PAL01713,1.66,1.66,-,-,-,-,-,-,-,-,-,-,<2,4.57,14,284,1.5,<5,14.4,<1,7,30,9.0,2.12,1.72,18.7,46,1.97,287,1,0.17,21,0.04,17,>5,6,6.4,<10,3537,0.16,48,<10,9.9,31,41.3,-,-,-
PAL01714,1.47,1.47,-,-,-,-,-,-,-,-,-,-,<2,4.42,21,249,1.4,<5,13.9,<1,7,27,21.7,2.13,1.70,17.5,46,2.43,327,<1,0.20,19,0.04,22,>5,<5,6.2,<10,1006,0.16,47,<10,9.8,32,40.4,-,-,-
*DUP-PAL01714,0.00,0.00,-,-,-,-,-,-,-,-,-,-,<2,4.31,19,250,1.4,<5,13.4,<1,7,27,21.2,2.05,1.66,17.1,43,2.35,319,<1,0.22,18,0.04,24,>5,<5,6.1,<10,953,0.15,45,<10,9.2,32,37.7,-,-,-
PAL01715,1.64,1.64,-,-,-,-,-,-,-,-,-,-,<2,1.73,16,106,<0.5,<5,>15,<1,3,11,5.7,0.94,0.54,7.4,19,1.88,178,<1,0.09,8,0.01,14,>5,<5,2.2,<10,2304,0.06,16,<10,3.8,21,13.7,-,-,-
PAL01716,1.95,1.95,-,-,-,-,-,-,-,-,-,-,<2,2.44,8,137,0.8,<5,>15,<1,3,15,6.6,1.08,0.86,10.1,25,1.11,155,1,0.10,12,0.02,9,>5,<5,3.3,<10,2932,0.09,24,<10,5.8,15,23.2,-,-,-
PAL01717,-,-,-,-,-,-,-,-,-,-,-,-,>10,1.10,452,5440,<0.5,22,10.6,4,60,1257,3227,4.91,0.42,4.2,21,6.17,1269,<1,0.04,863,0.01,16,0.18,843,11.3,<10,627,0.15,69,<10,<0.5,336,12.6,18,-,-
PAL01718,7.89,7.89,-,-,-,-,-,-,-,-,-,-,<2,1.24,4,97,<0.5,<5,>15,<1,2,9,5.1,0.60,0.49,5.5,17,0.71,99,<1,0.06,7,0.01,8,>5,<5,1.8,<10,2303,0.05,14,<10,2.9,9,11.8,-,-,-
PAL01719,1.01,1.01,-,-,-,-,-,-,-,-,-,-,<2,1.43,5,77,<0.5,<5,>15,<1,3,9,4.0,0.63,0.56,5.9,19,0.70,96,<1,0.15,8,0.01,22,>5,<5,2.0,<10,1639,0.05,16,<10,3.0,13,12.8,-,-,-
PAL01720,1.29,1.29,-,-,-,-,-,-,-,-,-,-,<2,0.77,3,44,<0.5,<5,>15,<1,1,4,3.0,0.27,0.20,3.4,18,0.28,38,<1,0.08,4,<0.01,9,>5,<5,0.8,<10,1798,0.02,7,<10,1.5,8,5.8,-,-,-
PAL01721,1.92,1.92,-,-,-,-,-,-,-,-,-,-,<2,0.64,<3,54,<0.5,<5,>15,<1,<1,9,27.3,0.30,0.15,4.3,43,2.39,79,4,0.24,5,<0.01,6,>5,<5,0.9,<10,2963,0.03,19,<10,2.6,9,9.5,-,-,-
PAL01722,2.34,2.34,-,-,-,-,-,-,-,-,-,-,<2,0.29,<3,17,<0.5,<5,>15,<1,<1,3,2.5,0.11,0.08,1.9,37,1.44,41,4,0.09,3,<0.01,6,>5,<5,<0.5,<10,1408,0.01,8,<10,0.9,3,3.1,-,-,-
PAL01723,1.55,1.55,-,-,-,-,-,-,-,-,-,-,<2,0.20,<3,21,<0.5,<5,>15,<1,<1,2,2.2,0.09,0.16,1.3,152,1.03,25,1,0.06,2,<0.01,5,>5,<5,<0.5,<10,1571,<0.01,4,<10,0.5,10,2.5,-,-,-
PAL01724,1.75,1.75,-,-,-,-,-,-,-,-,-,-,<2,0.18,<3,33,<0.5,<5,>15,<1,<1,2,2.2,0.08,0.07,1.4,33,1.18,30,2,0.08,2,<0.01,7,>5,<5,<0.5,<10,2982,<0.01,4,<10,0.6,53,2.8,-,-,-
PAL01725,2.08,2.08,-,-,-,-,-,-,-,-,-,-,<2,0.96,<3,50,<0.5,<5,>15,<1,2,8,3.6,0.35,0.23,5.2,26,1.67,83,<1,0.24,4,<0.01,10,>5,<5,1.3,<10,1977,0.04,9,<10,3.2,6,9.6,-,-,-
PAL01726,2.05,2.05,-,-,-,-,-,-,-,-,-,-,<2,0.90,<3,82,<0.5,<5,>15,<1,2,6,5.1,0.46,0.28,4.9,23,3.67,112,<1,0.26,6,<0.01,10,>5,<5,1.2,<10,4399,0.04,12,<10,3.0,7,11.6,-,-,-
PAL01727,1.30,1.30,-,-,-,-,-,-,-,-,-,-,<2,0.50,<3,40,<0.5,<5,>15,<1,<1,4,3.8,0.26,0.11,2.5,13,4.01,100,<1,0.17,3,<0.01,9,>5,<5,0.7,<10,2423,0.02,6,<10,1.6,36,6.3,-,-,-
PAL01728,0.98,0.98,-,-,-,-,-,-,-,-,-,-,<2,2.53,7,142,0.8,<5,>15,1,4,20,11.1,0.96,0.93,12.2,38,0.61,2029,<1,0.11,17,0.02,61,0.80,<5,3.4,<10,443,0.10,25,<10,9.2,247,31.1,-,-,-
PAL01729,1.13,1.13,500.0,79.20,20.80,396.0,104.0,20.0,86.00,14.00,17.2,2.8,<2,2.83,9,164,1.0,<5,>15,<1,5,26,8.7,1.08,1.10,11.9,44,0.57,1876,<1,0.13,19,0.03,80,0.54,<5,4.0,<10,496,0.11,28,<10,8.7,53,29.3,-,-,-
PAL01730,0.99,0.99,-,-,-,-,-,-,-,-,-,-,<2,3.42,8,175,1.1,<5,>15,<1,6,37,10.2,1.25,1.27,16.6,46,0.56,1746,<1,0.27,24,0.03,46,0.33,<5,4.8,<10,1437,0.15,36,<10,11.6,85,45.9,-,-,-
PAL01731,1.09,1.09,-,-,-,-,-,-,-,-,-,-,<2,3.55,10,173,1.3,<5,>15,<1,6,25,10.7,1.30,1.38,16.3,50,0.58,1398,<1,0.26,26,0.03,108,0.36,<5,5.0,<10,1941,0.15,38,<10,11.6,114,41.8,-,-,-
PAL01732,1.16,1.16,-,-,-,-,-,-,-,-,-,-,<2,4.90,11,159,1.8,<5,>15,<1,8,36,10.8,1.61,1.92,23.1,66,0.74,1410,<1,0.34,30,0.04,236,0.31,6,6.8,<10,600,0.21,50,<10,15.5,50,61.1,-,-,-
PAL01733,0.46,0.46,-,-,-,-,-,-,-,-,-,-,<2,7.55,13,266,2.8,<5,6.63,<1,9,49,30.9,2.70,3.03,31.4,96,2.73,1409,<1,0.48,38,0.05,313,0.37,6,10.5,<10,375,0.32,76,<10,16.6,43,93.8,-,-,-
PAL01734,0.48,0.48,-,-,-,-,-,-,-,-,-,-,<2,5.90,11,451,1.8,<5,6.70,<1,10,37,21.2,3.05,2.20,27.9,69,3.44,1567,<1,0.51,41,0.04,162,1.04,<5,7.9,<10,1740,0.25,58,<10,13.6,34,81.5,-,-,-
PAL01735,1.65,1.65,-,-,-,-,-,-,-,-,-,-,<2,0.44,<3,14,<0.5,<5,>15,<1,<1,2,2.3,0.48,0.14,3.2,10,11.2,643,<1,0.03,2,<0.01,11,0.05,<5,0.5,<10,35.1,<0.01,<2,<10,3.0,57,7.9,-,-,-
PAL01736,0.35,0.35,-,-,-,-,-,-,-,-,-,-,2,6.82,23,336,2.2,<5,6.96,<1,13,53,37.9,3.32,2.48,33.7,77,2.54,1235,4,0.56,46,0.05,324,1.49,10,9.3,<10,738,0.31,72,<10,17.9,44,103,-,-,-
PAL01737,0.26,0.26,-,-,-,-,-,-,-,-,-,-,<2,5.07,17,170,1.7,<5,14.2,5,9,57,35.9,2.42,1.84,27.8,61,2.24,2308,10,0.39,45,0.04,511,0.93,<5,7.1,<10,377,0.22,87,<10,18.4,1596,68.3,-,-,-
PAL01738,0.34,0.34,-,-,-,-,-,-,-,-,-,-,2,5.03,18,155,1.8,<5,>15,31,8,85,53.7,1.97,1.86,25.3,63,1.14,2078,24,0.35,50,0.04,2090,1.18,<5,7.1,<10,309,0.22,196,14,16.8,9430,67.1,-,-,-
PAL01739,0.22,0.22,-,-,-,-,-,-,-,-,-,-,5,4.99,19,166,2.3,<5,13.7,61,8,101,257,1.75,1.87,25.2,62,1.07,2026,96,0.47,67,0.05,4670,1.69,7,6.8,<10,338,0.20,407,35,16.9,>10000,69.0,-,-,2.10
PAL01740,-,-,-,-,-,-,-,-,-,-,-,-,>10,4.88,171,16,1.0,<5,0.38,12,3,32,>10000,2.39,4.61,1.0,9,0.21,150,196,1.36,19,0.05,1429,1.20,<5,2.2,<10,31.6,0.07,15,<10,<0.5,2652,15.1,15,2.13,-
PAL01741,0.36,0.36,-,-,-,-,-,-,-,-,-,-,>10,4.13,691,190,1.9,<5,12.2,39,70,70,>10000,1.43,1.55,24.1,41,0.94,2563,174,0.48,89,0.05,5226,1.58,5,4.9,<10,257,0.14,350,19,16.1,>10000,51.9,26,2.00,1.32
*DUP-PAL01741,0.00,0.00,-,-,-,-,-,-,-,-,-,-,>10,4.16,722,196,2.1,<5,13.0,41,75,75,>10000,1.49,1.63,26.0,44,1.00,2735,186,0.51,95,0.05,5585,1.66,<5,5.1,<10,270,0.15,374,23,16.6,>10000,53.4,26,1.98,1.33
PAL01742,0.23,0.23,-,-,-,-,-,-,-,-,-,-,>10,3.82,112,700,1.2,<5,2.97,1,4,13,>10000,0.72,1.94,15.2,27,0.47,1424,3,0.70,10,0.03,126,0.50,<5,2.2,<10,154,0.08,15,<10,9.3,312,48.6,19,1.58,-
PAL01743,0.33,0.33,-,-,-,-,-,-,-,-,-,-,>10,3.38,74,1087,1.1,<5,5.34,<1,5,11,>10000,0.89,1.84,12.6,27,1.29,3640,2,0.63,10,0.03,71,0.38,<5,1.8,<10,235,0.05,15,<10,10.3,89,33.9,15,1.36,-
PAL01744,0.10,0.10,-,-,-,-,-,-,-,-,-,-,3,3.39,40,462,1.1,<5,6.07,<1,4,7,3803,0.45,1.97,12.1,22,0.43,1746,1,0.52,7,0.03,22,0.12,<5,1.7,<10,130,0.07,16,<10,9.5,50,42.0,-,-,-
PAL01745,0.13,0.13,-,-,-,-,-,-,-,-,-,-,<2,3.34,28,377,0.9,<5,4.72,<1,8,13,602,0.60,1.95,9.9,27,0.23,1433,1,0.43,11,0.02,39,0.04,<5,1.3,<10,116,0.07,14,<10,9.5,118,36.7,-,-,-
PAL01746,0.20,0.20,-,-,-,-,-,-,-,-,-,-,<2,3.15,16,514,0.7,<5,4.82,<1,3,4,466,0.49,2.24,6.9,22,0.94,2690,1,0.39,5,0.02,29,0.04,<5,0.7,<10,139,0.03,7,<10,8.2,20,20.8,-,-,-
PAL01747,0.41,0.41,-,-,-,-,-,-,-,-,-,-,<2,4.33,20,437,1.2,<5,3.72,<1,3,6,202,0.69,2.54,8.8,22,0.88,1628,<1,0.68,7,0.04,69,0.07,<5,1.5,<10,156,0.06,11,<10,7.4,26,35.2,-,-,-
PAL01748,0.64,0.64,-,-,-,-,-,-,-,-,-,-,<2,3.80,18,555,0.9,<5,3.19,<1,2,7,268,0.41,2.50,8.1,23,0.44,1578,<1,0.45,5,0.03,17,0.03,<5,1.0,<10,142,0.04,10,<10,8.3,13,25.9,-,-,-
PAL01749,0.00,0.00,-,-,-,-,-,-,-,-,-,-,<2,3.91,16,607,0.9,<5,3.07,<1,2,6,252,0.57,2.62,8.0,22,0.42,1437,<1,0.49,5,0.03,21,0.03,<5,1.0,<10,150,0.04,10,<10,8.9,19,24.6,-,-,-
PAL01750,1.25,1.25,500.0,76.80,23.20,384.0,116.0,20.0,85.00,15.00,17.0,3.0,<2,3.70,24,449,1.1,<5,1.76,<1,2,9,121,0.48,2.54,9.4,29,0.33,807,1,0.49,7,0.04,18,0.02,<5,1.5,<10,119,0.06,15,<10,7.1,13,32.3,-,-,-
PAL01751,1.74,1.74,-,-,-,-,-,-,-,-,-,-,<2,3.35,15,869,0.9,<5,2.14,<1,2,11,69.0,0.57,2.37,7.7,37,0.28,945,1,0.46,6,0.03,15,0.03,<5,1.2,<10,151,0.04,10,<10,7.5,13,27.7,-,-,-
PAL01752,1.04,1.04,-,-,-,-,-,-,-,-,-,-,<2,3.20,23,805,0.9,<5,2.10,<1,2,10,34.2,0.50,2.07,9.1,34,0.19,700,<1,0.57,8,0.03,12,0.04,<5,1.8,<10,130,0.05,13,<10,8.2,17,32.2,-,-,-
PAL01753,0.78,0.78,-,-,-,-,-,-,-,-,-,-,<2,3.28,15,242,1.0,<5,9.96,<1,4,14,29.4,0.67,1.70,14.2,23,0.15,984,2,0.82,6,0.03,19,0.03,<5,2.2,<10,167,0.06,14,<10,12.0,14,37.4,-,-,-
PAL01754,0.97,0.97,-,-,-,-,-,-,-,-,-,-,<2,3.16,<3,490,0.7,<5,5.99,<1,3,8,3.8,0.65,1.69,8.4,27,0.25,936,1,0.51,8,0.03,13,0.02,<5,1.2,<10,131,0.04,9,<10,9.6,15,25.8,-,-,-
PAL01755,1.02,1.02,-,-,-,-,-,-,-,-,-,-,<2,3.36,<3,369,0.8,<5,4.23,<1,5,12,3.1,0.98,1.58,10.9,32,0.28,1066,<1,0.52,13,0.03,10,0.02,<5,1.7,<10,115,0.06,14,<10,10.9,19,30.1,-,-,-
PAL01756,1.18,1.18,-,-,-,-,-,-,-,-,-,-,<2,3.61,<3,265,0.9,<5,9.60,<1,3,12,4.4,0.61,2.12,15.4,30,0.18,1356,<1,0.63,10,0.03,9,0.02,<5,2.2,<10,198,0.06,15,<10,18.7,14,43.7,-,-,-
PAL01757,0.85,0.85,-,-,-,-,-,-,-,-,-,-,<2,3.39,6,915,0.7,<5,7.58,<1,6,17,18.4,0.75,1.99,14.8,34,0.17,1452,<1,0.62,22,0.05,10,0.06,<5,2.3,<10,187,0.06,15,<10,16.9,10,41.6,-,-,-
PAL01758,1.07,1.07,-,-,-,-,-,-,-,-,-,-,<2,3.98,3,826,0.8,<5,9.13,<1,4,13,7.0,0.63,2.46,13.3,35,0.29,1677,<1,0.66,13,0.03,15,0.04,<5,2.0,<10,256,0.05,13,<10,19.9,20,43.7,-,-,-
PAL01759,0.66,0.66,-,-,-,-,-,-,-,-,-,-,<2,4.01,4,403,0.8,<5,4.38,<1,3,14,6.6,0.74,2.09,10.5,36,0.20,899,<1,0.65,12,0.03,10,0.02,<5,2.3,<10,110,0.08,17,<10,11.9,12,39.1,-,-,-
