BATCH NO: 1.1 (PAL01,Wtkg_KG[WGH10],Wtcru_dry_kg_KG[CRU24],Tot. Weight_G[CRU-QA/QC],Pass 2mm_%[CRU-QA/QC],Rmnd 2mm_%[CRU-QA/QC],WT. - Frac Entire_G[CRU-QA/QC],WT. + Frac Entire_G[CRU-QA/QC],Tot. Weight_G[PUL-QA/QC],Pass 75um_%[PUL-QA/QC],Rmnd 75um_%[PUL-QA/QC],WT. - Frac Entire_G[PUL-QA/QC],WT. + Frac Entire_G[PUL-QA/QC],Ag_ppm[ICP40B|LDL:2|UDL:10],Al_pct[ICP40B|LDL:0.01|UDL:15],As_ppm[ICP40B|LDL:3|UDL:10000],Ba_ppm[ICP40B|LDL:1|UDL:10000],Be_ppm[ICP40B|LDL:0.5|UDL:2500],Bi_ppm[ICP40B|LDL:5|UDL:10000],Ca_pct[ICP40B|LDL:0.01|UDL:15],Cd_ppm[ICP40B|LDL:1|UDL:10000],Co_ppm[ICP40B|LDL:1|UDL:10000],Cr_ppm[ICP40B|LDL:1|UDL:10000],Cu_ppm[ICP40B|LDL:0.5|UDL:10000],Fe_pct[ICP40B|LDL:0.01|UDL:15],K_pct[ICP40B|LDL:0.01|UDL:15],La_ppm[ICP40B|LDL:0.5|UDL:10000],Li_ppm[ICP40B|LDL:1|UDL:10000],Mg_pct[ICP40B|LDL:0.01|UDL:15],Mn_ppm[ICP40B|LDL:2|UDL:10000],Mo_ppm[ICP40B|LDL:1|UDL:10000],Na_pct[ICP40B|LDL:0.01|UDL:15],Ni_ppm[ICP40B|LDL:1|UDL:10000],P_pct[ICP40B|LDL:0.01|UDL:15],Pb_ppm[ICP40B|LDL:2|UDL:10000],S_pct[ICP40B|LDL:0.01|UDL:5],Sb_ppm[ICP40B|LDL:5|UDL:10000],Sc_ppm[ICP40B|LDL:0.5|UDL:10000],Sn_ppm[ICP40B|LDL:10|UDL:10000],Sr_ppm[ICP40B|LDL:0.5|UDL:5000],Ti_pct[ICP40B|LDL:0.01|UDL:15],V_ppm[ICP40B|LDL:2|UDL:10000],W_ppm[ICP40B|LDL:10|UDL:10000],Y_ppm[ICP40B|LDL:0.5|UDL:10000],Zn_ppm[ICP40B|LDL:1|UDL:10000],Zr_ppm[ICP40B|LDL:0.5|UDL:10000],Ag_ppm[AAS42S|LDL:5|UDL:500],Cu_pct[AAS42S|LDL:0.001|UDL:50],Zn_pct[AAS42S|LDL:0.001|UDL:5]
PAL01684,1.48,1.48,-,-,-,-,-,-,-,-,-,-,<2,0.50,<3,18,<0.5,<5,>15,<1,<1,2,0.6,0.46,0.16,3.5,5,10.9,643,<1,0.03,<1,<0.01,5,0.03,<5,<0.5,<10,29.3,0.01,<2,<10,2.9,44,11.1,-,-,-
PAL01685,1.66,1.66,-,-,-,-,-,-,-,-,-,-,<2,3.69,13,422,0.7,<5,4.49,<1,4,11,5.7,1.29,1.77,11.3,21,0.33,1114,1,0.85,11,0.03,13,0.02,<5,3.0,<10,133,0.10,23,<10,13.1,13,36.0,-,-,-
PAL01686,1.63,1.63,-,-,-,-,-,-,-,-,-,-,<2,3.82,12,1200,0.7,<5,2.80,<1,6,14,6.3,1.48,1.95,9.7,24,0.46,820,1,0.91,15,0.03,11,0.10,<5,3.0,<10,305,0.11,24,<10,9.8,21,38.1,-,-,-
PAL01687,1.74,1.74,-,-,-,-,-,-,-,-,-,-,<2,4.35,24,1058,1.8,<5,1.05,<1,8,30,5.0,2.51,3.04,20.8,39,0.64,404,2,0.85,22,0.05,14,0.14,6,6.6,<10,302,0.21,55,<10,11.8,30,59.6,-,-,-
*DUP-PAL01687,0.00,0.00,-,-,-,-,-,-,-,-,-,-,<2,4.42,25,1058,1.7,<5,1.07,<1,8,31,5.7,2.57,3.11,21.5,39,0.65,411,3,0.87,22,0.05,17,0.15,9,6.7,<10,295,0.21,55,<10,12.1,31,62.2,-,-,-
PAL01688,1.76,1.76,-,-,-,-,-,-,-,-,-,-,<2,5.27,31,302,1.9,<5,1.23,<1,8,31,7.7,2.43,3.17,24.5,39,0.58,397,2,0.86,28,0.06,12,0.01,5,7.0,<10,98.8,0.21,52,<10,13.5,29,64.6,-,-,-
PAL01689,1.61,1.61,500.0,75.40,24.60,377.0,123.0,20.0,87.50,12.50,17.5,2.5,<2,3.45,21,488,0.7,<5,2.44,<1,7,17,6.1,1.60,1.67,10.1,25,0.48,744,2,0.86,19,0.03,10,0.12,<5,3.5,<10,112,0.12,29,<10,9.1,21,35.6,-,-,-
PAL01690,1.45,1.45,-,-,-,-,-,-,-,-,-,-,<2,3.55,28,521,1.1,<5,1.02,<1,6,27,6.3,2.05,2.24,15.9,30,0.47,368,2,0.80,21,0.04,12,0.11,6,5.0,<10,108,0.16,44,<10,8.9,21,47.9,-,-,-
PAL01691,1.72,1.72,-,-,-,-,-,-,-,-,-,-,<2,4.59,37,366,1.5,<5,0.87,<1,9,42,3.6,2.66,2.55,22.1,33,0.62,407,3,0.80,26,0.04,9,0.10,<5,6.5,<10,92.4,0.21,56,<10,10.8,40,61.5,-,-,-
PAL01692,1.56,1.56,-,-,-,-,-,-,-,-,-,-,<2,4.18,19,358,0.9,<5,0.37,<1,4,22,4.4,1.79,2.07,13.3,29,0.32,150,2,0.91,14,0.04,7,0.16,6,3.9,<10,95.9,0.15,38,<10,6.9,18,46.4,-,-,-
