PROJECTCOD,HOLEID,SAMPLEID,SAMPLETYPE,SapSubType,Point_Type,Dsptch_L_D,SmpDspDate,SmpRetDate,Lab_L_D,Labjobno,AnalysisLD,SampWt_g_D,Wtkg,Wtcru_dry_kg,Tot_Weight_CRU,Pass_2mm_pct,Rmnd_2mm_pct,WT_MinusFrac_CRU_g,WT_PlusFrac_CRU_g,Tot_Weight_PUL_g,Pass_75um_pct,Rmnd_75um_pct,WT_MinusFrac_PUL_g,WT_PlusFrac_PUL_g,Ag_ppm,Ag_ppm_GMD,Ag_ppm_LDD,Ag_ppm_UDD,Al_pct,Al_pct_GMD,Al_pct_LDD,Al_pct_UDD,As_ppm,As_ppm_GMD,As_ppm_LDD,As_ppm_UDD,Ba_ppm,Ba_ppm_GMD,Ba_ppm_LDD,Ba_ppm_UDD,Be_ppm,Be_ppm_GMD,Be_ppm_LDD,Be_ppm_UDD,Bi_ppm,Bi_ppm_GMD,Bi_ppm_LDD,Bi_ppm_UDD,Ca_pct,Ca_pct_GMD,Ca_pct_LDD,Ca_pct_UDD,Cd_ppm,Cd_ppm_GMD,Cd_ppm_LDD,Cd_ppm_UDD,Co_ppm,Co_ppm_GMD,Co_ppm_LDD,Co_ppm_UDD,Cr_ppm,Cr_ppm_GMD,Cr_ppm_LDD,Cr_ppm_UDD,Cu_ppm,Cu_ppm_GMD,Cu_ppm_LDD,Cu_ppm_UDD,Fe_pct,Fe_pct_GMD,Fe_pct_LDD,Fe_pct_UDD,K_pct,K_pct_GMD,K_pct_LDD,K_pct_UDD,La_ppm,La_ppm_GMD,La_ppm_LDD,La_ppm_UDD,Li_ppm,Li_ppm_GMD,Li_ppm_LDD,Li_ppm_UDD,Mg_pct,Mg_pct_GMD,Mg_pct_LDD,Mg_pct_UDD,Mn_ppm,Mn_ppm_GMD,Mn_ppm_LDD,Mn_ppm_UDD,Mo_ppm,Mo_ppm_GMD,Mo_ppm_LDD,Mo_ppm_UDD,Na_pct,Na_pct_GMD,Na_pct_LDD,Na_pct_UDD,Ni_ppm,Ni_ppm_GMD,Ni_ppm_LDD,Ni_ppm_UDD,P_pct,P_pct_GMD,P_pct_LDD,P_pct_UDD,Pb_ppm,Pb_ppm_GMD,Pb_ppm_LDD,Pb_ppm_UDD,S_pct,S_pct_GMD,S_pct_LDD,S_pct_UDD,Sb_ppm,Sb_ppm_GMD,Sb_ppm_LDD,Sb_ppm_UDD,Sc_ppm,Sc_ppm_GMD,Sc_ppm_LDD,Sc_ppm_UDD,Sn_ppm,Sn_ppm_GMD,Sn_ppm_LDD,Sn_ppm_UDD,Sr_ppm,Sr_ppm_GMD,Sr_ppm_LDD,Sr_ppm_UDD,Ti_pct,Ti_pct_GMD,Ti_pct_LDD,Ti_pct_UDD,V_ppm,V_ppm_GMD,V_ppm_LDD,V_ppm_UDD,W_ppm,W_ppm_GMD,W_ppm_LDD,W_ppm_UDD,Y_ppm,Y_ppm_GMD,Y_ppm_LDD,Y_ppm_UDD,Zn_ppm,Zn_ppm_GMD,Zn_ppm_LDD,Zn_ppm_UDD,Zr_ppm,Zr_ppm_GMD,Zr_ppm_LDD,Zr_ppm_UDD,Ag_ppm_AAS42S,Ag_ppm_AAS42S_GMD,Ag_ppm_AAS42S_LDD,Ag_ppm_AAS42S_UDD,Cu_pct,Cu_pct_GMD,Cu_pct_LDD,Cu_pct_UDD
Tannenberg Copper Project,,PAL01584,Core,Drill Core,Drillhole,TR2502687     131             376,08-Nov-25,14-Nov-25,TR2502687,TR2502687     131             376,,1.55,1.55,1.55,,,,,,,,,,,<2,ICP40B,2,10,0.51,ICP40B,0.01,15,<3,ICP40B,3,10000,15,ICP40B,1,10000,<0.5,ICP40B,0.5,2500,<5,ICP40B,5,10000,>15,ICP40B,0.01,15,<1,ICP40B,1,10000,<1,ICP40B,1,10000,3,ICP40B,1,10000,2.8,ICP40B,0.5,10000,0.49,ICP40B,0.01,15,0.12,ICP40B,0.01,15,3.5,ICP40B,0.5,10000,8,ICP40B,1,10000,11.7,ICP40B,0.01,15,698,ICP40B,2,10000,<1,ICP40B,1,10000,0.03,ICP40B,0.01,15,<1,ICP40B,1,10000,<0.01,ICP40B,0.01,15,12,ICP40B,2,10000,0.04,ICP40B,0.01,5,<5,ICP40B,5,10000,0.6,ICP40B,0.5,10000,<10,ICP40B,10,10000,32.5,ICP40B,0.5,5000,<0.01,ICP40B,0.01,15,<2,ICP40B,2,10000,<10,ICP40B,10,10000,3.3,ICP40B,0.5,10000,51,ICP40B,1,10000,11.5,ICP40B,0.5,10000,,AAS42S,5,500,,AAS42S,0.001,50
Tannenberg Copper Project,,PAL01585,Core,Drill Core,Drillhole,TR2502687     131             376,08-Nov-25,14-Nov-25,TR2502687,TR2502687     131             376,,3.43,3.43,3.43,,,,,,,,,,,<2,ICP40B,2,10,1.00,ICP40B,0.01,15,3,ICP40B,3,10000,67,ICP40B,1,10000,<0.5,ICP40B,0.5,2500,<5,ICP40B,5,10000,>15,ICP40B,0.01,15,<1,ICP40B,1,10000,2,ICP40B,1,10000,7,ICP40B,1,10000,2.5,ICP40B,0.5,10000,0.46,ICP40B,0.01,15,0.38,ICP40B,0.01,15,4.2,ICP40B,0.5,10000,14,ICP40B,1,10000,0.52,ICP40B,0.01,15,59,ICP40B,2,10000,<1,ICP40B,1,10000,0.09,ICP40B,0.01,15,7,ICP40B,1,10000,0.01,ICP40B,0.01,15,6,ICP40B,2,10000,>5,ICP40B,0.01,5,<5,ICP40B,5,10000,1.4,ICP40B,0.5,10000,<10,ICP40B,10,10000,3534,ICP40B,0.5,5000,0.04,ICP40B,0.01,15,12,ICP40B,2,10000,<10,ICP40B,10,10000,2.2,ICP40B,0.5,10000,7,ICP40B,1,10000,10.2,ICP40B,0.5,10000,,AAS42S,5,500,,AAS42S,0.001,50
Tannenberg Copper Project,,PAL01586,Core,Drill Core,Drillhole,TR2502687     131             376,08-Nov-25,14-Nov-25,TR2502687,TR2502687     131             376,,2.25,2.25,2.25,,,,,,,,,,,<2,ICP40B,2,10,1.44,ICP40B,0.01,15,5,ICP40B,3,10000,82,ICP40B,1,10000,0.5,ICP40B,0.5,2500,<5,ICP40B,5,10000,>15,ICP40B,0.01,15,<1,ICP40B,1,10000,2,ICP40B,1,10000,8,ICP40B,1,10000,2.7,ICP40B,0.5,10000,0.63,ICP40B,0.01,15,0.52,ICP40B,0.01,15,6.1,ICP40B,0.5,10000,17,ICP40B,1,10000,0.70,ICP40B,0.01,15,73,ICP40B,2,10000,<1,ICP40B,1,10000,0.10,ICP40B,0.01,15,7,ICP40B,1,10000,0.01,ICP40B,0.01,15,8,ICP40B,2,10000,>5,ICP40B,0.01,5,<5,ICP40B,5,10000,2.1,ICP40B,0.5,10000,<10,ICP40B,10,10000,4243,ICP40B,0.5,5000,0.05,ICP40B,0.01,15,15,ICP40B,2,10000,<10,ICP40B,10,10000,3.2,ICP40B,0.5,10000,10,ICP40B,1,10000,14.2,ICP40B,0.5,10000,,AAS42S,5,500,,AAS42S,0.001,50
Tannenberg Copper Project,,PAL01587,Core,Drill Core,Drillhole,TR2502687     131             376,08-Nov-25,14-Nov-25,TR2502687,TR2502687     131             376,,2.91,2.91,2.91,,,,,,,,,,,<2,ICP40B,2,10,2.01,ICP40B,0.01,15,6,ICP40B,3,10000,96,ICP40B,1,10000,0.7,ICP40B,0.5,2500,<5,ICP40B,5,10000,>15,ICP40B,0.01,15,<1,ICP40B,1,10000,3,ICP40B,1,10000,11,ICP40B,1,10000,3.2,ICP40B,0.5,10000,0.87,ICP40B,0.01,15,0.71,ICP40B,0.01,15,8.2,ICP40B,0.5,10000,20,ICP40B,1,10000,0.91,ICP40B,0.01,15,101,ICP40B,2,10000,1,ICP40B,1,10000,0.16,ICP40B,0.01,15,9,ICP40B,1,10000,0.02,ICP40B,0.01,15,11,ICP40B,2,10000,>5,ICP40B,0.01,5,<5,ICP40B,5,10000,2.9,ICP40B,0.5,10000,<10,ICP40B,10,10000,3217,ICP40B,0.5,5000,0.07,ICP40B,0.01,15,20,ICP40B,2,10000,<10,ICP40B,10,10000,4.5,ICP40B,0.5,10000,12,ICP40B,1,10000,19.8,ICP40B,0.5,10000,,AAS42S,5,500,,AAS42S,0.001,50
Tannenberg Copper Project,,*DUP-PAL01587,Core,Drill Core,Drillhole,TR2502687     131             376,08-Nov-25,14-Nov-25,TR2502687,TR2502687     131             376,,0.00,0.00,0.00,,,,,,,,,,,<2,ICP40B,2,10,1.98,ICP40B,0.01,15,6,ICP40B,3,10000,97,ICP40B,1,10000,0.7,ICP40B,0.5,2500,<5,ICP40B,5,10000,>15,ICP40B,0.01,15,<1,ICP40B,1,10000,3,ICP40B,1,10000,13,ICP40B,1,10000,4.2,ICP40B,0.5,10000,0.86,ICP40B,0.01,15,0.73,ICP40B,0.01,15,7.8,ICP40B,0.5,10000,22,ICP40B,1,10000,0.92,ICP40B,0.01,15,111,ICP40B,2,10000,1,ICP40B,1,10000,0.16,ICP40B,0.01,15,9,ICP40B,1,10000,0.02,ICP40B,0.01,15,7,ICP40B,2,10000,>5,ICP40B,0.01,5,<5,ICP40B,5,10000,2.8,ICP40B,0.5,10000,<10,ICP40B,10,10000,3125,ICP40B,0.5,5000,0.07,ICP40B,0.01,15,21,ICP40B,2,10000,<10,ICP40B,10,10000,4.3,ICP40B,0.5,10000,12,ICP40B,1,10000,19.6,ICP40B,0.5,10000,,AAS42S,5,500,,AAS42S,0.001,50
Tannenberg Copper Project,,PAL01588,Core,Drill Core,Drillhole,TR2502687     131             376,08-Nov-25,14-Nov-25,TR2502687,TR2502687     131             376,,3.51,3.51,3.51,,,,,,,,,,,<2,ICP40B,2,10,1.42,ICP40B,0.01,15,5,ICP40B,3,10000,92,ICP40B,1,10000,<0.5,ICP40B,0.5,2500,<5,ICP40B,5,10000,15.0,ICP40B,0.01,15,<1,ICP40B,1,10000,3,ICP40B,1,10000,12,ICP40B,1,10000,3.5,ICP40B,0.5,10000,0.64,ICP40B,0.01,15,0.54,ICP40B,0.01,15,5.0,ICP40B,0.5,10000,19,ICP40B,1,10000,0.76,ICP40B,0.01,15,91,ICP40B,2,10000,1,ICP40B,1,10000,0.14,ICP40B,0.01,15,7,ICP40B,1,10000,0.01,ICP40B,0.01,15,10,ICP40B,2,10000,>5,ICP40B,0.01,5,<5,ICP40B,5,10000,1.7,ICP40B,0.5,10000,<10,ICP40B,10,10000,2864,ICP40B,0.5,5000,0.05,ICP40B,0.01,15,15,ICP40B,2,10000,<10,ICP40B,10,10000,2.3,ICP40B,0.5,10000,11,ICP40B,1,10000,11.1,ICP40B,0.5,10000,,AAS42S,5,500,,AAS42S,0.001,50
Tannenberg Copper Project,,PAL01589,Core,Drill Core,Drillhole,TR2502687     131             376,08-Nov-25,14-Nov-25,TR2502687,TR2502687     131             376,,2.58,2.58,2.58,,,,,,,,,,,<2,ICP40B,2,10,1.20,ICP40B,0.01,15,5,ICP40B,3,10000,77,ICP40B,1,10000,<0.5,ICP40B,0.5,2500,<5,ICP40B,5,10000,>15,ICP40B,0.01,15,<1,ICP40B,1,10000,2,ICP40B,1,10000,7,ICP40B,1,10000,3.1,ICP40B,0.5,10000,0.54,ICP40B,0.01,15,0.46,ICP40B,0.01,15,5.1,ICP40B,0.5,10000,15,ICP40B,1,10000,0.54,ICP40B,0.01,15,64,ICP40B,2,10000,<1,ICP40B,1,10000,0.10,ICP40B,0.01,15,7,ICP40B,1,10000,0.01,ICP40B,0.01,15,6,ICP40B,2,10000,>5,ICP40B,0.01,5,<5,ICP40B,5,10000,1.7,ICP40B,0.5,10000,<10,ICP40B,10,10000,4509,ICP40B,0.5,5000,0.04,ICP40B,0.01,15,13,ICP40B,2,10000,<10,ICP40B,10,10000,2.7,ICP40B,0.5,10000,7,ICP40B,1,10000,12.3,ICP40B,0.5,10000,,AAS42S,5,500,,AAS42S,0.001,50
Tannenberg Copper Project,,PAL01590,Core,Drill Core,Drillhole,TR2502687     131             376,08-Nov-25,14-Nov-25,TR2502687,TR2502687     131             376,,1.59,1.59,1.59,,,,,,,,,,,<2,ICP40B,2,10,0.26,ICP40B,0.01,15,<3,ICP40B,3,10000,45,ICP40B,1,10000,<0.5,ICP40B,0.5,2500,<5,ICP40B,5,10000,>15,ICP40B,0.01,15,<1,ICP40B,1,10000,<1,ICP40B,1,10000,3,ICP40B,1,10000,6.4,ICP40B,0.5,10000,0.14,ICP40B,0.01,15,0.10,ICP40B,0.01,15,1.8,ICP40B,0.5,10000,12,ICP40B,1,10000,0.13,ICP40B,0.01,15,14,ICP40B,2,10000,3,ICP40B,1,10000,0.08,ICP40B,0.01,15,3,ICP40B,1,10000,<0.01,ICP40B,0.01,15,38,ICP40B,2,10000,>5,ICP40B,0.01,5,<5,ICP40B,5,10000,<0.5,ICP40B,0.5,10000,<10,ICP40B,10,10000,3639,ICP40B,0.5,5000,0.01,ICP40B,0.01,15,4,ICP40B,2,10000,<10,ICP40B,10,10000,0.6,ICP40B,0.5,10000,12,ICP40B,1,10000,3.4,ICP40B,0.5,10000,,AAS42S,5,500,,AAS42S,0.001,50
Tannenberg Copper Project,,PAL01591,Core,Drill Core,Drillhole,TR2502687     131             376,08-Nov-25,14-Nov-25,TR2502687,TR2502687     131             376,,3.61,3.61,3.61,500.0,78.66,21.34,393.3,106.7,20.0,85.00,15.00,17.0,3.0,<2,ICP40B,2,10,0.32,ICP40B,0.01,15,<3,ICP40B,3,10000,47,ICP40B,1,10000,<0.5,ICP40B,0.5,2500,<5,ICP40B,5,10000,>15,ICP40B,0.01,15,<1,ICP40B,1,10000,<1,ICP40B,1,10000,3,ICP40B,1,10000,3.1,ICP40B,0.5,10000,0.16,ICP40B,0.01,15,0.13,ICP40B,0.01,15,1.7,ICP40B,0.5,10000,17,ICP40B,1,10000,0.19,ICP40B,0.01,15,19,ICP40B,2,10000,1,ICP40B,1,10000,0.10,ICP40B,0.01,15,<1,ICP40B,1,10000,<0.01,ICP40B,0.01,15,20,ICP40B,2,10000,>5,ICP40B,0.01,5,<5,ICP40B,5,10000,<0.5,ICP40B,0.5,10000,<10,ICP40B,10,10000,3425,ICP40B,0.5,5000,0.01,ICP40B,0.01,15,4,ICP40B,2,10000,<10,ICP40B,10,10000,0.7,ICP40B,0.5,10000,7,ICP40B,1,10000,3.0,ICP40B,0.5,10000,,AAS42S,5,500,,AAS42S,0.001,50
Tannenberg Copper Project,,PAL01592,Core,Drill Core,Drillhole,TR2502687     131             376,08-Nov-25,14-Nov-25,TR2502687,TR2502687     131             376,,2.14,2.14,2.14,,,,,,,,,,,<2,ICP40B,2,10,0.54,ICP40B,0.01,15,<3,ICP40B,3,10000,44,ICP40B,1,10000,<0.5,ICP40B,0.5,2500,<5,ICP40B,5,10000,>15,ICP40B,0.01,15,<1,ICP40B,1,10000,<1,ICP40B,1,10000,8,ICP40B,1,10000,5.5,ICP40B,0.5,10000,0.24,ICP40B,0.01,15,0.12,ICP40B,0.01,15,3.6,ICP40B,0.5,10000,31,ICP40B,1,10000,0.27,ICP40B,0.01,15,49,ICP40B,2,10000,7,ICP40B,1,10000,0.23,ICP40B,0.01,15,5,ICP40B,1,10000,<0.01,ICP40B,0.01,15,20,ICP40B,2,10000,>5,ICP40B,0.01,5,<5,ICP40B,5,10000,0.7,ICP40B,0.5,10000,<10,ICP40B,10,10000,3491,ICP40B,0.5,5000,0.03,ICP40B,0.01,15,10,ICP40B,2,10000,<10,ICP40B,10,10000,2.1,ICP40B,0.5,10000,11,ICP40B,1,10000,9.8,ICP40B,0.5,10000,,AAS42S,5,500,,AAS42S,0.001,50
