BATCH NO: 1.1 (PAL01,Wtkg_KG[WGH10],Wtcru_dry_kg_KG[CRU24],Tot. Weight_G[CRU-QA/QC],Pass 2mm_%[CRU-QA/QC],Rmnd 2mm_%[CRU-QA/QC],WT. - Frac Entire_G[CRU-QA/QC],WT. + Frac Entire_G[CRU-QA/QC],Tot. Weight_G[PUL-QA/QC],Pass 75um_%[PUL-QA/QC],Rmnd 75um_%[PUL-QA/QC],WT. - Frac Entire_G[PUL-QA/QC],WT. + Frac Entire_G[PUL-QA/QC],Ag_ppm[ICP40B|LDL:2|UDL:10],Al_pct[ICP40B|LDL:0.01|UDL:15],As_ppm[ICP40B|LDL:3|UDL:10000],Ba_ppm[ICP40B|LDL:1|UDL:10000],Be_ppm[ICP40B|LDL:0.5|UDL:2500],Bi_ppm[ICP40B|LDL:5|UDL:10000],Ca_pct[ICP40B|LDL:0.01|UDL:15],Cd_ppm[ICP40B|LDL:1|UDL:10000],Co_ppm[ICP40B|LDL:1|UDL:10000],Cr_ppm[ICP40B|LDL:1|UDL:10000],Cu_ppm[ICP40B|LDL:0.5|UDL:10000],Fe_pct[ICP40B|LDL:0.01|UDL:15],K_pct[ICP40B|LDL:0.01|UDL:15],La_ppm[ICP40B|LDL:0.5|UDL:10000],Li_ppm[ICP40B|LDL:1|UDL:10000],Mg_pct[ICP40B|LDL:0.01|UDL:15],Mn_ppm[ICP40B|LDL:2|UDL:10000],Mo_ppm[ICP40B|LDL:1|UDL:10000],Na_pct[ICP40B|LDL:0.01|UDL:15],Ni_ppm[ICP40B|LDL:1|UDL:10000],P_pct[ICP40B|LDL:0.01|UDL:15],Pb_ppm[ICP40B|LDL:2|UDL:10000],S_pct[ICP40B|LDL:0.01|UDL:5],Sb_ppm[ICP40B|LDL:5|UDL:10000],Sc_ppm[ICP40B|LDL:0.5|UDL:10000],Sn_ppm[ICP40B|LDL:10|UDL:10000],Sr_ppm[ICP40B|LDL:0.5|UDL:5000],Ti_pct[ICP40B|LDL:0.01|UDL:15],V_ppm[ICP40B|LDL:2|UDL:10000],W_ppm[ICP40B|LDL:10|UDL:10000],Y_ppm[ICP40B|LDL:0.5|UDL:10000],Zn_ppm[ICP40B|LDL:1|UDL:10000],Zr_ppm[ICP40B|LDL:0.5|UDL:10000],Ag_ppm[AAS42S|LDL:5|UDL:500],Cu_pct[AAS42S|LDL:0.001|UDL:50]
PAL01614,0.60,0.60,-,-,-,-,-,-,-,-,-,-,<2,3.42,19,138,1.2,<5,>15,2,6,25,152,1.19,1.34,12.5,64,1.78,2717,<1,0.40,25,0.03,705,0.61,<5,4.9,<10,580,0.13,31,<10,9.1,804,41.2,-,-
*DUP-PAL01614,0.00,0.00,-,-,-,-,-,-,-,-,-,-,<2,3.49,21,144,1.2,<5,>15,2,7,25,159,1.22,1.36,13.1,66,1.83,2779,1,0.39,25,0.03,761,0.62,<5,4.9,<10,574,0.13,31,<10,9.2,845,43.0,-,-
PAL01615,0.39,0.39,-,-,-,-,-,-,-,-,-,-,<2,2.49,17,150,0.9,<5,>15,1,5,26,126,1.24,1.00,10.2,51,2.58,3847,<1,0.22,19,0.02,796,0.80,<5,3.8,<10,663,0.09,25,<10,8.2,506,27.1,-,-
PAL01616,0.46,0.46,-,-,-,-,-,-,-,-,-,-,<2,2.89,13,110,1.1,<5,>15,1,5,24,59.1,1.33,1.19,9.9,57,2.74,3863,<1,0.24,20,0.03,474,0.82,<5,4.3,<10,700,0.10,28,<10,7.7,543,28.5,-,-
PAL01617,0.37,0.37,-,-,-,-,-,-,-,-,-,-,<2,2.78,18,255,0.9,<5,>15,<1,7,22,50.8,1.13,1.05,11.6,53,1.34,2835,<1,0.33,23,0.03,927,0.54,<5,4.1,<10,2241,0.10,26,<10,9.1,285,33.7,-,-
PAL01618,0.89,0.89,-,-,-,-,-,-,-,-,-,-,<2,2.73,18,248,0.8,<5,>15,<1,8,23,73.5,1.12,0.96,12.9,50,1.18,2917,5,0.39,22,0.03,374,0.45,<5,3.9,<10,1897,0.11,28,<10,10.3,34,37.1,-,-
PAL01619,0.82,0.82,-,-,-,-,-,-,-,-,-,-,<2,3.85,18,189,1.3,<5,>15,<1,7,28,103,1.23,1.39,16.3,71,0.95,2037,<1,0.54,28,0.03,255,0.33,<5,5.4,<10,1677,0.16,38,<10,11.3,42,54.1,-,-
PAL01620,0.76,0.76,-,-,-,-,-,-,-,-,-,-,<2,4.08,19,175,1.4,<5,>15,<1,7,28,134,1.29,1.49,17.6,75,0.95,1903,<1,0.54,28,0.03,230,0.27,<5,5.8,<10,1338,0.17,38,<10,11.6,42,55.1,-,-
PAL01621,0.59,0.59,-,-,-,-,-,-,-,-,-,-,<2,5.09,23,206,1.8,<5,>15,<1,9,33,221,1.60,1.93,21.0,94,1.02,2168,<1,0.58,35,0.04,156,0.29,<5,7.2,<10,1058,0.21,48,<10,14.4,44,64.3,-,-
PAL01622,0.59,0.59,-,-,-,-,-,-,-,-,-,-,<2,3.62,21,152,1.3,<5,>15,<1,8,22,251,1.32,1.32,15.3,67,0.76,2292,<1,0.39,28,0.03,46,0.36,<5,5.3,<10,864,0.13,33,<10,11.7,38,39.7,-,-
