BATCH NO: 1.1 (PAL01,Wtkg_KG[WGH10],Wtcru_dry_kg_KG[CRU24],Tot. Weight_G[CRU-QA/QC],Pass 2mm_%[CRU-QA/QC],Rmnd 2mm_%[CRU-QA/QC],WT. - Frac Entire_G[CRU-QA/QC],WT. + Frac Entire_G[CRU-QA/QC],Tot. Weight_G[PUL-QA/QC],Pass 75um_%[PUL-QA/QC],Rmnd 75um_%[PUL-QA/QC],WT. - Frac Entire_G[PUL-QA/QC],WT. + Frac Entire_G[PUL-QA/QC],Ag_ppm[ICP40B|LDL:2|UDL:10],Al_pct[ICP40B|LDL:0.01|UDL:15],As_ppm[ICP40B|LDL:3|UDL:10000],Ba_ppm[ICP40B|LDL:1|UDL:10000],Be_ppm[ICP40B|LDL:0.5|UDL:2500],Bi_ppm[ICP40B|LDL:5|UDL:10000],Ca_pct[ICP40B|LDL:0.01|UDL:15],Cd_ppm[ICP40B|LDL:1|UDL:10000],Co_ppm[ICP40B|LDL:1|UDL:10000],Cr_ppm[ICP40B|LDL:1|UDL:10000],Cu_ppm[ICP40B|LDL:0.5|UDL:10000],Fe_pct[ICP40B|LDL:0.01|UDL:15],K_pct[ICP40B|LDL:0.01|UDL:15],La_ppm[ICP40B|LDL:0.5|UDL:10000],Li_ppm[ICP40B|LDL:1|UDL:10000],Mg_pct[ICP40B|LDL:0.01|UDL:15],Mn_ppm[ICP40B|LDL:2|UDL:10000],Mo_ppm[ICP40B|LDL:1|UDL:10000],Na_pct[ICP40B|LDL:0.01|UDL:15],Ni_ppm[ICP40B|LDL:1|UDL:10000],P_pct[ICP40B|LDL:0.01|UDL:15],Pb_ppm[ICP40B|LDL:2|UDL:10000],S_pct[ICP40B|LDL:0.01|UDL:5],Sb_ppm[ICP40B|LDL:5|UDL:10000],Sc_ppm[ICP40B|LDL:0.5|UDL:10000],Sn_ppm[ICP40B|LDL:10|UDL:10000],Sr_ppm[ICP40B|LDL:0.5|UDL:5000],Ti_pct[ICP40B|LDL:0.01|UDL:15],V_ppm[ICP40B|LDL:2|UDL:10000],W_ppm[ICP40B|LDL:10|UDL:10000],Y_ppm[ICP40B|LDL:0.5|UDL:10000],Zn_ppm[ICP40B|LDL:1|UDL:10000],Zr_ppm[ICP40B|LDL:0.5|UDL:10000],Ag_ppm[AAS42S|LDL:5|UDL:500],Cu_pct[AAS42S|LDL:0.001|UDL:50]
PAL01653,1.09,1.09,-,-,-,-,-,-,-,-,-,-,<2,4.01,8,1998,1.0,<5,3.59,<1,4,15,8.5,0.80,2.54,10.4,34,0.41,908,1,0.89,11,0.03,14,0.26,<5,2.4,<10,577,0.06,15,<10,12.1,20,48.8,-,-
PAL01654,1.56,1.56,-,-,-,-,-,-,-,-,-,-,<2,4.10,7,2867,0.9,<5,2.13,<1,5,12,5.8,0.75,2.02,9.2,29,0.33,708,1,1.24,14,0.04,11,0.10,<5,2.7,<10,418,0.11,19,<10,9.2,21,42.5,-,-
PAL01655,1.70,1.70,-,-,-,-,-,-,-,-,-,-,<2,3.98,113,1151,0.8,<5,1.91,<1,27,10,5.1,0.81,1.98,7.3,26,0.42,615,<1,1.11,27,0.03,119,0.17,<5,2.5,<10,283,0.09,16,<10,8.1,281,36.5,-,-
PAL01656,1.71,1.71,-,-,-,-,-,-,-,-,-,-,<2,4.06,9,456,1.0,<5,1.35,<1,4,13,4.3,0.79,1.98,10.8,27,0.28,433,<1,1.11,16,0.04,12,0.02,<5,3.0,<10,111,0.11,21,<10,8.1,25,45.6,-,-
PAL01657,1.80,1.80,-,-,-,-,-,-,-,-,-,-,<2,3.79,7,699,0.9,<5,1.83,<1,4,10,3.1,0.83,1.96,10.5,28,0.33,612,<1,1.14,14,0.03,11,0.03,<5,2.8,<10,162,0.11,19,<10,8.4,24,46.5,-,-
PAL01658,1.45,1.45,-,-,-,-,-,-,-,-,-,-,<2,3.96,6,581,0.9,<5,1.29,<1,4,10,3.0,1.16,1.94,11.2,29,0.32,420,<1,1.22,15,0.03,10,0.04,<5,2.7,<10,151,0.11,20,<10,7.1,25,43.6,-,-
PAL01659,1.72,1.72,-,-,-,-,-,-,-,-,-,-,<2,4.21,9,636,0.9,<5,1.50,<1,4,8,2.7,1.27,2.00,11.6,28,0.45,514,<1,1.20,14,0.03,15,0.07,<5,2.7,<10,172,0.11,20,<10,7.1,30,42.7,-,-
PAL01660,1.96,1.96,-,-,-,-,-,-,-,-,-,-,<2,3.75,8,552,0.9,<5,1.41,<1,4,10,2.7,1.23,1.91,9.3,25,0.47,483,<1,1.11,12,0.03,13,0.09,<5,2.5,<10,141,0.09,17,<10,6.7,27,39.6,-,-
PAL01661,1.79,1.79,-,-,-,-,-,-,-,-,-,-,<2,3.95,4,481,0.9,<5,1.61,<1,4,10,2.6,1.27,1.99,10.3,24,0.55,581,<1,1.16,14,0.03,13,0.05,<5,2.7,<10,128,0.10,18,<10,7.4,33,43.5,-,-
PAL01662,-,-,-,-,-,-,-,-,-,-,-,-,>10,1.17,438,5279,<0.5,22,10.2,4,58,1220,3132,4.82,0.42,4.1,21,6.05,1269,<1,0.04,846,<0.01,16,0.18,826,11.1,<10,609,0.15,67,<10,<0.5,336,12.6,19,-
PAL01663,1.22,1.22,-,-,-,-,-,-,-,-,-,-,<2,4.36,7,456,1.0,<5,1.73,<1,4,11,8.5,1.42,2.06,11.4,26,0.48,616,<1,1.19,15,0.03,17,0.02,5,2.9,<10,123,0.11,20,<10,7.9,27,45.3,-,-
PAL01664,1.80,1.80,-,-,-,-,-,-,-,-,-,-,<2,4.33,8,933,1.0,<5,2.12,<1,4,10,4.1,1.35,2.07,11.8,28,0.36,754,<1,1.20,15,0.04,11,0.03,<5,3.2,<10,146,0.11,22,<10,8.9,20,46.4,-,-
PAL01665,1.76,1.76,-,-,-,-,-,-,-,-,-,-,<2,4.66,14,296,1.4,<5,1.87,<1,6,17,5.3,1.88,2.19,18.4,36,0.37,659,1,1.17,19,0.04,14,0.01,<5,4.4,<10,89.7,0.17,32,<10,12.5,25,84.2,-,-
PAL01666,1.29,1.29,-,-,-,-,-,-,-,-,-,-,<2,4.59,10,314,1.1,<5,3.61,<1,5,17,6.4,1.59,2.14,15.3,32,0.35,1116,<1,1.16,17,0.04,14,<0.01,<5,3.7,<10,108,0.15,26,<10,15.7,22,65.9,-,-
PAL01667,1.85,1.85,-,-,-,-,-,-,-,-,-,-,<2,4.54,9,316,1.0,<5,3.77,<1,5,15,5.8,1.47,2.11,15.3,28,0.31,932,1,1.22,16,0.04,11,<0.01,<5,3.7,<10,109,0.15,26,<10,14.2,20,73.1,-,-
PAL01668,1.84,1.84,-,-,-,-,-,-,-,-,-,-,<2,4.47,11,389,0.9,<5,2.98,<1,4,12,3.7,1.43,2.14,12.6,24,0.31,713,<1,1.33,15,0.04,11,0.01,<5,3.1,<10,113,0.14,24,<10,10.5,18,65.6,-,-
*DUP-PAL01668,0.00,0.00,-,-,-,-,-,-,-,-,-,-,<2,4.48,8,408,0.9,<5,2.96,<1,4,12,4.9,1.42,2.15,12.8,25,0.31,714,<1,1.35,15,0.04,16,0.01,<5,3.1,<10,117,0.14,24,<10,10.5,19,65.1,-,-
PAL01669,1.78,1.78,-,-,-,-,-,-,-,-,-,-,<2,4.36,11,392,0.9,<5,2.77,<1,4,12,4.9,1.43,2.11,14.5,24,0.39,654,<1,1.27,16,0.04,16,0.02,<5,3.1,<10,111,0.13,22,<10,10.6,23,62.7,-,-
PAL01670,1.77,1.77,-,-,-,-,-,-,-,-,-,-,<2,4.40,9,471,0.9,<5,3.04,<1,5,9,4.3,1.42,2.15,10.3,24,0.37,798,<1,1.26,17,0.04,15,0.02,<5,3.0,<10,128,0.11,21,<10,10.2,22,46.0,-,-
PAL01671,1.66,1.66,500.0,75.20,24.80,376.0,124.0,20.0,86.50,13.50,17.3,2.7,<2,4.43,12,302,1.0,<5,2.83,<1,5,14,4.3,1.60,2.06,13.7,30,0.28,714,1,1.27,19,0.04,11,0.01,<5,3.7,<10,94.7,0.14,28,<10,10.2,21,53.5,-,-
PAL01672,1.38,1.38,-,-,-,-,-,-,-,-,-,-,<2,4.65,11,622,0.9,<5,4.12,<1,6,12,5.7,1.68,2.07,11.7,29,0.38,1151,1,1.38,19,0.04,14,0.03,<5,3.5,<10,173,0.12,26,<10,11.4,25,43.3,-,-
PAL01673,0.00,0.00,-,-,-,-,-,-,-,-,-,-,<2,4.14,10,570,0.9,<5,3.61,<1,5,11,4.0,1.46,1.84,10.8,24,0.34,987,1,1.27,18,0.03,11,0.04,<5,3.2,<10,160,0.11,24,<10,10.3,23,41.2,-,-
PAL01674,1.11,1.11,-,-,-,-,-,-,-,-,-,-,<2,5.04,13,313,1.3,<5,1.28,<1,4,16,4.8,1.49,2.45,13.8,31,0.35,331,1,1.16,18,0.04,19,0.01,<5,4.0,<10,89.2,0.13,30,<10,8.8,18,57.3,-,-
PAL01675,1.73,1.73,-,-,-,-,-,-,-,-,-,-,<2,4.78,14,362,1.2,<5,1.78,<1,5,13,5.1,1.46,2.49,13.4,29,0.38,496,<1,1.10,19,0.04,12,0.01,<5,3.7,<10,92.8,0.12,24,<10,10.3,24,51.0,-,-
PAL01676,1.78,1.78,-,-,-,-,-,-,-,-,-,-,<2,4.42,12,384,1.1,<5,1.79,<1,5,12,5.4,1.50,2.18,13.9,27,0.38,500,<1,1.21,16,0.04,14,0.02,<5,3.8,<10,97.1,0.14,28,<10,9.6,20,57.9,-,-
PAL01677,1.90,1.90,-,-,-,-,-,-,-,-,-,-,<2,3.98,10,719,0.8,<5,1.80,<1,6,11,3.7,1.60,1.76,11.2,25,0.56,678,<1,1.20,17,0.03,12,0.03,<5,2.8,<10,176,0.11,22,<10,7.9,31,48.5,-,-
PAL01678,1.30,1.30,-,-,-,-,-,-,-,-,-,-,<2,3.95,14,422,0.8,<5,3.33,<1,5,12,4.9,1.40,1.79,15.3,26,0.36,1028,1,1.14,14,0.03,10,0.02,<5,3.1,<10,124,0.12,21,<10,10.5,20,51.3,-,-
PAL01679,1.00,1.00,-,-,-,-,-,-,-,-,-,-,<2,5.02,11,301,1.4,<5,2.41,<1,5,15,5.9,1.77,2.49,13.7,40,0.38,668,1,1.08,16,0.04,25,0.02,<5,4.7,<10,92.5,0.13,32,<10,10.9,21,47.1,-,-
PAL01680,1.11,1.11,-,-,-,-,-,-,-,-,-,-,<2,4.79,11,258,1.2,<5,4.13,<1,6,14,5.9,1.62,2.33,15.3,33,0.38,1063,1,1.07,17,0.04,12,0.01,<5,4.3,<10,102,0.13,27,<10,15.0,21,51.5,-,-
PAL01681,1.85,1.85,-,-,-,-,-,-,-,-,-,-,<2,9.28,62,319,3.7,<5,2.00,<1,14,62,6.7,4.85,4.92,34.5,65,1.03,504,3,0.64,57,0.06,27,0.01,9,13.8,<10,86.6,0.33,100,<10,21.2,63,103,-,-
PAL01682,1.68,1.68,-,-,-,-,-,-,-,-,-,-,<2,8.80,66,336,3.4,<5,0.56,<1,15,57,9.1,4.89,4.91,35.0,65,1.05,369,3,0.65,52,0.06,21,0.02,7,14.1,<10,79.0,0.36,100,<10,19.9,66,108,-,-
PAL01683,1.58,1.58,-,-,-,-,-,-,-,-,-,-,<2,8.84,72,334,3.4,<5,1.42,<1,15,62,7.7,4.80,4.95,36.4,64,0.99,462,3,0.60,52,0.07,20,0.01,10,13.7,<10,86.0,0.34,100,<10,20.7,63,102,-,-
*BLK-BLANK,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,<5,<0.001
*BLK-BLANK,-,-,-,-,-,-,-,-,-,-,-,-,<2,0.01,<3,<1,<0.5,<5,<0.01,<1,<1,<1,<0.5,<0.01,<0.01,<0.5,<1,<0.01,<2,<1,<0.01,<1,<0.01,<2,0.01,<5,<0.5,<10,<0.5,<0.01,<2,<10,<0.5,<1,<0.5,-,-
*STD-OREAS-211,-,-,-,-,-,-,-,-,-,-,-,-,<2,7.05,39,191,<0.5,<5,6.45,<1,44,93,170,8.42,0.41,5.1,10,3.64,1449,1,2.11,79,0.04,17,0.32,<5,41.4,<10,123,0.63,281,18,22.6,117,46.6,-,-
*REP-PAL01602,-,-,-,-,-,-,-,-,-,-,-,-,<2,0.14,<3,4,<0.5,<5,>15,<1,<1,2,1.2,0.09,0.04,1.3,8,1.84,27,1,0.09,<1,<0.01,4,>5,<5,<0.5,<10,1811,<0.01,2,<10,<0.5,17,1.5,-,-
*STD-OREAS-607,-,-,-,-,-,-,-,-,-,-,-,-,5,6.78,195,2351,1.9,6,0.47,2,4,27,550,1.64,2.94,33.8,36,0.30,92,3,1.61,15,0.07,199,0.93,28,2.4,<10,217,0.15,23,<10,9.4,273,60.5,-,-
*BLK-BLANK,-,-,-,-,-,-,-,-,-,-,-,-,<2,<0.01,<3,<1,<0.5,<5,<0.01,<1,<1,<1,<0.5,<0.01,0.01,<0.5,<1,<0.01,<2,<1,<0.01,<1,<0.01,<2,<0.01,<5,<0.5,<10,<0.5,<0.01,<2,<10,<0.5,<1,<0.5,-,-
*STD-OREAS-601B,-,-,-,-,-,-,-,-,-,-,-,-,>10,6.91,276,2318,2.0,13,0.90,2,3,23,1046,2.37,2.43,35.9,23,0.10,218,5,1.97,8,0.03,307,1.55,21,3.6,<10,227,0.13,12,<10,12.3,306,184,-,-
*REP-PAL01630,-,-,-,-,-,-,-,-,-,-,-,-,4,4.42,44,605,1.7,<5,12.1,<1,6,29,3003,2.10,1.64,18.7,67,5.16,3490,<1,0.51,26,0.03,16,2.18,<5,6.2,<10,624,0.16,45,<10,11.4,43,53.4,-,-
*STD-OREAS-925,-,-,-,-,-,-,-,-,-,-,-,-,2,7.16,8,415,1.8,23,0.43,<1,23,70,5838,6.83,2.51,40.3,31,1.77,1016,<1,0.27,31,0.05,103,0.95,<5,11.8,12,38.1,0.36,90,<10,22.5,427,108,-,-
*REP-PAL01655,-,-,-,-,-,-,-,-,-,-,-,-,<2,3.72,133,1160,0.9,<5,1.93,<1,29,13,5.9,0.82,2.04,8.3,28,0.43,629,<1,1.14,29,0.03,101,0.18,<5,2.5,<10,270,0.10,17,<10,8.2,318,36.6,-,-
*STD-OREAS-211,-,-,-,-,-,-,-,-,-,-,-,-,<2,6.90,40,191,<0.5,<5,6.93,<1,44,95,171,8.03,0.41,4.5,11,3.90,1456,<1,1.97,74,0.04,16,0.32,<5,40.3,<10,122,0.66,290,18,20.8,120,49.1,-,-
*BLK-BLANK,-,-,-,-,-,-,-,-,-,-,-,-,<2,<0.01,<3,<1,<0.5,<5,0.02,<1,<1,<1,<0.5,<0.01,<0.01,<0.5,<1,<0.01,3,<1,<0.01,<1,<0.01,<2,<0.01,<5,<0.5,<10,<0.5,<0.01,<2,<10,<0.5,<1,<0.5,-,-
*REP-PAL01675,-,-,-,-,-,-,-,-,-,-,-,-,<2,5.13,11,372,1.2,<5,1.86,<1,5,15,6.1,1.52,2.59,13.4,31,0.40,521,<1,1.13,19,0.04,12,0.01,<5,4.0,<10,98.3,0.12,27,<10,10.7,20,52.4,-,-
*STD-OREAS-607,-,-,-,-,-,-,-,-,-,-,-,-,6,6.51,200,2439,2.1,6,0.48,2,4,24,562,1.78,3.03,36.4,38,0.31,97,3,1.63,16,0.07,207,0.99,33,2.8,<10,216,0.16,24,<10,10.9,276,63.2,-,-
*STD-OREAS-133A,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
*REP-PAL01602,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
*STD-OREAS-135B,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,53,0.01
*BLK-BLANK,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
*STD-OREAS-317,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
*REP-PAL01630,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
*STD-OREAS-929,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7,2.01
*REP-PAL01655,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
*STD-OREAS-133A,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
*STD-OREAS-136,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
*BLK-BLANK,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
*REP-PAL01675,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
*STD-OREAS-317,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
