BATCH NO: 1.1 (PAL01,Wtkg_KG[WGH10],Wtcru_dry_kg_KG[CRU24],Tot. Weight_G[CRU-QA/QC],Pass 2mm_%[CRU-QA/QC],Rmnd 2mm_%[CRU-QA/QC],WT. - Frac Entire_G[CRU-QA/QC],WT. + Frac Entire_G[CRU-QA/QC],Tot. Weight_G[PUL-QA/QC],Pass 75um_%[PUL-QA/QC],Rmnd 75um_%[PUL-QA/QC],WT. - Frac Entire_G[PUL-QA/QC],WT. + Frac Entire_G[PUL-QA/QC],Ag_ppm[ICP40B|LDL:2|UDL:10],Al_pct[ICP40B|LDL:0.01|UDL:15],As_ppm[ICP40B|LDL:3|UDL:10000],Ba_ppm[ICP40B|LDL:1|UDL:10000],Be_ppm[ICP40B|LDL:0.5|UDL:2500],Bi_ppm[ICP40B|LDL:5|UDL:10000],Ca_pct[ICP40B|LDL:0.01|UDL:15],Cd_ppm[ICP40B|LDL:1|UDL:10000],Co_ppm[ICP40B|LDL:1|UDL:10000],Cr_ppm[ICP40B|LDL:1|UDL:10000],Cu_ppm[ICP40B|LDL:0.5|UDL:10000],Fe_pct[ICP40B|LDL:0.01|UDL:15],K_pct[ICP40B|LDL:0.01|UDL:15],La_ppm[ICP40B|LDL:0.5|UDL:10000],Li_ppm[ICP40B|LDL:1|UDL:10000],Mg_pct[ICP40B|LDL:0.01|UDL:15],Mn_ppm[ICP40B|LDL:2|UDL:10000],Mo_ppm[ICP40B|LDL:1|UDL:10000],Na_pct[ICP40B|LDL:0.01|UDL:15],Ni_ppm[ICP40B|LDL:1|UDL:10000],P_pct[ICP40B|LDL:0.01|UDL:15],Pb_ppm[ICP40B|LDL:2|UDL:10000],S_pct[ICP40B|LDL:0.01|UDL:5],Sb_ppm[ICP40B|LDL:5|UDL:10000],Sc_ppm[ICP40B|LDL:0.5|UDL:10000],Sn_ppm[ICP40B|LDL:10|UDL:10000],Sr_ppm[ICP40B|LDL:0.5|UDL:5000],Ti_pct[ICP40B|LDL:0.01|UDL:15],V_ppm[ICP40B|LDL:2|UDL:10000],W_ppm[ICP40B|LDL:10|UDL:10000],Y_ppm[ICP40B|LDL:0.5|UDL:10000],Zn_ppm[ICP40B|LDL:1|UDL:10000],Zr_ppm[ICP40B|LDL:0.5|UDL:10000],Ag_ppm[AAS42S|LDL:5|UDL:500],Cu_pct[AAS42S|LDL:0.001|UDL:50],Pb_pct[AAS42S|LDL:0.002|UDL:2.5],Zn_pct[AAS42S|LDL:0.001|UDL:5]
PAL01326,1.69,1.69,500.0,78.20,21.80,391.0,109.0,20.0,85.00,15.00,17.0,3.0,<2,0.20,<3,26,<0.5,<5,>15,<1,<1,3,2.1,0.10,0.10,1.8,25,1.22,69,3,0.06,1,<0.01,9,>5,<5,<0.5,<10,1296,<0.01,6,<10,0.5,31,2.2,-,-,-,-
PAL01327,-,-,-,-,-,-,-,-,-,-,-,-,7,7.02,806,226,1.5,<5,4.04,22,540,110,4369,5.48,1.59,18.7,18,1.93,857,169,2.35,443,0.05,4043,0.65,369,19.0,61,177,0.64,138,<10,2.8,3876,117,-,-,-,-
PAL01328,0.75,0.75,-,-,-,-,-,-,-,-,-,-,<2,0.45,4,58,<0.5,<5,>15,<1,2,4,5.3,0.19,0.11,2.5,55,2.05,120,7,0.09,2,<0.01,73,>5,<5,0.6,<10,2997,0.02,11,<10,1.3,139,6.1,-,-,-,-
PAL01329,0.61,0.61,-,-,-,-,-,-,-,-,-,-,<2,1.02,4,69,<0.5,<5,>15,<1,2,13,4.3,0.46,0.33,6.1,29,3.82,461,4,0.33,6,0.01,41,0.67,<5,1.3,<10,401,0.04,14,<10,3.7,255,13.2,-,-,-,-
PAL01330,0.84,0.84,-,-,-,-,-,-,-,-,-,-,<2,0.82,4,86,<0.5,<5,>15,1,2,9,5.1,0.36,0.26,5.9,19,1.41,511,<1,0.29,5,<0.01,72,0.38,<5,1.0,<10,474,0.03,12,<10,3.7,377,12.8,-,-,-,-
PAL01331,0.57,0.57,-,-,-,-,-,-,-,-,-,-,<2,1.63,6,166,0.5,<5,>15,3,3,18,7.2,0.93,0.60,8.4,34,2.48,1371,3,0.26,11,0.02,160,0.54,<5,2.2,<10,323,0.06,20,<10,5.8,900,20.0,-,-,-,-
PAL01332,0.99,0.99,-,-,-,-,-,-,-,-,-,-,<2,2.31,7,740,0.7,<5,>15,2,5,15,8.4,1.21,0.77,12.9,40,0.62,2360,2,0.30,15,0.02,116,0.63,<5,3.1,<10,819,0.09,25,<10,9.8,484,28.5,-,-,-,-
PAL01333,1.04,1.04,-,-,-,-,-,-,-,-,-,-,<2,3.53,10,154,1.2,<5,>15,<1,6,23,8.9,1.32,1.25,15.8,57,0.70,1901,2,0.37,16,0.03,105,0.38,<5,4.7,<10,329,0.14,35,<10,10.1,176,43.0,-,-,-,-
PAL01334,1.00,1.00,-,-,-,-,-,-,-,-,-,-,<2,3.46,9,120,1.2,<5,>15,<1,6,17,8.2,1.28,1.25,14.6,57,0.75,1765,1,0.31,16,0.03,72,0.28,<5,4.9,<10,366,0.13,36,<10,10.4,183,35.4,-,-,-,-
PAL01335,1.00,1.00,-,-,-,-,-,-,-,-,-,-,<2,5.17,12,154,1.7,<5,>15,<1,8,29,14.9,1.79,1.77,23.0,75,0.98,1637,<1,0.58,22,0.04,111,0.26,6,6.8,<10,270,0.20,50,<10,13.9,128,63.5,-,-,-,-
PAL01336,1.07,1.07,-,-,-,-,-,-,-,-,-,-,<2,4.81,13,163,1.6,<5,>15,<1,9,31,9.0,1.92,1.70,20.6,75,0.94,1972,<1,0.45,26,0.04,168,0.34,5,6.5,<10,275,0.17,48,<10,14.5,206,50.5,-,-,-,-
PAL01337,1.10,1.10,-,-,-,-,-,-,-,-,-,-,<2,6.98,15,191,2.4,<5,>15,<1,11,46,8.0,2.48,2.53,28.1,100,1.11,1748,<1,0.63,33,0.05,202,0.37,<5,9.5,<10,234,0.26,71,<10,17.8,127,78.9,-,-,-,-
PAL01338,0.69,0.69,-,-,-,-,-,-,-,-,-,-,<2,8.54,8,241,2.9,<5,11.2,<1,8,50,45.0,2.95,3.11,34.4,116,1.27,1441,<1,0.73,35,0.06,171,0.17,5,11.7,<10,210,0.32,88,<10,20.2,66,96.8,-,-,-,-
PAL01339,0.73,0.73,-,-,-,-,-,-,-,-,-,-,<2,7.92,11,227,2.4,<5,10.6,<1,10,44,82.9,2.72,2.67,34.9,100,1.18,1664,<1,0.85,41,0.05,155,0.16,7,10.5,<10,191,0.30,71,<10,20.6,79,95.1,-,-,-,-
PAL01340,0.51,0.51,-,-,-,-,-,-,-,-,-,-,<2,7.64,9,219,2.4,<5,11.1,<1,8,44,12.1,2.79,2.63,34.2,93,1.37,1944,<1,0.78,29,0.05,194,0.19,<5,10.4,<10,197,0.30,77,<10,20.1,65,94.3,-,-,-,-
PAL01341,0.57,0.57,-,-,-,-,-,-,-,-,-,-,<2,8.64,17,249,2.9,<5,9.55,<1,11,53,25.3,3.03,3.07,34.2,104,1.32,1646,<1,0.83,31,0.06,210,0.57,5,11.7,<10,196,0.30,81,<10,20.5,93,93.4,-,-,-,-
*DUP-PAL01341,0.00,0.00,-,-,-,-,-,-,-,-,-,-,<2,8.42,16,244,2.8,<5,9.33,<1,10,48,25.4,2.97,2.99,34.9,101,1.29,1610,<1,0.80,30,0.06,213,0.57,6,11.3,<10,190,0.31,87,<10,20.1,95,95.1,-,-,-,-
PAL01342,0.49,0.49,-,-,-,-,-,-,-,-,-,-,<2,6.77,21,178,2.3,<5,>15,<1,14,50,31.0,3.40,2.40,29.3,83,1.47,2726,2,0.59,35,0.05,413,1.40,6,9.3,<10,247,0.24,76,<10,19.4,239,74.8,-,-,-,-
PAL01343,1.53,1.53,-,-,-,-,-,-,-,-,-,-,<2,0.68,3,18,<0.5,<5,>15,<1,<1,3,3.2,0.50,0.20,3.9,11,11.6,744,<1,0.04,<1,<0.01,10,0.04,<5,0.5,<10,31.8,0.01,<2,<10,3.4,47,13.7,-,-,-,-
PAL01344,0.31,0.31,-,-,-,-,-,-,-,-,-,-,2,5.29,28,164,1.8,<5,>15,9,17,60,1078,2.43,1.77,25.5,61,1.56,2589,26,0.54,43,0.04,462,1.12,<5,7.1,<10,242,0.20,143,<10,16.7,2954,64.4,-,-,-,-
PAL01345,0.31,0.31,500.0,79.40,20.60,397.0,103.0,20.0,86.00,14.00,17.2,2.8,2,4.30,18,132,1.7,<5,>15,30,12,66,320,1.40,1.51,24.3,52,0.74,3437,38,0.42,32,0.03,3423,1.07,5,6.0,<10,286,0.17,207,16,16.4,>10000,54.1,-,-,-,1.04
PAL01346,-,-,-,-,-,-,-,-,-,-,-,-,>10,1.16,443,5386,<0.5,22,10.4,4,59,1245,3164,4.77,0.42,4.1,21,6.11,1256,<1,0.04,838,0.01,16,0.18,818,11.2,<10,615,0.15,67,<10,<0.5,333,12.5,19,-,-,-
PAL01347,0.24,0.24,-,-,-,-,-,-,-,-,-,-,>10,4.83,283,142,2.3,<5,>15,45,170,106,9135,1.73,1.71,34.2,55,0.85,2528,184,0.47,94,0.16,8327,2.06,19,7.0,<10,300,0.19,695,23,29.2,>10000,67.3,15,-,-,1.63
PAL01348,0.34,0.34,-,-,-,-,-,-,-,-,-,-,>10,5.09,980,413,1.3,<5,4.36,2,212,28,>10000,1.32,2.26,28.3,27,0.29,1240,23,1.14,29,0.04,117,1.05,17,3.4,<10,116,0.13,55,<10,14.5,383,67.6,35,1.70,-,-
PAL01349,0.54,0.54,-,-,-,-,-,-,-,-,-,-,7,3.69,294,382,1.0,<5,2.59,<1,31,12,3444,0.71,2.03,18.5,24,0.19,753,13,0.98,8,0.03,34,0.42,12,2.5,<10,73.7,0.10,20,<10,10.6,110,54.5,-,-,-,-
PAL01350,0.57,0.57,-,-,-,-,-,-,-,-,-,-,8,3.14,444,3414,0.9,<5,2.15,<1,18,11,3012,0.88,1.54,15.1,22,0.45,646,4,1.00,7,0.02,29,0.43,7,2.1,<10,480,0.07,15,<10,9.1,187,50.6,-,-,-,-
PAL01351,0.53,0.53,-,-,-,-,-,-,-,-,-,-,7,3.22,160,916,1.0,<5,4.28,<1,12,10,2781,1.41,1.75,11.6,23,1.17,1243,<1,0.69,6,0.02,95,0.30,<5,1.7,<10,193,0.05,14,<10,11.7,157,40.9,-,-,-,-
PAL01352,0.00,0.00,-,-,-,-,-,-,-,-,-,-,7,3.28,176,908,1.0,<5,4.38,<1,12,10,2728,1.69,1.77,11.4,24,1.17,1299,<1,0.70,7,0.02,93,0.30,<5,1.7,<10,196,0.05,13,<10,12.0,152,40.9,-,-,-,-
PAL01353,0.30,0.30,-,-,-,-,-,-,-,-,-,-,6,2.92,208,3132,0.8,<5,5.22,<1,7,13,3005,0.73,1.59,9.8,36,0.45,1048,2,0.62,5,0.02,33,0.28,6,1.4,<10,610,0.04,17,<10,9.7,146,27.9,-,-,-,-
PAL01354,0.24,0.24,-,-,-,-,-,-,-,-,-,-,7,2.97,82,434,0.7,<5,7.06,<1,6,8,3938,0.88,1.66,9.3,22,0.37,1399,2,0.69,5,0.02,24,0.19,<5,1.4,<10,144,0.04,13,<10,11.8,99,27.0,-,-,-,-
PAL01355,0.38,0.38,-,-,-,-,-,-,-,-,-,-,>10,3.83,35,616,1.2,<5,5.12,<1,7,12,4779,0.64,2.26,12.2,27,0.24,972,4,0.51,5,0.02,20,0.24,<5,2.2,<10,137,0.06,24,<10,9.6,84,45.1,10,-,-,-
PAL01356,0.95,0.95,-,-,-,-,-,-,-,-,-,-,<2,3.05,<3,1513,0.8,<5,1.45,<1,<1,9,167,0.44,2.36,7.5,32,0.22,415,<1,0.42,2,0.02,29,0.06,<5,1.5,<10,111,0.03,15,<10,6.5,25,29.4,-,-,-,-
PAL01357,0.87,0.87,-,-,-,-,-,-,-,-,-,-,<2,2.54,<3,3386,0.6,<5,1.21,<1,1,3,15.9,0.43,2.22,7.4,31,0.22,384,<1,0.48,2,0.02,16,0.11,<5,0.9,<10,441,0.02,10,<10,6.5,10,25.9,-,-,-,-
PAL01358,0.73,0.73,-,-,-,-,-,-,-,-,-,-,<2,2.89,<3,720,0.6,<5,2.74,<1,<1,4,13.2,0.55,1.85,7.3,27,0.21,861,<1,0.51,3,0.02,14,0.02,<5,1.0,<10,136,0.03,10,<10,9.0,8,25.1,-,-,-,-
PAL01359,1.32,1.32,-,-,-,-,-,-,-,-,-,-,<2,5.84,11,458,2.5,<5,0.47,<1,3,22,120,1.13,3.54,30.4,46,0.49,228,<1,0.71,9,0.04,16,0.02,<5,5.6,<10,91.0,0.16,68,<10,9.7,25,62.9,-,-,-,-
PAL01360,1.06,1.06,-,-,-,-,-,-,-,-,-,-,<2,2.99,<3,1093,0.7,<5,1.24,<1,2,5,18.6,0.68,2.83,7.2,26,0.31,385,<1,0.63,5,0.03,17,0.03,<5,1.1,<10,138,0.04,10,<10,7.5,12,26.7,-,-,-,-
PAL01361,0.83,0.83,-,-,-,-,-,-,-,-,-,-,<2,4.68,<3,551,0.8,<5,0.99,<1,1,5,6.8,0.57,3.10,10.1,26,0.31,350,<1,0.68,4,0.04,17,0.02,<5,1.6,<10,88.8,0.05,12,<10,7.1,10,32.6,-,-,-,-
PAL01362,1.28,1.28,-,-,-,-,-,-,-,-,-,-,<2,3.22,<3,685,0.6,<5,1.05,<1,1,5,5.5,0.55,2.85,7.3,30,0.26,318,<1,0.59,4,0.03,22,0.02,<5,1.0,<10,93.0,0.03,8,<10,6.5,9,25.3,-,-,-,-
PAL01363,0.80,0.80,-,-,-,-,-,-,-,-,-,-,<2,3.56,<3,2252,0.6,<5,2.12,1,1,4,7.5,0.64,2.71,6.6,24,0.38,507,<1,0.55,3,0.03,117,0.10,<5,0.8,<10,305,0.03,8,<10,7.7,15,21.8,-,-,-,-
PAL01364,0.45,0.45,-,-,-,-,-,-,-,-,-,-,<2,3.89,<3,948,0.6,<5,2.87,<1,1,4,5.6,0.79,2.62,8.3,19,0.34,770,<1,0.53,4,0.03,19,0.03,<5,1.0,<10,155,0.03,9,<10,9.4,12,24.7,-,-,-,-
PAL01365,0.99,0.99,-,-,-,-,-,-,-,-,-,-,<2,3.78,4,407,1.2,<5,1.23,<1,2,8,4.4,1.06,2.70,16.6,27,0.31,366,<1,0.65,5,0.04,14,0.01,<5,2.2,<10,67.5,0.10,18,<10,8.4,14,52.7,-,-,-,-
PAL01366,0.80,0.80,500.0,76.60,23.40,383.0,117.0,20.0,85.00,15.00,17.0,3.0,<2,4.35,4,533,1.2,<5,1.76,<1,2,10,4.0,0.92,2.82,15.3,27,0.33,488,<1,0.62,5,0.04,12,0.01,<5,2.1,<10,91.7,0.08,19,<10,8.6,12,47.0,-,-,-,-
PAL01367,1.45,1.45,-,-,-,-,-,-,-,-,-,-,<2,0.56,<3,16,<0.5,<5,>15,<1,<1,2,4.2,0.52,0.18,3.6,11,11.6,729,<1,0.03,<1,<0.01,11,0.04,<5,0.5,<10,31.3,0.01,<2,<10,3.2,70,10.0,-,-,-,-
PAL01368,1.16,1.16,-,-,-,-,-,-,-,-,-,-,<2,3.42,<3,916,0.6,<5,1.81,<1,1,5,3.6,0.70,2.78,7.1,29,0.27,541,<1,0.59,4,0.03,16,0.02,<5,0.9,<10,123,0.03,8,<10,6.9,8,23.1,-,-,-,-
*DUP-PAL01368,0.00,0.00,-,-,-,-,-,-,-,-,-,-,<2,3.27,<3,821,0.5,<5,1.60,<1,<1,4,3.2,0.62,2.86,6.3,26,0.24,478,<1,0.52,3,0.03,14,0.03,<5,0.8,<10,122,0.03,7,<10,6.0,7,19.0,-,-,-,-
PAL01369,1.09,1.09,-,-,-,-,-,-,-,-,-,-,<2,4.38,<3,724,0.8,<5,2.40,<1,1,8,3.7,0.74,2.94,9.7,23,0.31,582,<1,0.69,3,0.04,17,0.02,6,1.3,<10,119,0.05,11,<10,8.1,9,30.0,-,-,-,-
PAL01370,1.10,1.10,-,-,-,-,-,-,-,-,-,-,<2,4.16,<3,549,0.7,<5,3.66,<1,1,4,3.3,0.56,2.67,8.9,21,0.28,778,<1,0.55,3,0.03,16,0.02,<5,1.1,<10,107,0.03,9,<10,8.5,9,25.6,-,-,-,-
PAL01371,0.68,0.68,-,-,-,-,-,-,-,-,-,-,<2,3.97,3,570,0.8,<5,1.15,<1,2,7,2.9,1.14,2.70,9.3,29,0.25,406,<1,0.54,4,0.03,16,0.02,<5,1.1,<10,94.7,0.04,11,<10,6.6,12,28.3,-,-,-,-
PAL01372,0.85,0.85,-,-,-,-,-,-,-,-,-,-,<2,3.53,4,541,0.7,<5,4.94,<1,2,6,3.7,0.81,2.02,9.4,29,0.21,1017,<1,0.67,4,0.03,14,0.02,<5,1.7,<10,118,0.05,14,<10,10.2,10,27.2,-,-,-,-
PAL01373,1.09,1.09,-,-,-,-,-,-,-,-,-,-,<2,3.66,3,406,0.7,<5,5.22,<1,2,6,3.7,0.89,2.04,10.5,20,0.23,908,<1,0.71,4,0.03,12,0.02,<5,1.7,<10,111,0.06,12,<10,10.5,11,33.0,-,-,-,-
PAL01374,2.11,2.11,-,-,-,-,-,-,-,-,-,-,<2,4.25,7,291,1.1,<5,5.45,<1,3,18,4.7,1.40,1.89,17.0,25,0.31,882,1,0.90,9,0.03,12,0.02,<5,3.5,<10,104,0.10,28,<10,10.8,19,42.2,-,-,-,-
PAL01375,2.22,2.22,-,-,-,-,-,-,-,-,-,-,<2,4.69,5,441,1.3,<5,4.81,<1,3,15,3.7,1.26,2.47,16.2,28,0.34,1131,<1,0.76,7,0.02,16,0.02,<5,2.5,<10,115,0.07,22,<10,11.3,19,36.4,-,-,-,-
PAL01376,0.69,0.69,-,-,-,-,-,-,-,-,-,-,<2,4.83,7,606,1.4,<5,4.24,<1,3,7,5.1,1.11,2.94,15.0,28,0.34,733,<1,0.74,6,0.02,15,0.02,<5,2.5,<10,135,0.07,21,<10,11.4,14,44.9,-,-,-,-
PAL01377,0.87,0.87,-,-,-,-,-,-,-,-,-,-,<2,3.77,10,2051,1.1,<5,0.74,<1,2,38,6.5,1.07,2.86,17.2,28,0.32,308,<1,0.86,4,0.02,9,0.07,<5,2.1,<10,200,0.06,19,<10,9.4,13,54.0,-,-,-,-
PAL01378,2.31,2.31,-,-,-,-,-,-,-,-,-,-,<2,0.58,<3,33,<0.5,<5,>15,<1,1,4,4.9,0.23,0.25,3.0,21,1.19,91,<1,0.11,3,<0.01,13,>5,<5,0.8,<10,2879,0.02,6,<10,1.3,77,5.9,-,-,-,-
PAL01379,-,-,-,-,-,-,-,-,-,-,-,-,>10,5.32,175,16,1.0,<5,0.38,12,3,32,>10000,2.37,4.52,1.0,9,0.21,155,194,1.33,18,0.05,1443,1.24,<5,2.2,<10,32.0,0.07,15,<10,<0.5,2574,15.2,16,2.15,-,-
PAL01380,2.33,2.33,-,-,-,-,-,-,-,-,-,-,<2,0.38,<3,43,<0.5,<5,>15,<1,<1,4,10.0,0.22,0.20,1.8,16,1.89,188,<1,0.06,1,<0.01,14,>5,<5,0.5,<10,1614,0.01,5,<10,0.7,109,3.0,-,-,-,-
PAL01381,1.64,1.64,-,-,-,-,-,-,-,-,-,-,<2,0.22,<3,45,<0.5,<5,>15,1,<1,3,7.8,0.21,0.11,1.6,11,1.74,163,<1,0.06,2,<0.01,61,>5,<5,<0.5,<10,1851,0.01,3,<10,0.6,394,2.4,-,-,-,-
PAL01382,2.27,2.27,-,-,-,-,-,-,-,-,-,-,<2,2.86,11,401,0.8,<5,>15,3,5,23,13.4,1.30,1.01,12.2,46,1.19,2775,<1,0.41,18,0.03,317,1.09,6,3.9,<10,2127,0.11,32,<10,8.5,797,35.2,-,-,-,-
PAL01383,2.06,2.06,-,-,-,-,-,-,-,-,-,-,<2,2.26,7,231,0.6,<5,>15,<1,3,15,8.9,0.94,0.73,11.2,33,0.70,2316,<1,0.39,12,0.02,106,0.92,<5,3.0,<10,2309,0.09,23,<10,7.9,149,31.8,-,-,-,-
*BLK-BLANK,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,<5,<0.001,<0.002,<0.001
*BLK-BLANK,-,-,-,-,-,-,-,-,-,-,-,-,<2,<0.01,<3,<1,<0.5,<5,0.01,<1,<1,<1,<0.5,<0.01,<0.01,<0.5,<1,<0.01,<2,<1,<0.01,<1,<0.01,<2,<0.01,<5,<0.5,<10,<0.5,<0.01,<2,<10,<0.5,<1,<0.5,-,-,-,-
*STD-OREAS-925,-,-,-,-,-,-,-,-,-,-,-,-,2,7.63,12,413,1.9,24,0.47,<1,22,67,5933,6.67,2.36,43.3,32,1.72,998,<1,0.27,34,0.06,110,0.95,<5,11.9,14,36.0,0.36,86,<10,25.8,474,113,-,-,-,-
*REP-PAL01299,-,-,-,-,-,-,-,-,-,-,-,-,7,4.14,47,125,2.0,<5,>15,62,33,82,603,1.50,1.41,27.3,51,0.92,3398,159,0.44,70,0.06,>10000,1.99,6,5.8,<10,344,0.16,545,33,18.7,>10000,55.4,-,-,-,-
*STD-OREAS-211,-,-,-,-,-,-,-,-,-,-,-,-,<2,6.86,40,186,<0.5,<5,6.31,<1,46,95,157,8.09,0.40,5.3,11,3.83,1425,<1,1.96,75,0.04,18,0.32,<5,38.8,<10,133,0.66,287,19,21.9,114,55.0,-,-,-,-
*STD-OREAS-607,-,-,-,-,-,-,-,-,-,-,-,-,6,6.96,208,2360,1.9,7,0.47,2,4,26,533,1.61,2.91,33.8,38,0.31,91,3,1.56,12,0.07,202,0.90,30,2.9,<10,220,0.16,24,<10,10.1,265,59.2,-,-,-,-
*BLK-BLANK,-,-,-,-,-,-,-,-,-,-,-,-,<2,<0.01,<3,<1,<0.5,<5,<0.01,<1,<1,<1,<0.5,<0.01,<0.01,<0.5,<1,<0.01,<2,<1,<0.01,<1,<0.01,<2,0.02,<5,<0.5,<10,<0.5,<0.01,<2,<10,<0.5,<1,<0.5,-,-,-,-
*REP-PAL01328,-,-,-,-,-,-,-,-,-,-,-,-,<2,0.42,<3,52,<0.5,<5,>15,<1,1,4,4.4,0.18,0.10,2.5,54,2.02,117,7,0.09,1,<0.01,76,>5,<5,0.5,<10,3009,0.02,11,<10,1.3,132,6.0,-,-,-,-
*STD-OREAS-601B,-,-,-,-,-,-,-,-,-,-,-,-,>10,6.57,292,1956,2.0,13,0.85,2,3,22,1057,2.41,2.47,34.0,24,0.10,218,5,1.96,6,0.03,324,1.50,26,3.1,<10,244,0.14,14,<10,11.2,310,175,-,-,-,-
*REP-PAL01353,-,-,-,-,-,-,-,-,-,-,-,-,6,2.76,192,2974,0.7,<5,4.96,<1,7,13,2790,0.69,1.52,10.1,35,0.42,1002,2,0.59,4,0.02,24,0.27,6,1.4,<10,574,0.04,16,<10,9.1,139,26.5,-,-,-,-
*STD-OREAS-925,-,-,-,-,-,-,-,-,-,-,-,-,<2,7.28,13,414,1.8,29,0.43,<1,22,69,5967,6.99,2.46,37.9,35,1.69,935,<1,0.27,33,0.05,106,0.96,<5,12.0,12,35.6,0.38,89,<10,23.1,453,109,-,-,-,-
*BLK-BLANK,-,-,-,-,-,-,-,-,-,-,-,-,<2,<0.01,<3,<1,<0.5,<5,0.01,<1,<1,<1,<0.5,<0.01,<0.01,<0.5,<1,<0.01,<2,<1,0.01,<1,<0.01,<2,<0.01,<5,<0.5,<10,<0.5,<0.01,<2,<10,<0.5,<1,<0.5,-,-,-,-
*STD-OREAS-211,-,-,-,-,-,-,-,-,-,-,-,-,<2,6.90,39,184,<0.5,<5,6.43,<1,44,87,159,8.38,0.39,5.4,11,3.54,1418,<1,1.99,74,0.04,16,0.31,<5,39.5,<10,136,0.62,287,19,22.5,128,52.0,-,-,-,-
*REP-PAL01381,-,-,-,-,-,-,-,-,-,-,-,-,<2,0.26,<3,50,<0.5,<5,>15,1,<1,2,6.0,0.23,0.11,1.8,14,1.77,174,<1,0.08,2,<0.01,61,>5,<5,<0.5,<10,2045,0.01,3,<10,0.7,349,3.2,-,-,-,-
*STD-OREAS-135B,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,53,0.01,1.72,2.75
*REP-PAL01299,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
*STD-OREAS-133A,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
*STD-OREAS-929,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7,2.01,0.01,0.05
*BLK-BLANK,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
*REP-PAL01328,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
*STD-OREAS-136,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
*REP-PAL01353,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
*STD-OREAS-317,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
*BLK-BLANK,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
*STD-OREAS-605B,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
*REP-PAL01381,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
*REP-PAL01297,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,16,2.15,-,-
*REP-PAL01299,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1.16,2.40
*REP-PAL01348,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,35,1.69,-,-
