BATCH NO: 1.1 (PAL01,Wtkg_KG[WGH10],Wtcru_dry_kg_KG[CRU24],Tot. Weight_G[CRU-QA/QC],Pass 2mm_%[CRU-QA/QC],Rmnd 2mm_%[CRU-QA/QC],WT. - Frac Entire_G[CRU-QA/QC],WT. + Frac Entire_G[CRU-QA/QC],Tot. Weight_G[PUL-QA/QC],Pass 75um_%[PUL-QA/QC],Rmnd 75um_%[PUL-QA/QC],WT. - Frac Entire_G[PUL-QA/QC],WT. + Frac Entire_G[PUL-QA/QC],Ag_ppm[ICP40B|LDL:2|UDL:10],Al_pct[ICP40B|LDL:0.01|UDL:15],As_ppm[ICP40B|LDL:3|UDL:10000],Ba_ppm[ICP40B|LDL:1|UDL:10000],Be_ppm[ICP40B|LDL:0.5|UDL:2500],Bi_ppm[ICP40B|LDL:5|UDL:10000],Ca_pct[ICP40B|LDL:0.01|UDL:15],Cd_ppm[ICP40B|LDL:1|UDL:10000],Co_ppm[ICP40B|LDL:1|UDL:10000],Cr_ppm[ICP40B|LDL:1|UDL:10000],Cu_ppm[ICP40B|LDL:0.5|UDL:10000],Fe_pct[ICP40B|LDL:0.01|UDL:15],K_pct[ICP40B|LDL:0.01|UDL:15],La_ppm[ICP40B|LDL:0.5|UDL:10000],Li_ppm[ICP40B|LDL:1|UDL:10000],Mg_pct[ICP40B|LDL:0.01|UDL:15],Mn_ppm[ICP40B|LDL:2|UDL:10000],Mo_ppm[ICP40B|LDL:1|UDL:10000],Na_pct[ICP40B|LDL:0.01|UDL:15],Ni_ppm[ICP40B|LDL:1|UDL:10000],P_pct[ICP40B|LDL:0.01|UDL:15],Pb_ppm[ICP40B|LDL:2|UDL:10000],S_pct[ICP40B|LDL:0.01|UDL:5],Sb_ppm[ICP40B|LDL:5|UDL:10000],Sc_ppm[ICP40B|LDL:0.5|UDL:10000],Sn_ppm[ICP40B|LDL:10|UDL:10000],Sr_ppm[ICP40B|LDL:0.5|UDL:5000],Ti_pct[ICP40B|LDL:0.01|UDL:15],V_ppm[ICP40B|LDL:2|UDL:10000],W_ppm[ICP40B|LDL:10|UDL:10000],Y_ppm[ICP40B|LDL:0.5|UDL:10000],Zn_ppm[ICP40B|LDL:1|UDL:10000],Zr_ppm[ICP40B|LDL:0.5|UDL:10000],Ag_ppm[AAS42S|LDL:5|UDL:500],Cu_pct[AAS42S|LDL:0.001|UDL:50],Pb_pct[AAS42S|LDL:0.002|UDL:2.5],Zn_pct[AAS42S|LDL:0.001|UDL:5]
PAL01297,-,-,-,-,-,-,-,-,-,-,-,-,>10,5.32,175,16,1.0,<5,0.38,12,3,32,>10000,2.37,4.52,1.0,9,0.21,155,194,1.33,18,0.05,1443,1.24,<5,2.2,<10,32.0,0.07,15,<10,<0.5,2574,15.2,16,2.15,-,-
PAL01298,0.48,0.48,-,-,-,-,-,-,-,-,-,-,8,4.20,59,455,1.2,<5,3.13,<1,17,12,2341,0.82,2.00,20.0,30,0.21,1091,3,1.10,7,0.03,117,0.46,<5,2.0,<10,114,0.08,18,<10,12.6,276,46.2,-,-,-,-
PAL01299,0.32,0.32,-,-,-,-,-,-,-,-,-,-,7,4.27,49,129,2.1,<5,>15,63,34,85,636,1.54,1.47,27.4,53,0.95,3523,165,0.45,73,0.06,>10000,2.03,5,6.0,<10,353,0.16,592,34,19.1,>10000,55.6,-,-,1.15,2.37
PAL01300,0.41,0.41,-,-,-,-,-,-,-,-,-,-,10,3.44,38,504,1.1,<5,2.12,<1,12,7,3050,0.82,1.99,15.8,26,0.21,731,1,1.05,6,0.03,48,0.38,<5,2.0,<10,89.6,0.08,16,<10,9.0,81,47.6,-,-,-,-
PAL01301,0.55,0.55,-,-,-,-,-,-,-,-,-,-,>10,3.33,91,468,1.1,<5,2.02,<1,14,9,6337,0.79,2.03,17.0,27,0.24,723,<1,0.96,6,0.02,29,0.35,5,2.1,<10,79.2,0.08,15,<10,7.9,75,47.3,18,-,-,-
PAL01302,0.23,0.23,-,-,-,-,-,-,-,-,-,-,>10,3.43,47,620,0.8,<5,5.86,<1,9,9,3259,1.48,1.95,13.6,24,0.41,1939,1,0.75,6,0.02,30,0.23,<5,1.8,<10,131,0.05,12,<10,10.7,154,35.2,10,-,-,-
PAL01303,0.00,0.00,-,-,-,-,-,-,-,-,-,-,>10,3.59,60,668,0.9,<5,5.89,<1,10,8,3379,0.95,1.97,13.5,24,0.39,1878,1,0.79,5,0.02,42,0.26,<5,2.0,<10,142,0.05,13,<10,11.4,187,35.5,11,-,-,-
PAL01304,0.47,0.47,-,-,-,-,-,-,-,-,-,-,4,3.79,19,714,1.0,<5,3.90,<1,4,12,1357,0.72,1.88,12.8,32,1.03,2975,1,0.86,4,0.02,67,0.12,<5,1.7,<10,135,0.06,19,<10,8.8,65,38.8,-,-,-,-
PAL01305,0.24,0.24,-,-,-,-,-,-,-,-,-,-,<2,5.05,15,555,1.7,<5,2.49,<1,2,19,254,0.64,2.73,12.0,29,0.58,1187,<1,0.75,5,0.03,20,0.03,<5,2.1,<10,105,0.07,21,<10,7.1,24,45.3,-,-,-,-
PAL01306,0.99,0.99,500.0,76.00,24.00,380.0,120.0,20.0,85.50,14.50,17.1,2.9,<2,3.84,12,1171,0.8,<5,2.50,<1,2,8,195,0.55,2.37,7.9,36,0.23,816,1,0.71,4,0.02,39,0.05,<5,1.1,<10,194,0.04,12,<10,7.1,25,28.2,-,-,-,-
