PROJECTCOD,CertificateNo,Received,Reported,HOLEID,SAMPLEID,SAMPLETYPE,SapSubType,Point_Type,Dsptch_L_D,SmpDspDate,SmpRetDate,Lab_L_D,Labjobno,AnalysisLD,SampWt_g_D,Wtkg,Wtcru_dry_kg,Tot_Weight_CRU,Pass_2mm_pct,Rmnd_2mm_pct,WT_MinusFrac_CRU_g,WT_PlusFrac_CRU_g,Tot_Weight_PUL_g,Pass_75um_pct,Rmnd_75um_pct,WT_MinusFrac_PUL_g,WT_PlusFrac_PUL_g,Ag_ppm,Ag_ppm_GMD,Ag_ppm_LDD,Ag_ppm_UDD,Al_pct,Al_pct_GMD,Al_pct_LDD,Al_pct_UDD,As_ppm,As_ppm_GMD,As_ppm_LDD,As_ppm_UDD,Ba_ppm,Ba_ppm_GMD,Ba_ppm_LDD,Ba_ppm_UDD,Be_ppm,Be_ppm_GMD,Be_ppm_LDD,Be_ppm_UDD,Bi_ppm,Bi_ppm_GMD,Bi_ppm_LDD,Bi_ppm_UDD,Ca_pct,Ca_pct_GMD,Ca_pct_LDD,Ca_pct_UDD,Cd_ppm,Cd_ppm_GMD,Cd_ppm_LDD,Cd_ppm_UDD,Co_ppm,Co_ppm_GMD,Co_ppm_LDD,Co_ppm_UDD,Cr_ppm,Cr_ppm_GMD,Cr_ppm_LDD,Cr_ppm_UDD,Cu_ppm,Cu_ppm_GMD,Cu_ppm_LDD,Cu_ppm_UDD,Fe_pct,Fe_pct_GMD,Fe_pct_LDD,Fe_pct_UDD,K_pct,K_pct_GMD,K_pct_LDD,K_pct_UDD,La_ppm,La_ppm_GMD,La_ppm_LDD,La_ppm_UDD,Li_ppm,Li_ppm_GMD,Li_ppm_LDD,Li_ppm_UDD,Mg_pct,Mg_pct_GMD,Mg_pct_LDD,Mg_pct_UDD,Mn_ppm,Mn_ppm_GMD,Mn_ppm_LDD,Mn_ppm_UDD,Mo_ppm,Mo_ppm_GMD,Mo_ppm_LDD,Mo_ppm_UDD,Na_pct,Na_pct_GMD,Na_pct_LDD,Na_pct_UDD,Ni_ppm,Ni_ppm_GMD,Ni_ppm_LDD,Ni_ppm_UDD,P_pct,P_pct_GMD,P_pct_LDD,P_pct_UDD,Pb_ppm,Pb_ppm_GMD,Pb_ppm_LDD,Pb_ppm_UDD,S_pct,S_pct_GMD,S_pct_LDD,S_pct_UDD,Sb_ppm,Sb_ppm_GMD,Sb_ppm_LDD,Sb_ppm_UDD,Sc_ppm,Sc_ppm_GMD,Sc_ppm_LDD,Sc_ppm_UDD,Sn_ppm,Sn_ppm_GMD,Sn_ppm_LDD,Sn_ppm_UDD,Sr_ppm,Sr_ppm_GMD,Sr_ppm_LDD,Sr_ppm_UDD,Ti_pct,Ti_pct_GMD,Ti_pct_LDD,Ti_pct_UDD,V_ppm,V_ppm_GMD,V_ppm_LDD,V_ppm_UDD,W_ppm,W_ppm_GMD,W_ppm_LDD,W_ppm_UDD,Y_ppm,Y_ppm_GMD,Y_ppm_LDD,Y_ppm_UDD,Zn_ppm,Zn_ppm_GMD,Zn_ppm_LDD,Zn_ppm_UDD,Zr_ppm,Zr_ppm_GMD,Zr_ppm_LDD,Zr_ppm_UDD,Ag_ppm_AAS42S,Ag_ppm_AAS42S_GMD,Ag_ppm_AAS42S_LDD,Ag_ppm_AAS42S_UDD,Cu_pct,Cu_pct_GMD,Cu_pct_LDD,Cu_pct_UDD,SampleID_orig,Wtkg_KG[WGH10],Wtcru_dry_kg_KG[CRU24],Tot. Weight_G[CRU-QA/QC],Pass 2mm_%[CRU-QA/QC],Rmnd 2mm_%[CRU-QA/QC],WT. - Frac Entire_G[CRU-QA/QC],WT. + Frac Entire_G[CRU-QA/QC],Tot. Weight_G[PUL-QA/QC],Pass 75um_%[PUL-QA/QC],Rmnd 75um_%[PUL-QA/QC],WT. - Frac Entire_G[PUL-QA/QC],WT. + Frac Entire_G[PUL-QA/QC],Ag_ppm[ICP40B|LDL:2|UDL:10],Al_pct[ICP40B|LDL:0.01|UDL:15],As_ppm[ICP40B|LDL:3|UDL:10000],Ba_ppm[ICP40B|LDL:1|UDL:10000],Be_ppm[ICP40B|LDL:0.5|UDL:2500],Bi_ppm[ICP40B|LDL:5|UDL:10000],Ca_pct[ICP40B|LDL:0.01|UDL:15],Cd_ppm[ICP40B|LDL:1|UDL:10000],Co_ppm[ICP40B|LDL:1|UDL:10000],Cr_ppm[ICP40B|LDL:1|UDL:10000],Cu_ppm[ICP40B|LDL:0.5|UDL:10000],Fe_pct[ICP40B|LDL:0.01|UDL:15],K_pct[ICP40B|LDL:0.01|UDL:15],La_ppm[ICP40B|LDL:0.5|UDL:10000],Li_ppm[ICP40B|LDL:1|UDL:10000],Mg_pct[ICP40B|LDL:0.01|UDL:15],Mn_ppm[ICP40B|LDL:2|UDL:10000],Mo_ppm[ICP40B|LDL:1|UDL:10000],Na_pct[ICP40B|LDL:0.01|UDL:15],Ni_ppm[ICP40B|LDL:1|UDL:10000],P_pct[ICP40B|LDL:0.01|UDL:15],Pb_ppm[ICP40B|LDL:2|UDL:10000],S_pct[ICP40B|LDL:0.01|UDL:5],Sb_ppm[ICP40B|LDL:5|UDL:10000],Sc_ppm[ICP40B|LDL:0.5|UDL:10000],Sn_ppm[ICP40B|LDL:10|UDL:10000],Sr_ppm[ICP40B|LDL:0.5|UDL:5000],Ti_pct[ICP40B|LDL:0.01|UDL:15],V_ppm[ICP40B|LDL:2|UDL:10000],W_ppm[ICP40B|LDL:10|UDL:10000],Y_ppm[ICP40B|LDL:0.5|UDL:10000],Zn_ppm[ICP40B|LDL:1|UDL:10000],Zr_ppm[ICP40B|LDL:0.5|UDL:10000],Ag_ppm[AAS42S|LDL:5|UDL:500],Cu_pct[AAS42S|LDL:0.001|UDL:50]
Tannenberg,TR2600300,09-Feb-26,23-Feb-26,,PAL02056,Core,Drill Core,Drillhole,TR2600300     150             376,09-Feb-26,23-Feb-26,TR2600300,TR2600300     150             376,,5.55,5.55,5.55,,,,,,,,,,,<2,ICP40B,2,10,5.99,ICP40B,0.01,15,10,ICP40B,3,10000,299,ICP40B,1,10000,1.5,ICP40B,0.5,2500,<5,ICP40B,5,10000,2.40,ICP40B,0.01,15,<1,ICP40B,1,10000,4,ICP40B,1,10000,81,ICP40B,1,10000,53.2,ICP40B,0.5,10000,1.51,ICP40B,0.01,15,2.34,ICP40B,0.01,15,26.6,ICP40B,0.5,10000,59,ICP40B,1,10000,1.30,ICP40B,0.01,15,421,ICP40B,2,10000,<1,ICP40B,1,10000,0.09,ICP40B,0.01,15,25,ICP40B,1,10000,<0.01,ICP40B,0.01,15,<2,ICP40B,2,10000,0.16,ICP40B,0.01,5,8,ICP40B,5,10000,13.1,ICP40B,0.5,10000,<10,ICP40B,10,10000,94.9,ICP40B,0.5,5000,0.38,ICP40B,0.01,15,114,ICP40B,2,10000,<10,ICP40B,10,10000,16.1,ICP40B,0.5,10000,16,ICP40B,1,10000,82.3,ICP40B,0.5,10000,,AAS42S,5,500,,AAS42S,0.001,50,PAL02056,5.55,5.55,-,-,-,-,-,-,-,-,-,-,<2,5.99,10,299,1.5,<5,2.40,<1,4,81,53.2,1.51,2.34,26.6,59,1.30,421,<1,0.09,25,<0.01,<2,0.16,8,13.1,<10,94.9,0.38,114,<10,16.1,16,82.3,-,-
Tannenberg,TR2600300,09-Feb-26,23-Feb-26,,PAL02057,Core,Drill Core,Drillhole,TR2600300     150             376,09-Feb-26,23-Feb-26,TR2600300,TR2600300     150             376,,-,,,,,,,,,,,,,>10,ICP40B,2,10,1.19,ICP40B,0.01,15,452,ICP40B,3,10000,5386,ICP40B,1,10000,<0.5,ICP40B,0.5,2500,22,ICP40B,5,10000,10.7,ICP40B,0.01,15,4,ICP40B,1,10000,61,ICP40B,1,10000,1219,ICP40B,1,10000,3162,ICP40B,0.5,10000,4.76,ICP40B,0.01,15,0.44,ICP40B,0.01,15,4.3,ICP40B,0.5,10000,21,ICP40B,1,10000,5.81,ICP40B,0.01,15,1307,ICP40B,2,10000,<1,ICP40B,1,10000,0.04,ICP40B,0.01,15,837,ICP40B,1,10000,0.01,ICP40B,0.01,15,16,ICP40B,2,10000,0.17,ICP40B,0.01,5,826,ICP40B,5,10000,11.7,ICP40B,0.5,10000,<10,ICP40B,10,10000,634,ICP40B,0.5,5000,0.15,ICP40B,0.01,15,67,ICP40B,2,10000,<10,ICP40B,10,10000,<0.5,ICP40B,0.5,10000,343,ICP40B,1,10000,12.0,ICP40B,0.5,10000,19,AAS42S,5,500,,AAS42S,0.001,50,PAL02057,-,-,-,-,-,-,-,-,-,-,-,-,>10,1.19,452,5386,<0.5,22,10.7,4,61,1219,3162,4.76,0.44,4.3,21,5.81,1307,<1,0.04,837,0.01,16,0.17,826,11.7,<10,634,0.15,67,<10,<0.5,343,12.0,19,-
Tannenberg,TR2600300,09-Feb-26,23-Feb-26,,PAL02058,Core,Drill Core,Drillhole,TR2600300     150             376,09-Feb-26,23-Feb-26,TR2600300,TR2600300     150             376,,4.19,4.19,4.19,,,,,,,,,,,<2,ICP40B,2,10,6.70,ICP40B,0.01,15,14,ICP40B,3,10000,303,ICP40B,1,10000,2.1,ICP40B,0.5,2500,<5,ICP40B,5,10000,2.17,ICP40B,0.01,15,<1,ICP40B,1,10000,8,ICP40B,1,10000,85,ICP40B,1,10000,22.6,ICP40B,0.5,10000,2.65,ICP40B,0.01,15,2.52,ICP40B,0.01,15,28.8,ICP40B,0.5,10000,42,ICP40B,1,10000,1.35,ICP40B,0.01,15,709,ICP40B,2,10000,<1,ICP40B,1,10000,0.08,ICP40B,0.01,15,33,ICP40B,1,10000,<0.01,ICP40B,0.01,15,10,ICP40B,2,10000,0.27,ICP40B,0.01,5,7,ICP40B,5,10000,14.6,ICP40B,0.5,10000,<10,ICP40B,10,10000,84.7,ICP40B,0.5,5000,0.40,ICP40B,0.01,15,106,ICP40B,2,10000,<10,ICP40B,10,10000,15.0,ICP40B,0.5,10000,32,ICP40B,1,10000,89.9,ICP40B,0.5,10000,,AAS42S,5,500,,AAS42S,0.001,50,PAL02058,4.19,4.19,-,-,-,-,-,-,-,-,-,-,<2,6.70,14,303,2.1,<5,2.17,<1,8,85,22.6,2.65,2.52,28.8,42,1.35,709,<1,0.08,33,<0.01,10,0.27,7,14.6,<10,84.7,0.40,106,<10,15.0,32,89.9,-,-
Tannenberg,TR2600300,09-Feb-26,23-Feb-26,,PAL02059,Core,Drill Core,Drillhole,TR2600300     150             376,09-Feb-26,23-Feb-26,TR2600300,TR2600300     150             376,,4.69,4.69,4.69,,,,,,,,,,,<2,ICP40B,2,10,5.88,ICP40B,0.01,15,14,ICP40B,3,10000,229,ICP40B,1,10000,1.7,ICP40B,0.5,2500,<5,ICP40B,5,10000,1.73,ICP40B,0.01,15,<1,ICP40B,1,10000,10,ICP40B,1,10000,70,ICP40B,1,10000,15.8,ICP40B,0.5,10000,1.64,ICP40B,0.01,15,2.14,ICP40B,0.01,15,27.0,ICP40B,0.5,10000,37,ICP40B,1,10000,1.02,ICP40B,0.01,15,422,ICP40B,2,10000,1,ICP40B,1,10000,0.08,ICP40B,0.01,15,32,ICP40B,1,10000,<0.01,ICP40B,0.01,15,4,ICP40B,2,10000,0.31,ICP40B,0.01,5,6,ICP40B,5,10000,12.3,ICP40B,0.5,10000,<10,ICP40B,10,10000,80.2,ICP40B,0.5,5000,0.35,ICP40B,0.01,15,84,ICP40B,2,10000,<10,ICP40B,10,10000,13.6,ICP40B,0.5,10000,24,ICP40B,1,10000,80.0,ICP40B,0.5,10000,,AAS42S,5,500,,AAS42S,0.001,50,PAL02059,4.69,4.69,-,-,-,-,-,-,-,-,-,-,<2,5.88,14,229,1.7,<5,1.73,<1,10,70,15.8,1.64,2.14,27.0,37,1.02,422,1,0.08,32,<0.01,4,0.31,6,12.3,<10,80.2,0.35,84,<10,13.6,24,80.0,-,-
Tannenberg,TR2600300,09-Feb-26,23-Feb-26,,PAL02060,Core,Drill Core,Drillhole,TR2600300     150             376,09-Feb-26,23-Feb-26,TR2600300,TR2600300     150             376,,6.12,6.12,6.12,,,,,,,,,,,<2,ICP40B,2,10,5.37,ICP40B,0.01,15,12,ICP40B,3,10000,200,ICP40B,1,10000,1.6,ICP40B,0.5,2500,<5,ICP40B,5,10000,2.61,ICP40B,0.01,15,<1,ICP40B,1,10000,12,ICP40B,1,10000,62,ICP40B,1,10000,38.4,ICP40B,0.5,10000,2.59,ICP40B,0.01,15,1.86,ICP40B,0.01,15,24.0,ICP40B,0.5,10000,35,ICP40B,1,10000,1.15,ICP40B,0.01,15,788,ICP40B,2,10000,<1,ICP40B,1,10000,0.08,ICP40B,0.01,15,32,ICP40B,1,10000,<0.01,ICP40B,0.01,15,5,ICP40B,2,10000,0.35,ICP40B,0.01,5,6,ICP40B,5,10000,11.1,ICP40B,0.5,10000,<10,ICP40B,10,10000,75.2,ICP40B,0.5,5000,0.32,ICP40B,0.01,15,78,ICP40B,2,10000,<10,ICP40B,10,10000,14.5,ICP40B,0.5,10000,30,ICP40B,1,10000,72.3,ICP40B,0.5,10000,,AAS42S,5,500,,AAS42S,0.001,50,PAL02060,6.12,6.12,-,-,-,-,-,-,-,-,-,-,<2,5.37,12,200,1.6,<5,2.61,<1,12,62,38.4,2.59,1.86,24.0,35,1.15,788,<1,0.08,32,<0.01,5,0.35,6,11.1,<10,75.2,0.32,78,<10,14.5,30,72.3,-,-
Tannenberg,TR2600300,09-Feb-26,23-Feb-26,,*DUP-PAL02060,Core,Drill Core,Drillhole,TR2600300     150             376,09-Feb-26,23-Feb-26,TR2600300,TR2600300     150             376,,0.00,0.00,0.00,,,,,,,,,,,<2,ICP40B,2,10,4.90,ICP40B,0.01,15,12,ICP40B,3,10000,192,ICP40B,1,10000,1.5,ICP40B,0.5,2500,<5,ICP40B,5,10000,2.40,ICP40B,0.01,15,<1,ICP40B,1,10000,12,ICP40B,1,10000,61,ICP40B,1,10000,38.1,ICP40B,0.5,10000,2.39,ICP40B,0.01,15,1.70,ICP40B,0.01,15,23.8,ICP40B,0.5,10000,34,ICP40B,1,10000,1.06,ICP40B,0.01,15,767,ICP40B,2,10000,<1,ICP40B,1,10000,0.06,ICP40B,0.01,15,30,ICP40B,1,10000,<0.01,ICP40B,0.01,15,4,ICP40B,2,10000,0.33,ICP40B,0.01,5,6,ICP40B,5,10000,10.8,ICP40B,0.5,10000,<10,ICP40B,10,10000,67.1,ICP40B,0.5,5000,0.29,ICP40B,0.01,15,78,ICP40B,2,10000,<10,ICP40B,10,10000,12.6,ICP40B,0.5,10000,25,ICP40B,1,10000,65.0,ICP40B,0.5,10000,,AAS42S,5,500,,AAS42S,0.001,50,*DUP-PAL02060,0.00,0.00,-,-,-,-,-,-,-,-,-,-,<2,4.90,12,192,1.5,<5,2.40,<1,12,61,38.1,2.39,1.70,23.8,34,1.06,767,<1,0.06,30,<0.01,4,0.33,6,10.8,<10,67.1,0.29,78,<10,12.6,25,65.0,-,-
Tannenberg,TR2600300,09-Feb-26,23-Feb-26,,PAL02061,Core,Drill Core,Drillhole,TR2600300     150             376,09-Feb-26,23-Feb-26,TR2600300,TR2600300     150             376,,3.24,3.24,3.24,,,,,,,,,,,<2,ICP40B,2,10,5.16,ICP40B,0.01,15,10,ICP40B,3,10000,189,ICP40B,1,10000,1.4,ICP40B,0.5,2500,<5,ICP40B,5,10000,3.06,ICP40B,0.01,15,<1,ICP40B,1,10000,12,ICP40B,1,10000,61,ICP40B,1,10000,162,ICP40B,0.5,10000,2.79,ICP40B,0.01,15,1.73,ICP40B,0.01,15,23.2,ICP40B,0.5,10000,33,ICP40B,1,10000,1.22,ICP40B,0.01,15,784,ICP40B,2,10000,<1,ICP40B,1,10000,0.07,ICP40B,0.01,15,32,ICP40B,1,10000,<0.01,ICP40B,0.01,15,4,ICP40B,2,10000,0.31,ICP40B,0.01,5,6,ICP40B,5,10000,10.7,ICP40B,0.5,10000,<10,ICP40B,10,10000,68.1,ICP40B,0.5,5000,0.30,ICP40B,0.01,15,78,ICP40B,2,10000,<10,ICP40B,10,10000,14.2,ICP40B,0.5,10000,30,ICP40B,1,10000,68.3,ICP40B,0.5,10000,,AAS42S,5,500,,AAS42S,0.001,50,PAL02061,3.24,3.24,-,-,-,-,-,-,-,-,-,-,<2,5.16,10,189,1.4,<5,3.06,<1,12,61,162,2.79,1.73,23.2,33,1.22,784,<1,0.07,32,<0.01,4,0.31,6,10.7,<10,68.1,0.30,78,<10,14.2,30,68.3,-,-
Tannenberg,TR2600300,09-Feb-26,23-Feb-26,,PAL02062,Core,Drill Core,Drillhole,TR2600300     150             376,09-Feb-26,23-Feb-26,TR2600300,TR2600300     150             376,,5.03,5.03,5.03,500.0,,,380.0,,NVL,,,NVL,,<2,ICP40B,2,10,6.73,ICP40B,0.01,15,13,ICP40B,3,10000,242,ICP40B,1,10000,1.6,ICP40B,0.5,2500,<5,ICP40B,5,10000,3.02,ICP40B,0.01,15,<1,ICP40B,1,10000,12,ICP40B,1,10000,77,ICP40B,1,10000,29.4,ICP40B,0.5,10000,3.58,ICP40B,0.01,15,2.10,ICP40B,0.01,15,27.2,ICP40B,0.5,10000,43,ICP40B,1,10000,1.19,ICP40B,0.01,15,742,ICP40B,2,10000,<1,ICP40B,1,10000,0.08,ICP40B,0.01,15,35,ICP40B,1,10000,<0.01,ICP40B,0.01,15,<2,ICP40B,2,10000,0.26,ICP40B,0.01,5,7,ICP40B,5,10000,13.9,ICP40B,0.5,10000,<10,ICP40B,10,10000,83.3,ICP40B,0.5,5000,0.41,ICP40B,0.01,15,101,ICP40B,2,10000,<10,ICP40B,10,10000,17.2,ICP40B,0.5,10000,39,ICP40B,1,10000,88.5,ICP40B,0.5,10000,,AAS42S,5,500,,AAS42S,0.001,50,PAL02062,5.03,5.03,500.0,-,-,380.0,-,NVL,-,-,NVL,-,<2,6.73,13,242,1.6,<5,3.02,<1,12,77,29.4,3.58,2.10,27.2,43,1.19,742,<1,0.08,35,<0.01,<2,0.26,7,13.9,<10,83.3,0.41,101,<10,17.2,39,88.5,-,-
Tannenberg,TR2600300,09-Feb-26,23-Feb-26,,PAL02063,Core,Drill Core,Drillhole,TR2600300     150             376,09-Feb-26,23-Feb-26,TR2600300,TR2600300     150             376,,4.89,4.89,4.89,,,,,,,,,,,<2,ICP40B,2,10,6.75,ICP40B,0.01,15,14,ICP40B,3,10000,254,ICP40B,1,10000,1.5,ICP40B,0.5,2500,<5,ICP40B,5,10000,2.82,ICP40B,0.01,15,<1,ICP40B,1,10000,15,ICP40B,1,10000,81,ICP40B,1,10000,11.7,ICP40B,0.5,10000,4.15,ICP40B,0.01,15,2.10,ICP40B,0.01,15,27.0,ICP40B,0.5,10000,37,ICP40B,1,10000,1.21,ICP40B,0.01,15,589,ICP40B,2,10000,<1,ICP40B,1,10000,0.17,ICP40B,0.01,15,34,ICP40B,1,10000,<0.01,ICP40B,0.01,15,<2,ICP40B,2,10000,0.43,ICP40B,0.01,5,8,ICP40B,5,10000,14.3,ICP40B,0.5,10000,<10,ICP40B,10,10000,88.4,ICP40B,0.5,5000,0.42,ICP40B,0.01,15,114,ICP40B,2,10000,<10,ICP40B,10,10000,16.8,ICP40B,0.5,10000,37,ICP40B,1,10000,88.6,ICP40B,0.5,10000,,AAS42S,5,500,,AAS42S,0.001,50,PAL02063,4.89,4.89,-,-,-,-,-,-,-,-,-,-,<2,6.75,14,254,1.5,<5,2.82,<1,15,81,11.7,4.15,2.10,27.0,37,1.21,589,<1,0.17,34,<0.01,<2,0.43,8,14.3,<10,88.4,0.42,114,<10,16.8,37,88.6,-,-
Tannenberg,TR2600300,09-Feb-26,23-Feb-26,,PAL02064,Core,Drill Core,Drillhole,TR2600300     150             376,09-Feb-26,23-Feb-26,TR2600300,TR2600300     150             376,,3.79,3.79,3.79,,,,,,,,,,,<2,ICP40B,2,10,6.78,ICP40B,0.01,15,13,ICP40B,3,10000,249,ICP40B,1,10000,1.5,ICP40B,0.5,2500,<5,ICP40B,5,10000,2.03,ICP40B,0.01,15,<1,ICP40B,1,10000,11,ICP40B,1,10000,85,ICP40B,1,10000,28.8,ICP40B,0.5,10000,3.62,ICP40B,0.01,15,2.00,ICP40B,0.01,15,25.8,ICP40B,0.5,10000,41,ICP40B,1,10000,1.17,ICP40B,0.01,15,523,ICP40B,2,10000,<1,ICP40B,1,10000,0.30,ICP40B,0.01,15,31,ICP40B,1,10000,<0.01,ICP40B,0.01,15,4,ICP40B,2,10000,0.21,ICP40B,0.01,5,7,ICP40B,5,10000,14.8,ICP40B,0.5,10000,<10,ICP40B,10,10000,85.1,ICP40B,0.5,5000,0.44,ICP40B,0.01,15,118,ICP40B,2,10000,<10,ICP40B,10,10000,14.0,ICP40B,0.5,10000,38,ICP40B,1,10000,87.6,ICP40B,0.5,10000,,AAS42S,5,500,,AAS42S,0.001,50,PAL02064,3.79,3.79,-,-,-,-,-,-,-,-,-,-,<2,6.78,13,249,1.5,<5,2.03,<1,11,85,28.8,3.62,2.00,25.8,41,1.17,523,<1,0.30,31,<0.01,4,0.21,7,14.8,<10,85.1,0.44,118,<10,14.0,38,87.6,-,-
