PROJECTCOD,CertificateNo,Received,Reported,HOLEID,SAMPLEID,SAMPLETYPE,SapSubType,Point_Type,Dsptch_L_D,SmpDspDate,SmpRetDate,Lab_L_D,Labjobno,AnalysisLD,SampWt_g_D,Wtkg,Wtcru_dry_kg,Tot_Weight_CRU,Pass_2mm_pct,Rmnd_2mm_pct,WT_MinusFrac_CRU_g,WT_PlusFrac_CRU_g,Tot_Weight_PUL_g,Pass_75um_pct,Rmnd_75um_pct,WT_MinusFrac_PUL_g,WT_PlusFrac_PUL_g,Ag_ppm,Ag_ppm_GMD,Ag_ppm_LDD,Ag_ppm_UDD,Al_pct,Al_pct_GMD,Al_pct_LDD,Al_pct_UDD,As_ppm,As_ppm_GMD,As_ppm_LDD,As_ppm_UDD,Ba_ppm,Ba_ppm_GMD,Ba_ppm_LDD,Ba_ppm_UDD,Be_ppm,Be_ppm_GMD,Be_ppm_LDD,Be_ppm_UDD,Bi_ppm,Bi_ppm_GMD,Bi_ppm_LDD,Bi_ppm_UDD,Ca_pct,Ca_pct_GMD,Ca_pct_LDD,Ca_pct_UDD,Cd_ppm,Cd_ppm_GMD,Cd_ppm_LDD,Cd_ppm_UDD,Co_ppm,Co_ppm_GMD,Co_ppm_LDD,Co_ppm_UDD,Cr_ppm,Cr_ppm_GMD,Cr_ppm_LDD,Cr_ppm_UDD,Cu_ppm,Cu_ppm_GMD,Cu_ppm_LDD,Cu_ppm_UDD,Fe_pct,Fe_pct_GMD,Fe_pct_LDD,Fe_pct_UDD,K_pct,K_pct_GMD,K_pct_LDD,K_pct_UDD,La_ppm,La_ppm_GMD,La_ppm_LDD,La_ppm_UDD,Li_ppm,Li_ppm_GMD,Li_ppm_LDD,Li_ppm_UDD,Mg_pct,Mg_pct_GMD,Mg_pct_LDD,Mg_pct_UDD,Mn_ppm,Mn_ppm_GMD,Mn_ppm_LDD,Mn_ppm_UDD,Mo_ppm,Mo_ppm_GMD,Mo_ppm_LDD,Mo_ppm_UDD,Na_pct,Na_pct_GMD,Na_pct_LDD,Na_pct_UDD,Ni_ppm,Ni_ppm_GMD,Ni_ppm_LDD,Ni_ppm_UDD,P_pct,P_pct_GMD,P_pct_LDD,P_pct_UDD,Pb_ppm,Pb_ppm_GMD,Pb_ppm_LDD,Pb_ppm_UDD,S_pct,S_pct_GMD,S_pct_LDD,S_pct_UDD,Sb_ppm,Sb_ppm_GMD,Sb_ppm_LDD,Sb_ppm_UDD,Sc_ppm,Sc_ppm_GMD,Sc_ppm_LDD,Sc_ppm_UDD,Sn_ppm,Sn_ppm_GMD,Sn_ppm_LDD,Sn_ppm_UDD,Sr_ppm,Sr_ppm_GMD,Sr_ppm_LDD,Sr_ppm_UDD,Ti_pct,Ti_pct_GMD,Ti_pct_LDD,Ti_pct_UDD,V_ppm,V_ppm_GMD,V_ppm_LDD,V_ppm_UDD,W_ppm,W_ppm_GMD,W_ppm_LDD,W_ppm_UDD,Y_ppm,Y_ppm_GMD,Y_ppm_LDD,Y_ppm_UDD,Zn_ppm,Zn_ppm_GMD,Zn_ppm_LDD,Zn_ppm_UDD,Zr_ppm,Zr_ppm_GMD,Zr_ppm_LDD,Zr_ppm_UDD,Ag_ppm_AAS42S,Ag_ppm_AAS42S_GMD,Ag_ppm_AAS42S_LDD,Ag_ppm_AAS42S_UDD,Cu_pct,Cu_pct_GMD,Cu_pct_LDD,Cu_pct_UDD,SampleID_orig,Wtkg_KG[WGH10],Wtcru_dry_kg_KG[CRU24],Tot. Weight_G[CRU-QA/QC],Pass 2mm_%[CRU-QA/QC],Rmnd 2mm_%[CRU-QA/QC],WT. - Frac Entire_G[CRU-QA/QC],WT. + Frac Entire_G[CRU-QA/QC],Tot. Weight_G[PUL-QA/QC],Pass 75um_%[PUL-QA/QC],Rmnd 75um_%[PUL-QA/QC],WT. - Frac Entire_G[PUL-QA/QC],WT. + Frac Entire_G[PUL-QA/QC],Ag_ppm[ICP40B|LDL:2|UDL:10],Al_pct[ICP40B|LDL:0.01|UDL:15],As_ppm[ICP40B|LDL:3|UDL:10000],Ba_ppm[ICP40B|LDL:1|UDL:10000],Be_ppm[ICP40B|LDL:0.5|UDL:2500],Bi_ppm[ICP40B|LDL:5|UDL:10000],Ca_pct[ICP40B|LDL:0.01|UDL:15],Cd_ppm[ICP40B|LDL:1|UDL:10000],Co_ppm[ICP40B|LDL:1|UDL:10000],Cr_ppm[ICP40B|LDL:1|UDL:10000],Cu_ppm[ICP40B|LDL:0.5|UDL:10000],Fe_pct[ICP40B|LDL:0.01|UDL:15],K_pct[ICP40B|LDL:0.01|UDL:15],La_ppm[ICP40B|LDL:0.5|UDL:10000],Li_ppm[ICP40B|LDL:1|UDL:10000],Mg_pct[ICP40B|LDL:0.01|UDL:15],Mn_ppm[ICP40B|LDL:2|UDL:10000],Mo_ppm[ICP40B|LDL:1|UDL:10000],Na_pct[ICP40B|LDL:0.01|UDL:15],Ni_ppm[ICP40B|LDL:1|UDL:10000],P_pct[ICP40B|LDL:0.01|UDL:15],Pb_ppm[ICP40B|LDL:2|UDL:10000],S_pct[ICP40B|LDL:0.01|UDL:5],Sb_ppm[ICP40B|LDL:5|UDL:10000],Sc_ppm[ICP40B|LDL:0.5|UDL:10000],Sn_ppm[ICP40B|LDL:10|UDL:10000],Sr_ppm[ICP40B|LDL:0.5|UDL:5000],Ti_pct[ICP40B|LDL:0.01|UDL:15],V_ppm[ICP40B|LDL:2|UDL:10000],W_ppm[ICP40B|LDL:10|UDL:10000],Y_ppm[ICP40B|LDL:0.5|UDL:10000],Zn_ppm[ICP40B|LDL:1|UDL:10000],Zr_ppm[ICP40B|LDL:0.5|UDL:10000],Ag_ppm[AAS42S|LDL:5|UDL:500],Cu_pct[AAS42S|LDL:0.001|UDL:50]
Tannenberg,TR2600302,10-Feb-26,23-Feb-26,,PAL02296,Core,Drill Core,Drillhole,TR2600302     67              376,10-Feb-26,23-Feb-26,TR2600302,TR2600302     67              376,,1.12,1.12,1.12,,,,,,,,,,,<2,ICP40B,2,10,9.07,ICP40B,0.01,15,40,ICP40B,3,10000,431,ICP40B,1,10000,3.7,ICP40B,0.5,2500,<5,ICP40B,5,10000,2.10,ICP40B,0.01,15,<1,ICP40B,1,10000,19,ICP40B,1,10000,66,ICP40B,1,10000,56.1,ICP40B,0.5,10000,4.85,ICP40B,0.01,15,3.90,ICP40B,0.01,15,35.5,ICP40B,0.5,10000,134,ICP40B,1,10000,4.36,ICP40B,0.01,15,432,ICP40B,2,10000,2,ICP40B,1,10000,0.16,ICP40B,0.01,15,49,ICP40B,1,10000,0.09,ICP40B,0.01,15,50,ICP40B,2,10000,0.05,ICP40B,0.01,5,12,ICP40B,5,10000,14.5,ICP40B,0.5,10000,<10,ICP40B,10,10000,157,ICP40B,0.5,5000,0.40,ICP40B,0.01,15,118,ICP40B,2,10000,<10,ICP40B,10,10000,19.0,ICP40B,0.5,10000,96,ICP40B,1,10000,96.4,ICP40B,0.5,10000,,AAS42S,5,500,,AAS42S,0.001,50,PAL02296,1.12,1.12,-,-,-,-,-,-,-,-,-,-,<2,9.07,40,431,3.7,<5,2.10,<1,19,66,56.1,4.85,3.90,35.5,134,4.36,432,2,0.16,49,0.09,50,0.05,12,14.5,<10,157,0.40,118,<10,19.0,96,96.4,-,-
Tannenberg,TR2600302,10-Feb-26,23-Feb-26,,PAL02297,Core,Drill Core,Drillhole,TR2600302     67              376,10-Feb-26,23-Feb-26,TR2600302,TR2600302     67              376,,1.52,1.52,1.52,,,,,,,,,,,<2,ICP40B,2,10,0.54,ICP40B,0.01,15,<3,ICP40B,3,10000,18,ICP40B,1,10000,<0.5,ICP40B,0.5,2500,<5,ICP40B,5,10000,>15,ICP40B,0.01,15,<1,ICP40B,1,10000,<1,ICP40B,1,10000,1,ICP40B,1,10000,1.5,ICP40B,0.5,10000,0.42,ICP40B,0.01,15,0.17,ICP40B,0.01,15,3.3,ICP40B,0.5,10000,4,ICP40B,1,10000,10.9,ICP40B,0.01,15,554,ICP40B,2,10000,<1,ICP40B,1,10000,0.03,ICP40B,0.01,15,<1,ICP40B,1,10000,<0.01,ICP40B,0.01,15,3,ICP40B,2,10000,0.03,ICP40B,0.01,5,<5,ICP40B,5,10000,0.5,ICP40B,0.5,10000,<10,ICP40B,10,10000,26.6,ICP40B,0.5,5000,0.01,ICP40B,0.01,15,<2,ICP40B,2,10000,<10,ICP40B,10,10000,3.3,ICP40B,0.5,10000,24,ICP40B,1,10000,9.7,ICP40B,0.5,10000,,AAS42S,5,500,,AAS42S,0.001,50,PAL02297,1.52,1.52,-,-,-,-,-,-,-,-,-,-,<2,0.54,<3,18,<0.5,<5,>15,<1,<1,1,1.5,0.42,0.17,3.3,4,10.9,554,<1,0.03,<1,<0.01,3,0.03,<5,0.5,<10,26.6,0.01,<2,<10,3.3,24,9.7,-,-
Tannenberg,TR2600302,10-Feb-26,23-Feb-26,,PAL02298,Core,Drill Core,Drillhole,TR2600302     67              376,10-Feb-26,23-Feb-26,TR2600302,TR2600302     67              376,,1.26,1.26,1.26,,,,,,,,,,,<2,ICP40B,2,10,9.46,ICP40B,0.01,15,35,ICP40B,3,10000,470,ICP40B,1,10000,3.7,ICP40B,0.5,2500,<5,ICP40B,5,10000,2.35,ICP40B,0.01,15,<1,ICP40B,1,10000,16,ICP40B,1,10000,68,ICP40B,1,10000,19.5,ICP40B,0.5,10000,5.01,ICP40B,0.01,15,3.56,ICP40B,0.01,15,34.7,ICP40B,0.5,10000,141,ICP40B,1,10000,4.63,ICP40B,0.01,15,333,ICP40B,2,10000,2,ICP40B,1,10000,0.14,ICP40B,0.01,15,45,ICP40B,1,10000,0.09,ICP40B,0.01,15,22,ICP40B,2,10000,0.05,ICP40B,0.01,5,12,ICP40B,5,10000,14.8,ICP40B,0.5,10000,<10,ICP40B,10,10000,135,ICP40B,0.5,5000,0.37,ICP40B,0.01,15,112,ICP40B,2,10000,<10,ICP40B,10,10000,19.0,ICP40B,0.5,10000,70,ICP40B,1,10000,83.0,ICP40B,0.5,10000,,AAS42S,5,500,,AAS42S,0.001,50,PAL02298,1.26,1.26,-,-,-,-,-,-,-,-,-,-,<2,9.46,35,470,3.7,<5,2.35,<1,16,68,19.5,5.01,3.56,34.7,141,4.63,333,2,0.14,45,0.09,22,0.05,12,14.8,<10,135,0.37,112,<10,19.0,70,83.0,-,-
Tannenberg,TR2600302,10-Feb-26,23-Feb-26,,PAL02299,Core,Drill Core,Drillhole,TR2600302     67              376,10-Feb-26,23-Feb-26,TR2600302,TR2600302     67              376,,1.27,1.27,1.27,,,,,,,,,,,<2,ICP40B,2,10,8.39,ICP40B,0.01,15,34,ICP40B,3,10000,391,ICP40B,1,10000,3.2,ICP40B,0.5,2500,<5,ICP40B,5,10000,4.71,ICP40B,0.01,15,<1,ICP40B,1,10000,16,ICP40B,1,10000,59,ICP40B,1,10000,48.9,ICP40B,0.5,10000,4.64,ICP40B,0.01,15,3.10,ICP40B,0.01,15,35.1,ICP40B,0.5,10000,124,ICP40B,1,10000,4.54,ICP40B,0.01,15,616,ICP40B,2,10000,2,ICP40B,1,10000,0.12,ICP40B,0.01,15,44,ICP40B,1,10000,0.08,ICP40B,0.01,15,167,ICP40B,2,10000,0.05,ICP40B,0.01,5,11,ICP40B,5,10000,13.5,ICP40B,0.5,10000,<10,ICP40B,10,10000,147,ICP40B,0.5,5000,0.33,ICP40B,0.01,15,101,ICP40B,2,10000,12,ICP40B,10,10000,19.7,ICP40B,0.5,10000,92,ICP40B,1,10000,82.0,ICP40B,0.5,10000,,AAS42S,5,500,,AAS42S,0.001,50,PAL02299,1.27,1.27,-,-,-,-,-,-,-,-,-,-,<2,8.39,34,391,3.2,<5,4.71,<1,16,59,48.9,4.64,3.10,35.1,124,4.54,616,2,0.12,44,0.08,167,0.05,11,13.5,<10,147,0.33,101,12,19.7,92,82.0,-,-
Tannenberg,TR2600302,10-Feb-26,23-Feb-26,,PAL02300,Core,Drill Core,Drillhole,TR2600302     67              376,10-Feb-26,23-Feb-26,TR2600302,TR2600302     67              376,,0.86,0.86,0.86,,,,,,,,,,,<2,ICP40B,2,10,8.42,ICP40B,0.01,15,36,ICP40B,3,10000,402,ICP40B,1,10000,3.1,ICP40B,0.5,2500,<5,ICP40B,5,10000,3.20,ICP40B,0.01,15,<1,ICP40B,1,10000,16,ICP40B,1,10000,63,ICP40B,1,10000,52.4,ICP40B,0.5,10000,4.30,ICP40B,0.01,15,3.28,ICP40B,0.01,15,34.5,ICP40B,0.5,10000,126,ICP40B,1,10000,4.04,ICP40B,0.01,15,482,ICP40B,2,10000,2,ICP40B,1,10000,0.14,ICP40B,0.01,15,46,ICP40B,1,10000,0.08,ICP40B,0.01,15,80,ICP40B,2,10000,0.06,ICP40B,0.01,5,10,ICP40B,5,10000,13.9,ICP40B,0.5,10000,<10,ICP40B,10,10000,139,ICP40B,0.5,5000,0.33,ICP40B,0.01,15,105,ICP40B,2,10000,<10,ICP40B,10,10000,18.1,ICP40B,0.5,10000,106,ICP40B,1,10000,81.7,ICP40B,0.5,10000,,AAS42S,5,500,,AAS42S,0.001,50,PAL02300,0.86,0.86,-,-,-,-,-,-,-,-,-,-,<2,8.42,36,402,3.1,<5,3.20,<1,16,63,52.4,4.30,3.28,34.5,126,4.04,482,2,0.14,46,0.08,80,0.06,10,13.9,<10,139,0.33,105,<10,18.1,106,81.7,-,-
Tannenberg,TR2600302,10-Feb-26,23-Feb-26,,*DUP-PAL02300,Core,Drill Core,Drillhole,TR2600302     67              376,10-Feb-26,23-Feb-26,TR2600302,TR2600302     67              376,,0.00,0.00,0.00,,,,,,,,,,,<2,ICP40B,2,10,8.50,ICP40B,0.01,15,37,ICP40B,3,10000,405,ICP40B,1,10000,3.4,ICP40B,0.5,2500,<5,ICP40B,5,10000,3.41,ICP40B,0.01,15,<1,ICP40B,1,10000,17,ICP40B,1,10000,63,ICP40B,1,10000,54.4,ICP40B,0.5,10000,4.59,ICP40B,0.01,15,3.52,ICP40B,0.01,15,35.0,ICP40B,0.5,10000,127,ICP40B,1,10000,4.19,ICP40B,0.01,15,485,ICP40B,2,10000,2,ICP40B,1,10000,0.14,ICP40B,0.01,15,46,ICP40B,1,10000,0.08,ICP40B,0.01,15,80,ICP40B,2,10000,0.05,ICP40B,0.01,5,10,ICP40B,5,10000,14.0,ICP40B,0.5,10000,<10,ICP40B,10,10000,142,ICP40B,0.5,5000,0.36,ICP40B,0.01,15,106,ICP40B,2,10000,<10,ICP40B,10,10000,18.8,ICP40B,0.5,10000,104,ICP40B,1,10000,86.6,ICP40B,0.5,10000,,AAS42S,5,500,,AAS42S,0.001,50,*DUP-PAL02300,0.00,0.00,-,-,-,-,-,-,-,-,-,-,<2,8.50,37,405,3.4,<5,3.41,<1,17,63,54.4,4.59,3.52,35.0,127,4.19,485,2,0.14,46,0.08,80,0.05,10,14.0,<10,142,0.36,106,<10,18.8,104,86.6,-,-
Tannenberg,TR2600302,10-Feb-26,23-Feb-26,,PAL02301,Core,Drill Core,Drillhole,TR2600302     67              376,10-Feb-26,23-Feb-26,TR2600302,TR2600302     67              376,,1.21,1.21,1.21,,,,,,,,,,,<2,ICP40B,2,10,8.86,ICP40B,0.01,15,37,ICP40B,3,10000,439,ICP40B,1,10000,3.3,ICP40B,0.5,2500,<5,ICP40B,5,10000,4.20,ICP40B,0.01,15,<1,ICP40B,1,10000,16,ICP40B,1,10000,58,ICP40B,1,10000,47.5,ICP40B,0.5,10000,4.31,ICP40B,0.01,15,3.44,ICP40B,0.01,15,35.9,ICP40B,0.5,10000,127,ICP40B,1,10000,4.09,ICP40B,0.01,15,558,ICP40B,2,10000,2,ICP40B,1,10000,0.14,ICP40B,0.01,15,46,ICP40B,1,10000,0.09,ICP40B,0.01,15,54,ICP40B,2,10000,0.06,ICP40B,0.01,5,11,ICP40B,5,10000,14.8,ICP40B,0.5,10000,<10,ICP40B,10,10000,154,ICP40B,0.5,5000,0.35,ICP40B,0.01,15,107,ICP40B,2,10000,<10,ICP40B,10,10000,19.5,ICP40B,0.5,10000,80,ICP40B,1,10000,84.6,ICP40B,0.5,10000,,AAS42S,5,500,,AAS42S,0.001,50,PAL02301,1.21,1.21,-,-,-,-,-,-,-,-,-,-,<2,8.86,37,439,3.3,<5,4.20,<1,16,58,47.5,4.31,3.44,35.9,127,4.09,558,2,0.14,46,0.09,54,0.06,11,14.8,<10,154,0.35,107,<10,19.5,80,84.6,-,-
Tannenberg,TR2600302,10-Feb-26,23-Feb-26,,PAL02302,Core,Drill Core,Drillhole,TR2600302     67              376,10-Feb-26,23-Feb-26,TR2600302,TR2600302     67              376,,0.95,0.95,0.95,500.0,78.60,21.40,393.0,107.0,20.0,88.00,12.00,17.6,2.4,<2,ICP40B,2,10,7.99,ICP40B,0.01,15,20,ICP40B,3,10000,372,ICP40B,1,10000,3.2,ICP40B,0.5,2500,<5,ICP40B,5,10000,6.94,ICP40B,0.01,15,<1,ICP40B,1,10000,14,ICP40B,1,10000,50,ICP40B,1,10000,7.6,ICP40B,0.5,10000,3.19,ICP40B,0.01,15,3.52,ICP40B,0.01,15,27.0,ICP40B,0.5,10000,144,ICP40B,1,10000,1.20,ICP40B,0.01,15,164,ICP40B,2,10000,2,ICP40B,1,10000,0.12,ICP40B,0.01,15,35,ICP40B,1,10000,0.09,ICP40B,0.01,15,10,ICP40B,2,10000,0.08,ICP40B,0.01,5,8,ICP40B,5,10000,13.7,ICP40B,0.5,10000,<10,ICP40B,10,10000,546,ICP40B,0.5,5000,0.33,ICP40B,0.01,15,103,ICP40B,2,10000,<10,ICP40B,10,10000,14.9,ICP40B,0.5,10000,49,ICP40B,1,10000,71.9,ICP40B,0.5,10000,,AAS42S,5,500,,AAS42S,0.001,50,PAL02302,0.95,0.95,500.0,78.60,21.40,393.0,107.0,20.0,88.00,12.00,17.6,2.4,<2,7.99,20,372,3.2,<5,6.94,<1,14,50,7.6,3.19,3.52,27.0,144,1.20,164,2,0.12,35,0.09,10,0.08,8,13.7,<10,546,0.33,103,<10,14.9,49,71.9,-,-
Tannenberg,TR2600302,10-Feb-26,23-Feb-26,,PAL02303,Core,Drill Core,Drillhole,TR2600302     67              376,10-Feb-26,23-Feb-26,TR2600302,TR2600302     67              376,,1.15,1.15,1.15,,,,,,,,,,,<2,ICP40B,2,10,3.55,ICP40B,0.01,15,14,ICP40B,3,10000,172,ICP40B,1,10000,1.3,ICP40B,0.5,2500,<5,ICP40B,5,10000,>15,ICP40B,0.01,15,<1,ICP40B,1,10000,7,ICP40B,1,10000,27,ICP40B,1,10000,23.2,ICP40B,0.5,10000,2.08,ICP40B,0.01,15,1.44,ICP40B,0.01,15,15.0,ICP40B,0.5,10000,66,ICP40B,1,10000,2.39,ICP40B,0.01,15,465,ICP40B,2,10000,2,ICP40B,1,10000,0.07,ICP40B,0.01,15,17,ICP40B,1,10000,0.04,ICP40B,0.01,15,112,ICP40B,2,10000,0.11,ICP40B,0.01,5,<5,ICP40B,5,10000,6.2,ICP40B,0.5,10000,<10,ICP40B,10,10000,215,ICP40B,0.5,5000,0.14,ICP40B,0.01,15,43,ICP40B,2,10000,<10,ICP40B,10,10000,9.8,ICP40B,0.5,10000,50,ICP40B,1,10000,34.4,ICP40B,0.5,10000,,AAS42S,5,500,,AAS42S,0.001,50,PAL02303,1.15,1.15,-,-,-,-,-,-,-,-,-,-,<2,3.55,14,172,1.3,<5,>15,<1,7,27,23.2,2.08,1.44,15.0,66,2.39,465,2,0.07,17,0.04,112,0.11,<5,6.2,<10,215,0.14,43,<10,9.8,50,34.4,-,-
Tannenberg,TR2600302,10-Feb-26,23-Feb-26,,PAL02304,Core,Drill Core,Drillhole,TR2600302     67              376,10-Feb-26,23-Feb-26,TR2600302,TR2600302     67              376,,1.52,1.52,1.52,,,,,,,,,,,<2,ICP40B,2,10,3.33,ICP40B,0.01,15,15,ICP40B,3,10000,161,ICP40B,1,10000,1.2,ICP40B,0.5,2500,<5,ICP40B,5,10000,>15,ICP40B,0.01,15,<1,ICP40B,1,10000,7,ICP40B,1,10000,24,ICP40B,1,10000,39.6,ICP40B,0.5,10000,1.91,ICP40B,0.01,15,1.35,ICP40B,0.01,15,14.4,ICP40B,0.5,10000,62,ICP40B,1,10000,2.43,ICP40B,0.01,15,450,ICP40B,2,10000,2,ICP40B,1,10000,0.08,ICP40B,0.01,15,16,ICP40B,1,10000,0.04,ICP40B,0.01,15,246,ICP40B,2,10000,0.11,ICP40B,0.01,5,<5,ICP40B,5,10000,5.9,ICP40B,0.5,10000,<10,ICP40B,10,10000,213,ICP40B,0.5,5000,0.13,ICP40B,0.01,15,39,ICP40B,2,10000,<10,ICP40B,10,10000,9.3,ICP40B,0.5,10000,113,ICP40B,1,10000,31.6,ICP40B,0.5,10000,,AAS42S,5,500,,AAS42S,0.001,50,PAL02304,1.52,1.52,-,-,-,-,-,-,-,-,-,-,<2,3.33,15,161,1.2,<5,>15,<1,7,24,39.6,1.91,1.35,14.4,62,2.43,450,2,0.08,16,0.04,246,0.11,<5,5.9,<10,213,0.13,39,<10,9.3,113,31.6,-,-
