PROJECTCOD,CertificateNo,Received,Reported,HOLEID,SAMPLEID,SAMPLETYPE,SapSubType,Point_Type,Dsptch_L_D,SmpDspDate,SmpRetDate,Lab_L_D,Labjobno,AnalysisLD,SampWt_g_D,Wtkg,Wtcru_dry_kg,Tot_Weight_CRU,Pass_2mm_pct,Rmnd_2mm_pct,WT_MinusFrac_CRU_g,WT_PlusFrac_CRU_g,Tot_Weight_PUL_g,Pass_75um_pct,Rmnd_75um_pct,WT_MinusFrac_PUL_g,WT_PlusFrac_PUL_g,Ag_ppm,Ag_ppm_GMD,Ag_ppm_LDD,Ag_ppm_UDD,Al_pct,Al_pct_GMD,Al_pct_LDD,Al_pct_UDD,As_ppm,As_ppm_GMD,As_ppm_LDD,As_ppm_UDD,Ba_ppm,Ba_ppm_GMD,Ba_ppm_LDD,Ba_ppm_UDD,Be_ppm,Be_ppm_GMD,Be_ppm_LDD,Be_ppm_UDD,Bi_ppm,Bi_ppm_GMD,Bi_ppm_LDD,Bi_ppm_UDD,Ca_pct,Ca_pct_GMD,Ca_pct_LDD,Ca_pct_UDD,Cd_ppm,Cd_ppm_GMD,Cd_ppm_LDD,Cd_ppm_UDD,Co_ppm,Co_ppm_GMD,Co_ppm_LDD,Co_ppm_UDD,Cr_ppm,Cr_ppm_GMD,Cr_ppm_LDD,Cr_ppm_UDD,Cu_ppm,Cu_ppm_GMD,Cu_ppm_LDD,Cu_ppm_UDD,Fe_pct,Fe_pct_GMD,Fe_pct_LDD,Fe_pct_UDD,K_pct,K_pct_GMD,K_pct_LDD,K_pct_UDD,La_ppm,La_ppm_GMD,La_ppm_LDD,La_ppm_UDD,Li_ppm,Li_ppm_GMD,Li_ppm_LDD,Li_ppm_UDD,Mg_pct,Mg_pct_GMD,Mg_pct_LDD,Mg_pct_UDD,Mn_ppm,Mn_ppm_GMD,Mn_ppm_LDD,Mn_ppm_UDD,Mo_ppm,Mo_ppm_GMD,Mo_ppm_LDD,Mo_ppm_UDD,Na_pct,Na_pct_GMD,Na_pct_LDD,Na_pct_UDD,Ni_ppm,Ni_ppm_GMD,Ni_ppm_LDD,Ni_ppm_UDD,P_pct,P_pct_GMD,P_pct_LDD,P_pct_UDD,Pb_ppm,Pb_ppm_GMD,Pb_ppm_LDD,Pb_ppm_UDD,S_pct,S_pct_GMD,S_pct_LDD,S_pct_UDD,Sb_ppm,Sb_ppm_GMD,Sb_ppm_LDD,Sb_ppm_UDD,Sc_ppm,Sc_ppm_GMD,Sc_ppm_LDD,Sc_ppm_UDD,Sn_ppm,Sn_ppm_GMD,Sn_ppm_LDD,Sn_ppm_UDD,Sr_ppm,Sr_ppm_GMD,Sr_ppm_LDD,Sr_ppm_UDD,Ti_pct,Ti_pct_GMD,Ti_pct_LDD,Ti_pct_UDD,V_ppm,V_ppm_GMD,V_ppm_LDD,V_ppm_UDD,W_ppm,W_ppm_GMD,W_ppm_LDD,W_ppm_UDD,Y_ppm,Y_ppm_GMD,Y_ppm_LDD,Y_ppm_UDD,Zn_ppm,Zn_ppm_GMD,Zn_ppm_LDD,Zn_ppm_UDD,Zr_ppm,Zr_ppm_GMD,Zr_ppm_LDD,Zr_ppm_UDD,Ag_ppm_AAS42S,Ag_ppm_AAS42S_GMD,Ag_ppm_AAS42S_LDD,Ag_ppm_AAS42S_UDD,Cu_pct,Cu_pct_GMD,Cu_pct_LDD,Cu_pct_UDD,SampleID_orig,Wtkg_KG[WGH10],Wtcru_dry_kg_KG[CRU24],Tot. Weight_G[CRU-QA/QC],Pass 2mm_%[CRU-QA/QC],Rmnd 2mm_%[CRU-QA/QC],WT. - Frac Entire_G[CRU-QA/QC],WT. + Frac Entire_G[CRU-QA/QC],Tot. Weight_G[PUL-QA/QC],Pass 75um_%[PUL-QA/QC],Rmnd 75um_%[PUL-QA/QC],WT. - Frac Entire_G[PUL-QA/QC],WT. + Frac Entire_G[PUL-QA/QC],Ag_ppm[ICP40B|LDL:2|UDL:10],Al_pct[ICP40B|LDL:0.01|UDL:15],As_ppm[ICP40B|LDL:3|UDL:10000],Ba_ppm[ICP40B|LDL:1|UDL:10000],Be_ppm[ICP40B|LDL:0.5|UDL:2500],Bi_ppm[ICP40B|LDL:5|UDL:10000],Ca_pct[ICP40B|LDL:0.01|UDL:15],Cd_ppm[ICP40B|LDL:1|UDL:10000],Co_ppm[ICP40B|LDL:1|UDL:10000],Cr_ppm[ICP40B|LDL:1|UDL:10000],Cu_ppm[ICP40B|LDL:0.5|UDL:10000],Fe_pct[ICP40B|LDL:0.01|UDL:15],K_pct[ICP40B|LDL:0.01|UDL:15],La_ppm[ICP40B|LDL:0.5|UDL:10000],Li_ppm[ICP40B|LDL:1|UDL:10000],Mg_pct[ICP40B|LDL:0.01|UDL:15],Mn_ppm[ICP40B|LDL:2|UDL:10000],Mo_ppm[ICP40B|LDL:1|UDL:10000],Na_pct[ICP40B|LDL:0.01|UDL:15],Ni_ppm[ICP40B|LDL:1|UDL:10000],P_pct[ICP40B|LDL:0.01|UDL:15],Pb_ppm[ICP40B|LDL:2|UDL:10000],S_pct[ICP40B|LDL:0.01|UDL:5],Sb_ppm[ICP40B|LDL:5|UDL:10000],Sc_ppm[ICP40B|LDL:0.5|UDL:10000],Sn_ppm[ICP40B|LDL:10|UDL:10000],Sr_ppm[ICP40B|LDL:0.5|UDL:5000],Ti_pct[ICP40B|LDL:0.01|UDL:15],V_ppm[ICP40B|LDL:2|UDL:10000],W_ppm[ICP40B|LDL:10|UDL:10000],Y_ppm[ICP40B|LDL:0.5|UDL:10000],Zn_ppm[ICP40B|LDL:1|UDL:10000],Zr_ppm[ICP40B|LDL:0.5|UDL:10000],Ag_ppm[AAS42S|LDL:5|UDL:500],Cu_pct[AAS42S|LDL:0.001|UDL:50]
Tannenberg,TR2600299,09-Feb-26,23-Feb-26,,PAL01936,Core,Drill Core,Drillhole,TR2600299     150             376,09-Feb-26,23-Feb-26,TR2600299,TR2600299     150             376,,1.51,1.51,1.51,,,,,,,,,,,<2,ICP40B,2,10,6.94,ICP40B,0.01,15,14,ICP40B,3,10000,605,ICP40B,1,10000,2.4,ICP40B,0.5,2500,<5,ICP40B,5,10000,0.69,ICP40B,0.01,15,<1,ICP40B,1,10000,15,ICP40B,1,10000,61,ICP40B,1,10000,5.3,ICP40B,0.5,10000,4.78,ICP40B,0.01,15,2.75,ICP40B,0.01,15,27.5,ICP40B,0.5,10000,51,ICP40B,1,10000,1.20,ICP40B,0.01,15,325,ICP40B,2,10000,<1,ICP40B,1,10000,1.49,ICP40B,0.01,15,43,ICP40B,1,10000,0.06,ICP40B,0.01,15,7,ICP40B,2,10000,0.02,ICP40B,0.01,5,13,ICP40B,5,10000,16.9,ICP40B,0.5,10000,<10,ICP40B,10,10000,76.5,ICP40B,0.5,5000,0.43,ICP40B,0.01,15,128,ICP40B,2,10000,<10,ICP40B,10,10000,12.8,ICP40B,0.5,10000,64,ICP40B,1,10000,104,ICP40B,0.5,10000,,AAS42S,5,500,,AAS42S,0.001,50,PAL01936,1.51,1.51,-,-,-,-,-,-,-,-,-,-,<2,6.94,14,605,2.4,<5,0.69,<1,15,61,5.3,4.78,2.75,27.5,51,1.20,325,<1,1.49,43,0.06,7,0.02,13,16.9,<10,76.5,0.43,128,<10,12.8,64,104,-,-
Tannenberg,TR2600299,09-Feb-26,23-Feb-26,,PAL01937,Core,Drill Core,Drillhole,TR2600299     150             376,09-Feb-26,23-Feb-26,TR2600299,TR2600299     150             376,,0.00,0.00,0.00,,,,,,,,,,,<2,ICP40B,2,10,6.65,ICP40B,0.01,15,12,ICP40B,3,10000,606,ICP40B,1,10000,2.2,ICP40B,0.5,2500,<5,ICP40B,5,10000,0.72,ICP40B,0.01,15,<1,ICP40B,1,10000,14,ICP40B,1,10000,62,ICP40B,1,10000,5.0,ICP40B,0.5,10000,4.55,ICP40B,0.01,15,2.59,ICP40B,0.01,15,29.2,ICP40B,0.5,10000,48,ICP40B,1,10000,1.14,ICP40B,0.01,15,323,ICP40B,2,10000,<1,ICP40B,1,10000,1.40,ICP40B,0.01,15,42,ICP40B,1,10000,0.06,ICP40B,0.01,15,7,ICP40B,2,10000,0.02,ICP40B,0.01,5,14,ICP40B,5,10000,17.0,ICP40B,0.5,10000,<10,ICP40B,10,10000,76.6,ICP40B,0.5,5000,0.39,ICP40B,0.01,15,129,ICP40B,2,10000,<10,ICP40B,10,10000,12.9,ICP40B,0.5,10000,63,ICP40B,1,10000,105,ICP40B,0.5,10000,,AAS42S,5,500,,AAS42S,0.001,50,PAL01937,0.00,0.00,-,-,-,-,-,-,-,-,-,-,<2,6.65,12,606,2.2,<5,0.72,<1,14,62,5.0,4.55,2.59,29.2,48,1.14,323,<1,1.40,42,0.06,7,0.02,14,17.0,<10,76.6,0.39,129,<10,12.9,63,105,-,-
Tannenberg,TR2600299,09-Feb-26,23-Feb-26,,PAL01938,Core,Drill Core,Drillhole,TR2600299     150             376,09-Feb-26,23-Feb-26,TR2600299,TR2600299     150             376,,0.94,0.94,0.94,,,,,,,,,,,<2,ICP40B,2,10,7.25,ICP40B,0.01,15,10,ICP40B,3,10000,486,ICP40B,1,10000,2.3,ICP40B,0.5,2500,<5,ICP40B,5,10000,0.77,ICP40B,0.01,15,<1,ICP40B,1,10000,17,ICP40B,1,10000,70,ICP40B,1,10000,3.9,ICP40B,0.5,10000,4.95,ICP40B,0.01,15,2.69,ICP40B,0.01,15,29.8,ICP40B,0.5,10000,54,ICP40B,1,10000,1.35,ICP40B,0.01,15,463,ICP40B,2,10000,<1,ICP40B,1,10000,1.40,ICP40B,0.01,15,46,ICP40B,1,10000,0.06,ICP40B,0.01,15,7,ICP40B,2,10000,0.02,ICP40B,0.01,5,9,ICP40B,5,10000,17.8,ICP40B,0.5,10000,<10,ICP40B,10,10000,70.9,ICP40B,0.5,5000,0.41,ICP40B,0.01,15,115,ICP40B,2,10000,<10,ICP40B,10,10000,12.9,ICP40B,0.5,10000,63,ICP40B,1,10000,104,ICP40B,0.5,10000,,AAS42S,5,500,,AAS42S,0.001,50,PAL01938,0.94,0.94,-,-,-,-,-,-,-,-,-,-,<2,7.25,10,486,2.3,<5,0.77,<1,17,70,3.9,4.95,2.69,29.8,54,1.35,463,<1,1.40,46,0.06,7,0.02,9,17.8,<10,70.9,0.41,115,<10,12.9,63,104,-,-
Tannenberg,TR2600299,09-Feb-26,23-Feb-26,,PAL01939,Core,Drill Core,Drillhole,TR2600299     150             376,09-Feb-26,23-Feb-26,TR2600299,TR2600299     150             376,,0.68,0.68,0.68,,,,,,,,,,,<2,ICP40B,2,10,7.98,ICP40B,0.01,15,6,ICP40B,3,10000,484,ICP40B,1,10000,2.0,ICP40B,0.5,2500,<5,ICP40B,5,10000,0.42,ICP40B,0.01,15,<1,ICP40B,1,10000,13,ICP40B,1,10000,63,ICP40B,1,10000,3.7,ICP40B,0.5,10000,4.45,ICP40B,0.01,15,2.51,ICP40B,0.01,15,32.5,ICP40B,0.5,10000,51,ICP40B,1,10000,1.30,ICP40B,0.01,15,362,ICP40B,2,10000,<1,ICP40B,1,10000,1.41,ICP40B,0.01,15,41,ICP40B,1,10000,0.06,ICP40B,0.01,15,5,ICP40B,2,10000,0.01,ICP40B,0.01,5,8,ICP40B,5,10000,17.7,ICP40B,0.5,10000,<10,ICP40B,10,10000,71.9,ICP40B,0.5,5000,0.39,ICP40B,0.01,15,110,ICP40B,2,10000,<10,ICP40B,10,10000,14.8,ICP40B,0.5,10000,54,ICP40B,1,10000,102,ICP40B,0.5,10000,,AAS42S,5,500,,AAS42S,0.001,50,PAL01939,0.68,0.68,-,-,-,-,-,-,-,-,-,-,<2,7.98,6,484,2.0,<5,0.42,<1,13,63,3.7,4.45,2.51,32.5,51,1.30,362,<1,1.41,41,0.06,5,0.01,8,17.7,<10,71.9,0.39,110,<10,14.8,54,102,-,-
Tannenberg,TR2600299,09-Feb-26,23-Feb-26,,PAL01940,Core,Drill Core,Drillhole,TR2600299     150             376,09-Feb-26,23-Feb-26,TR2600299,TR2600299     150             376,,0.52,0.52,0.52,,,,,,,,,,,<2,ICP40B,2,10,7.93,ICP40B,0.01,15,7,ICP40B,3,10000,508,ICP40B,1,10000,2.1,ICP40B,0.5,2500,<5,ICP40B,5,10000,0.20,ICP40B,0.01,15,<1,ICP40B,1,10000,12,ICP40B,1,10000,60,ICP40B,1,10000,3.6,ICP40B,0.5,10000,4.31,ICP40B,0.01,15,2.69,ICP40B,0.01,15,29.8,ICP40B,0.5,10000,56,ICP40B,1,10000,1.24,ICP40B,0.01,15,248,ICP40B,2,10000,<1,ICP40B,1,10000,1.41,ICP40B,0.01,15,41,ICP40B,1,10000,0.06,ICP40B,0.01,15,5,ICP40B,2,10000,0.04,ICP40B,0.01,5,7,ICP40B,5,10000,17.5,ICP40B,0.5,10000,<10,ICP40B,10,10000,65.5,ICP40B,0.5,5000,0.38,ICP40B,0.01,15,120,ICP40B,2,10000,<10,ICP40B,10,10000,12.8,ICP40B,0.5,10000,55,ICP40B,1,10000,107,ICP40B,0.5,10000,,AAS42S,5,500,,AAS42S,0.001,50,PAL01940,0.52,0.52,-,-,-,-,-,-,-,-,-,-,<2,7.93,7,508,2.1,<5,0.20,<1,12,60,3.6,4.31,2.69,29.8,56,1.24,248,<1,1.41,41,0.06,5,0.04,7,17.5,<10,65.5,0.38,120,<10,12.8,55,107,-,-
Tannenberg,TR2600299,09-Feb-26,23-Feb-26,,*DUP-PAL01940,Core,Drill Core,Drillhole,TR2600299     150             376,09-Feb-26,23-Feb-26,TR2600299,TR2600299     150             376,,0.00,0.00,0.00,,,,,,,,,,,<2,ICP40B,2,10,7.74,ICP40B,0.01,15,8,ICP40B,3,10000,514,ICP40B,1,10000,2.2,ICP40B,0.5,2500,<5,ICP40B,5,10000,0.17,ICP40B,0.01,15,<1,ICP40B,1,10000,12,ICP40B,1,10000,56,ICP40B,1,10000,3.0,ICP40B,0.5,10000,4.39,ICP40B,0.01,15,2.78,ICP40B,0.01,15,29.7,ICP40B,0.5,10000,52,ICP40B,1,10000,1.26,ICP40B,0.01,15,248,ICP40B,2,10000,<1,ICP40B,1,10000,1.43,ICP40B,0.01,15,41,ICP40B,1,10000,0.06,ICP40B,0.01,15,3,ICP40B,2,10000,0.02,ICP40B,0.01,5,8,ICP40B,5,10000,16.9,ICP40B,0.5,10000,<10,ICP40B,10,10000,65.2,ICP40B,0.5,5000,0.42,ICP40B,0.01,15,125,ICP40B,2,10000,<10,ICP40B,10,10000,12.1,ICP40B,0.5,10000,54,ICP40B,1,10000,107,ICP40B,0.5,10000,,AAS42S,5,500,,AAS42S,0.001,50,*DUP-PAL01940,0.00,0.00,-,-,-,-,-,-,-,-,-,-,<2,7.74,8,514,2.2,<5,0.17,<1,12,56,3.0,4.39,2.78,29.7,52,1.26,248,<1,1.43,41,0.06,3,0.02,8,16.9,<10,65.2,0.42,125,<10,12.1,54,107,-,-
Tannenberg,TR2600299,09-Feb-26,23-Feb-26,,PAL01941,Core,Drill Core,Drillhole,TR2600299     150             376,09-Feb-26,23-Feb-26,TR2600299,TR2600299     150             376,,4.09,4.09,4.09,,,,,,,,,,,<2,ICP40B,2,10,0.05,ICP40B,0.01,15,<3,ICP40B,3,10000,4,ICP40B,1,10000,<0.5,ICP40B,0.5,2500,<5,ICP40B,5,10000,>15,ICP40B,0.01,15,<1,ICP40B,1,10000,<1,ICP40B,1,10000,<1,ICP40B,1,10000,1.4,ICP40B,0.5,10000,0.01,ICP40B,0.01,15,0.03,ICP40B,0.01,15,0.5,ICP40B,0.5,10000,4,ICP40B,1,10000,0.18,ICP40B,0.01,15,4,ICP40B,2,10000,<1,ICP40B,1,10000,0.02,ICP40B,0.01,15,<1,ICP40B,1,10000,<0.01,ICP40B,0.01,15,<2,ICP40B,2,10000,>5,ICP40B,0.01,5,<5,ICP40B,5,10000,<0.5,ICP40B,0.5,10000,<10,ICP40B,10,10000,500,ICP40B,0.5,5000,<0.01,ICP40B,0.01,15,<2,ICP40B,2,10000,<10,ICP40B,10,10000,<0.5,ICP40B,0.5,10000,4,ICP40B,1,10000,<0.5,ICP40B,0.5,10000,,AAS42S,5,500,,AAS42S,0.001,50,PAL01941,4.09,4.09,-,-,-,-,-,-,-,-,-,-,<2,0.05,<3,4,<0.5,<5,>15,<1,<1,<1,1.4,0.01,0.03,0.5,4,0.18,4,<1,0.02,<1,<0.01,<2,>5,<5,<0.5,<10,500,<0.01,<2,<10,<0.5,4,<0.5,-,-
Tannenberg,TR2600299,09-Feb-26,23-Feb-26,,PAL01942,Core,Drill Core,Drillhole,TR2600299     150             376,09-Feb-26,23-Feb-26,TR2600299,TR2600299     150             376,,3.60,3.60,3.60,500.0,80.20,19.80,401.0,99.0,20.0,87.50,12.50,17.5,2.5,<2,ICP40B,2,10,0.04,ICP40B,0.01,15,<3,ICP40B,3,10000,5,ICP40B,1,10000,<0.5,ICP40B,0.5,2500,<5,ICP40B,5,10000,>15,ICP40B,0.01,15,<1,ICP40B,1,10000,<1,ICP40B,1,10000,<1,ICP40B,1,10000,1.1,ICP40B,0.5,10000,0.02,ICP40B,0.01,15,0.03,ICP40B,0.01,15,0.6,ICP40B,0.5,10000,6,ICP40B,1,10000,0.48,ICP40B,0.01,15,8,ICP40B,2,10000,<1,ICP40B,1,10000,0.02,ICP40B,0.01,15,<1,ICP40B,1,10000,<0.01,ICP40B,0.01,15,<2,ICP40B,2,10000,>5,ICP40B,0.01,5,<5,ICP40B,5,10000,<0.5,ICP40B,0.5,10000,<10,ICP40B,10,10000,512,ICP40B,0.5,5000,<0.01,ICP40B,0.01,15,<2,ICP40B,2,10000,<10,ICP40B,10,10000,<0.5,ICP40B,0.5,10000,2,ICP40B,1,10000,0.6,ICP40B,0.5,10000,,AAS42S,5,500,,AAS42S,0.001,50,PAL01942,3.60,3.60,500.0,80.20,19.80,401.0,99.0,20.0,87.50,12.50,17.5,2.5,<2,0.04,<3,5,<0.5,<5,>15,<1,<1,<1,1.1,0.02,0.03,0.6,6,0.48,8,<1,0.02,<1,<0.01,<2,>5,<5,<0.5,<10,512,<0.01,<2,<10,<0.5,2,0.6,-,-
Tannenberg,TR2600299,09-Feb-26,23-Feb-26,,PAL01943,Core,Drill Core,Drillhole,TR2600299     150             376,09-Feb-26,23-Feb-26,TR2600299,TR2600299     150             376,,2.47,2.47,2.47,,,,,,,,,,,<2,ICP40B,2,10,0.03,ICP40B,0.01,15,<3,ICP40B,3,10000,6,ICP40B,1,10000,<0.5,ICP40B,0.5,2500,<5,ICP40B,5,10000,14.9,ICP40B,0.01,15,<1,ICP40B,1,10000,<1,ICP40B,1,10000,1,ICP40B,1,10000,1.8,ICP40B,0.5,10000,0.01,ICP40B,0.01,15,0.02,ICP40B,0.01,15,<0.5,ICP40B,0.5,10000,1,ICP40B,1,10000,0.14,ICP40B,0.01,15,5,ICP40B,2,10000,<1,ICP40B,1,10000,0.02,ICP40B,0.01,15,<1,ICP40B,1,10000,<0.01,ICP40B,0.01,15,<2,ICP40B,2,10000,>5,ICP40B,0.01,5,<5,ICP40B,5,10000,<0.5,ICP40B,0.5,10000,<10,ICP40B,10,10000,300,ICP40B,0.5,5000,<0.01,ICP40B,0.01,15,<2,ICP40B,2,10000,<10,ICP40B,10,10000,<0.5,ICP40B,0.5,10000,2,ICP40B,1,10000,<0.5,ICP40B,0.5,10000,,AAS42S,5,500,,AAS42S,0.001,50,PAL01943,2.47,2.47,-,-,-,-,-,-,-,-,-,-,<2,0.03,<3,6,<0.5,<5,14.9,<1,<1,1,1.8,0.01,0.02,<0.5,1,0.14,5,<1,0.02,<1,<0.01,<2,>5,<5,<0.5,<10,300,<0.01,<2,<10,<0.5,2,<0.5,-,-
Tannenberg,TR2600299,09-Feb-26,23-Feb-26,,PAL01944,Core,Drill Core,Drillhole,TR2600299     150             376,09-Feb-26,23-Feb-26,TR2600299,TR2600299     150             376,,2.31,2.31,2.31,,,,,,,,,,,<2,ICP40B,2,10,0.04,ICP40B,0.01,15,<3,ICP40B,3,10000,5,ICP40B,1,10000,<0.5,ICP40B,0.5,2500,<5,ICP40B,5,10000,>15,ICP40B,0.01,15,<1,ICP40B,1,10000,<1,ICP40B,1,10000,<1,ICP40B,1,10000,1.5,ICP40B,0.5,10000,0.01,ICP40B,0.01,15,0.02,ICP40B,0.01,15,0.7,ICP40B,0.5,10000,2,ICP40B,1,10000,0.34,ICP40B,0.01,15,10,ICP40B,2,10000,<1,ICP40B,1,10000,0.02,ICP40B,0.01,15,<1,ICP40B,1,10000,<0.01,ICP40B,0.01,15,<2,ICP40B,2,10000,>5,ICP40B,0.01,5,<5,ICP40B,5,10000,<0.5,ICP40B,0.5,10000,<10,ICP40B,10,10000,368,ICP40B,0.5,5000,<0.01,ICP40B,0.01,15,<2,ICP40B,2,10000,<10,ICP40B,10,10000,<0.5,ICP40B,0.5,10000,2,ICP40B,1,10000,<0.5,ICP40B,0.5,10000,,AAS42S,5,500,,AAS42S,0.001,50,PAL01944,2.31,2.31,-,-,-,-,-,-,-,-,-,-,<2,0.04,<3,5,<0.5,<5,>15,<1,<1,<1,1.5,0.01,0.02,0.7,2,0.34,10,<1,0.02,<1,<0.01,<2,>5,<5,<0.5,<10,368,<0.01,<2,<10,<0.5,2,<0.5,-,-
