PROJECTCOD,CertificateNo,Received,Reported,HOLEID,SAMPLEID,SAMPLETYPE,SapSubType,Point_Type,Dsptch_L_D,SmpDspDate,SmpRetDate,Lab_L_D,Labjobno,AnalysisLD,SampWt_g_D,Wtkg,Wtcru_dry_kg,Tot_Weight_CRU,Pass_2mm_pct,Rmnd_2mm_pct,WT_MinusFrac_CRU_g,WT_PlusFrac_CRU_g,Tot_Weight_PUL_g,Pass_75um_pct,Rmnd_75um_pct,WT_MinusFrac_PUL_g,WT_PlusFrac_PUL_g,Ag_ppm,Ag_ppm_GMD,Ag_ppm_LDD,Ag_ppm_UDD,Al_pct,Al_pct_GMD,Al_pct_LDD,Al_pct_UDD,As_ppm,As_ppm_GMD,As_ppm_LDD,As_ppm_UDD,Ba_ppm,Ba_ppm_GMD,Ba_ppm_LDD,Ba_ppm_UDD,Be_ppm,Be_ppm_GMD,Be_ppm_LDD,Be_ppm_UDD,Bi_ppm,Bi_ppm_GMD,Bi_ppm_LDD,Bi_ppm_UDD,Ca_pct,Ca_pct_GMD,Ca_pct_LDD,Ca_pct_UDD,Cd_ppm,Cd_ppm_GMD,Cd_ppm_LDD,Cd_ppm_UDD,Co_ppm,Co_ppm_GMD,Co_ppm_LDD,Co_ppm_UDD,Cr_ppm,Cr_ppm_GMD,Cr_ppm_LDD,Cr_ppm_UDD,Cu_ppm,Cu_ppm_GMD,Cu_ppm_LDD,Cu_ppm_UDD,Fe_pct,Fe_pct_GMD,Fe_pct_LDD,Fe_pct_UDD,K_pct,K_pct_GMD,K_pct_LDD,K_pct_UDD,La_ppm,La_ppm_GMD,La_ppm_LDD,La_ppm_UDD,Li_ppm,Li_ppm_GMD,Li_ppm_LDD,Li_ppm_UDD,Mg_pct,Mg_pct_GMD,Mg_pct_LDD,Mg_pct_UDD,Mn_ppm,Mn_ppm_GMD,Mn_ppm_LDD,Mn_ppm_UDD,Mo_ppm,Mo_ppm_GMD,Mo_ppm_LDD,Mo_ppm_UDD,Na_pct,Na_pct_GMD,Na_pct_LDD,Na_pct_UDD,Ni_ppm,Ni_ppm_GMD,Ni_ppm_LDD,Ni_ppm_UDD,P_pct,P_pct_GMD,P_pct_LDD,P_pct_UDD,Pb_ppm,Pb_ppm_GMD,Pb_ppm_LDD,Pb_ppm_UDD,S_pct,S_pct_GMD,S_pct_LDD,S_pct_UDD,Sb_ppm,Sb_ppm_GMD,Sb_ppm_LDD,Sb_ppm_UDD,Sc_ppm,Sc_ppm_GMD,Sc_ppm_LDD,Sc_ppm_UDD,Sn_ppm,Sn_ppm_GMD,Sn_ppm_LDD,Sn_ppm_UDD,Sr_ppm,Sr_ppm_GMD,Sr_ppm_LDD,Sr_ppm_UDD,Ti_pct,Ti_pct_GMD,Ti_pct_LDD,Ti_pct_UDD,V_ppm,V_ppm_GMD,V_ppm_LDD,V_ppm_UDD,W_ppm,W_ppm_GMD,W_ppm_LDD,W_ppm_UDD,Y_ppm,Y_ppm_GMD,Y_ppm_LDD,Y_ppm_UDD,Zn_ppm,Zn_ppm_GMD,Zn_ppm_LDD,Zn_ppm_UDD,Zr_ppm,Zr_ppm_GMD,Zr_ppm_LDD,Zr_ppm_UDD,Ag_ppm_AAS42S,Ag_ppm_AAS42S_GMD,Ag_ppm_AAS42S_LDD,Ag_ppm_AAS42S_UDD,SampleID_orig,Wtkg_KG[WGH10],Wtcru_dry_kg_KG[CRU24],Tot. Weight_G[CRU-QA/QC],Pass 2mm_%[CRU-QA/QC],Rmnd 2mm_%[CRU-QA/QC],WT. - Frac Entire_G[CRU-QA/QC],WT. + Frac Entire_G[CRU-QA/QC],Tot. Weight_G[PUL-QA/QC],Pass 75um_%[PUL-QA/QC],Rmnd 75um_%[PUL-QA/QC],WT. - Frac Entire_G[PUL-QA/QC],WT. + Frac Entire_G[PUL-QA/QC],Ag_ppm[ICP40B|LDL:2|UDL:10],Al_pct[ICP40B|LDL:0.01|UDL:15],As_ppm[ICP40B|LDL:3|UDL:10000],Ba_ppm[ICP40B|LDL:1|UDL:10000],Be_ppm[ICP40B|LDL:0.5|UDL:2500],Bi_ppm[ICP40B|LDL:5|UDL:10000],Ca_pct[ICP40B|LDL:0.01|UDL:15],Cd_ppm[ICP40B|LDL:1|UDL:10000],Co_ppm[ICP40B|LDL:1|UDL:10000],Cr_ppm[ICP40B|LDL:1|UDL:10000],Cu_ppm[ICP40B|LDL:0.5|UDL:10000],Fe_pct[ICP40B|LDL:0.01|UDL:15],K_pct[ICP40B|LDL:0.01|UDL:15],La_ppm[ICP40B|LDL:0.5|UDL:10000],Li_ppm[ICP40B|LDL:1|UDL:10000],Mg_pct[ICP40B|LDL:0.01|UDL:15],Mn_ppm[ICP40B|LDL:2|UDL:10000],Mo_ppm[ICP40B|LDL:1|UDL:10000],Na_pct[ICP40B|LDL:0.01|UDL:15],Ni_ppm[ICP40B|LDL:1|UDL:10000],P_pct[ICP40B|LDL:0.01|UDL:15],Pb_ppm[ICP40B|LDL:2|UDL:10000],S_pct[ICP40B|LDL:0.01|UDL:5],Sb_ppm[ICP40B|LDL:5|UDL:10000],Sc_ppm[ICP40B|LDL:0.5|UDL:10000],Sn_ppm[ICP40B|LDL:10|UDL:10000],Sr_ppm[ICP40B|LDL:0.5|UDL:5000],Ti_pct[ICP40B|LDL:0.01|UDL:15],V_ppm[ICP40B|LDL:2|UDL:10000],W_ppm[ICP40B|LDL:10|UDL:10000],Y_ppm[ICP40B|LDL:0.5|UDL:10000],Zn_ppm[ICP40B|LDL:1|UDL:10000],Zr_ppm[ICP40B|LDL:0.5|UDL:10000],Ag_ppm[AAS42S|LDL:5|UDL:500]
Tannenberg,TR2600303,10-Feb-26,23-Feb-26,,PAL02951,Core,Drill Core,Drillhole,TR2600303     50              368,10-Feb-26,23-Feb-26,TR2600303,TR2600303     50              368,,3.43,3.43,3.43,,,,,,,,,,,<2,ICP40B,2,10,0.62,ICP40B,0.01,15,<3,ICP40B,3,10000,22,ICP40B,1,10000,<0.5,ICP40B,0.5,2500,<5,ICP40B,5,10000,>15,ICP40B,0.01,15,<1,ICP40B,1,10000,1,ICP40B,1,10000,4,ICP40B,1,10000,2.7,ICP40B,0.5,10000,0.30,ICP40B,0.01,15,0.42,ICP40B,0.01,15,6.0,ICP40B,0.5,10000,14,ICP40B,1,10000,0.87,ICP40B,0.01,15,237,ICP40B,2,10000,<1,ICP40B,1,10000,0.04,ICP40B,0.01,15,5,ICP40B,1,10000,0.01,ICP40B,0.01,15,14,ICP40B,2,10000,0.25,ICP40B,0.01,5,<5,ICP40B,5,10000,1.3,ICP40B,0.5,10000,<10,ICP40B,10,10000,252,ICP40B,0.5,5000,0.03,ICP40B,0.01,15,7,ICP40B,2,10000,<10,ICP40B,10,10000,3.5,ICP40B,0.5,10000,16,ICP40B,1,10000,6.1,ICP40B,0.5,10000,,AAS42S,5,500,PAL02951,3.43,3.43,-,-,-,-,-,-,-,-,-,-,<2,0.62,<3,22,<0.5,<5,>15,<1,1,4,2.7,0.30,0.42,6.0,14,0.87,237,<1,0.04,5,0.01,14,0.25,<5,1.3,<10,252,0.03,7,<10,3.5,16,6.1,-
Tannenberg,TR2600303,10-Feb-26,23-Feb-26,,PAL02952,Core,Drill Core,Drillhole,TR2600303     50              368,10-Feb-26,23-Feb-26,TR2600303,TR2600303     50              368,,2.70,2.70,2.70,,,,,,,,,,,<2,ICP40B,2,10,1.18,ICP40B,0.01,15,4,ICP40B,3,10000,45,ICP40B,1,10000,0.5,ICP40B,0.5,2500,<5,ICP40B,5,10000,>15,ICP40B,0.01,15,<1,ICP40B,1,10000,2,ICP40B,1,10000,8,ICP40B,1,10000,4.7,ICP40B,0.5,10000,0.51,ICP40B,0.01,15,0.65,ICP40B,0.01,15,8.4,ICP40B,0.5,10000,23,ICP40B,1,10000,2.24,ICP40B,0.01,15,338,ICP40B,2,10000,1,ICP40B,1,10000,0.04,ICP40B,0.01,15,9,ICP40B,1,10000,0.01,ICP40B,0.01,15,21,ICP40B,2,10000,0.40,ICP40B,0.01,5,<5,ICP40B,5,10000,2.1,ICP40B,0.5,10000,<10,ICP40B,10,10000,243,ICP40B,0.5,5000,0.04,ICP40B,0.01,15,11,ICP40B,2,10000,<10,ICP40B,10,10000,4.4,ICP40B,0.5,10000,15,ICP40B,1,10000,9.9,ICP40B,0.5,10000,,AAS42S,5,500,PAL02952,2.70,2.70,-,-,-,-,-,-,-,-,-,-,<2,1.18,4,45,0.5,<5,>15,<1,2,8,4.7,0.51,0.65,8.4,23,2.24,338,1,0.04,9,0.01,21,0.40,<5,2.1,<10,243,0.04,11,<10,4.4,15,9.9,-
Tannenberg,TR2600303,10-Feb-26,23-Feb-26,,PAL02953,Core,Drill Core,Drillhole,TR2600303     50              368,10-Feb-26,23-Feb-26,TR2600303,TR2600303     50              368,,2.43,2.43,2.43,,,,,,,,,,,<2,ICP40B,2,10,0.41,ICP40B,0.01,15,9,ICP40B,3,10000,35,ICP40B,1,10000,<0.5,ICP40B,0.5,2500,<5,ICP40B,5,10000,>15,ICP40B,0.01,15,<1,ICP40B,1,10000,<1,ICP40B,1,10000,3,ICP40B,1,10000,10.9,ICP40B,0.5,10000,0.52,ICP40B,0.01,15,0.22,ICP40B,0.01,15,3.9,ICP40B,0.5,10000,7,ICP40B,1,10000,9.80,ICP40B,0.01,15,812,ICP40B,2,10000,<1,ICP40B,1,10000,0.06,ICP40B,0.01,15,6,ICP40B,1,10000,<0.01,ICP40B,0.01,15,9,ICP40B,2,10000,0.13,ICP40B,0.01,5,<5,ICP40B,5,10000,<0.5,ICP40B,0.5,10000,<10,ICP40B,10,10000,92.9,ICP40B,0.5,5000,0.01,ICP40B,0.01,15,4,ICP40B,2,10000,<10,ICP40B,10,10000,2.4,ICP40B,0.5,10000,61,ICP40B,1,10000,4.4,ICP40B,0.5,10000,,AAS42S,5,500,PAL02953,2.43,2.43,-,-,-,-,-,-,-,-,-,-,<2,0.41,9,35,<0.5,<5,>15,<1,<1,3,10.9,0.52,0.22,3.9,7,9.80,812,<1,0.06,6,<0.01,9,0.13,<5,<0.5,<10,92.9,0.01,4,<10,2.4,61,4.4,-
Tannenberg,TR2600303,10-Feb-26,23-Feb-26,,*DUP-PAL02953,Core,Drill Core,Drillhole,TR2600303     50              368,10-Feb-26,23-Feb-26,TR2600303,TR2600303     50              368,,0.00,0.00,0.00,,,,,,,,,,,<2,ICP40B,2,10,0.48,ICP40B,0.01,15,9,ICP40B,3,10000,32,ICP40B,1,10000,<0.5,ICP40B,0.5,2500,<5,ICP40B,5,10000,>15,ICP40B,0.01,15,<1,ICP40B,1,10000,<1,ICP40B,1,10000,2,ICP40B,1,10000,10.6,ICP40B,0.5,10000,0.51,ICP40B,0.01,15,0.22,ICP40B,0.01,15,3.8,ICP40B,0.5,10000,7,ICP40B,1,10000,9.98,ICP40B,0.01,15,828,ICP40B,2,10000,<1,ICP40B,1,10000,0.05,ICP40B,0.01,15,6,ICP40B,1,10000,<0.01,ICP40B,0.01,15,9,ICP40B,2,10000,0.14,ICP40B,0.01,5,<5,ICP40B,5,10000,<0.5,ICP40B,0.5,10000,<10,ICP40B,10,10000,93.5,ICP40B,0.5,5000,0.01,ICP40B,0.01,15,4,ICP40B,2,10000,<10,ICP40B,10,10000,2.4,ICP40B,0.5,10000,61,ICP40B,1,10000,4.4,ICP40B,0.5,10000,,AAS42S,5,500,*DUP-PAL02953,0.00,0.00,-,-,-,-,-,-,-,-,-,-,<2,0.48,9,32,<0.5,<5,>15,<1,<1,2,10.6,0.51,0.22,3.8,7,9.98,828,<1,0.05,6,<0.01,9,0.14,<5,<0.5,<10,93.5,0.01,4,<10,2.4,61,4.4,-
Tannenberg,TR2600303,10-Feb-26,23-Feb-26,,PAL02954,Core,Drill Core,Drillhole,TR2600303     50              368,10-Feb-26,23-Feb-26,TR2600303,TR2600303     50              368,,4.05,4.05,4.05,,,,,,,,,,,<2,ICP40B,2,10,9.91,ICP40B,0.01,15,56,ICP40B,3,10000,349,ICP40B,1,10000,3.9,ICP40B,0.5,2500,<5,ICP40B,5,10000,0.61,ICP40B,0.01,15,<1,ICP40B,1,10000,32,ICP40B,1,10000,63,ICP40B,1,10000,126,ICP40B,0.5,10000,3.61,ICP40B,0.01,15,4.74,ICP40B,0.01,15,29.1,ICP40B,0.5,10000,94,ICP40B,1,10000,1.24,ICP40B,0.01,15,251,ICP40B,2,10000,2,ICP40B,1,10000,0.16,ICP40B,0.01,15,46,ICP40B,1,10000,0.07,ICP40B,0.01,15,15,ICP40B,2,10000,1.90,ICP40B,0.01,5,9,ICP40B,5,10000,17.4,ICP40B,0.5,10000,<10,ICP40B,10,10000,72.0,ICP40B,0.5,5000,0.43,ICP40B,0.01,15,106,ICP40B,2,10000,<10,ICP40B,10,10000,17.9,ICP40B,0.5,10000,78,ICP40B,1,10000,104,ICP40B,0.5,10000,,AAS42S,5,500,PAL02954,4.05,4.05,-,-,-,-,-,-,-,-,-,-,<2,9.91,56,349,3.9,<5,0.61,<1,32,63,126,3.61,4.74,29.1,94,1.24,251,2,0.16,46,0.07,15,1.90,9,17.4,<10,72.0,0.43,106,<10,17.9,78,104,-
Tannenberg,TR2600303,10-Feb-26,23-Feb-26,,PAL02955,Core,Drill Core,Drillhole,TR2600303     50              368,10-Feb-26,23-Feb-26,TR2600303,TR2600303     50              368,,3.53,3.53,3.53,,,,,,,,,,,<2,ICP40B,2,10,10.9,ICP40B,0.01,15,6,ICP40B,3,10000,394,ICP40B,1,10000,3.8,ICP40B,0.5,2500,<5,ICP40B,5,10000,1.94,ICP40B,0.01,15,<1,ICP40B,1,10000,13,ICP40B,1,10000,72,ICP40B,1,10000,31.5,ICP40B,0.5,10000,4.88,ICP40B,0.01,15,3.91,ICP40B,0.01,15,54.6,ICP40B,0.5,10000,80,ICP40B,1,10000,2.30,ICP40B,0.01,15,363,ICP40B,2,10000,<1,ICP40B,1,10000,0.19,ICP40B,0.01,15,50,ICP40B,1,10000,0.11,ICP40B,0.01,15,<2,ICP40B,2,10000,0.06,ICP40B,0.01,5,8,ICP40B,5,10000,21.7,ICP40B,0.5,10000,<10,ICP40B,10,10000,104,ICP40B,0.5,5000,0.45,ICP40B,0.01,15,121,ICP40B,2,10000,<10,ICP40B,10,10000,28.7,ICP40B,0.5,10000,77,ICP40B,1,10000,107,ICP40B,0.5,10000,,AAS42S,5,500,PAL02955,3.53,3.53,-,-,-,-,-,-,-,-,-,-,<2,10.9,6,394,3.8,<5,1.94,<1,13,72,31.5,4.88,3.91,54.6,80,2.30,363,<1,0.19,50,0.11,<2,0.06,8,21.7,<10,104,0.45,121,<10,28.7,77,107,-
Tannenberg,TR2600303,10-Feb-26,23-Feb-26,,PAL02956,Core,Drill Core,Drillhole,TR2600303     50              368,10-Feb-26,23-Feb-26,TR2600303,TR2600303     50              368,,2.63,2.63,2.63,,,,,,,,,,,<2,ICP40B,2,10,11.1,ICP40B,0.01,15,9,ICP40B,3,10000,410,ICP40B,1,10000,3.7,ICP40B,0.5,2500,<5,ICP40B,5,10000,2.06,ICP40B,0.01,15,<1,ICP40B,1,10000,7,ICP40B,1,10000,60,ICP40B,1,10000,2.8,ICP40B,0.5,10000,4.34,ICP40B,0.01,15,4.38,ICP40B,0.01,15,45.7,ICP40B,0.5,10000,75,ICP40B,1,10000,2.08,ICP40B,0.01,15,232,ICP40B,2,10000,<1,ICP40B,1,10000,0.17,ICP40B,0.01,15,29,ICP40B,1,10000,0.07,ICP40B,0.01,15,3,ICP40B,2,10000,0.04,ICP40B,0.01,5,8,ICP40B,5,10000,19.8,ICP40B,0.5,10000,<10,ICP40B,10,10000,101,ICP40B,0.5,5000,0.45,ICP40B,0.01,15,118,ICP40B,2,10000,<10,ICP40B,10,10000,25.5,ICP40B,0.5,10000,41,ICP40B,1,10000,118,ICP40B,0.5,10000,,AAS42S,5,500,PAL02956,2.63,2.63,-,-,-,-,-,-,-,-,-,-,<2,11.1,9,410,3.7,<5,2.06,<1,7,60,2.8,4.34,4.38,45.7,75,2.08,232,<1,0.17,29,0.07,3,0.04,8,19.8,<10,101,0.45,118,<10,25.5,41,118,-
Tannenberg,TR2600303,10-Feb-26,23-Feb-26,,PAL02957,Core,Drill Core,Drillhole,TR2600303     50              368,10-Feb-26,23-Feb-26,TR2600303,TR2600303     50              368,,2.61,2.61,2.61,,,,,,,,,,,<2,ICP40B,2,10,5.83,ICP40B,0.01,15,11,ICP40B,3,10000,247,ICP40B,1,10000,2.3,ICP40B,0.5,2500,<5,ICP40B,5,10000,11.6,ICP40B,0.01,15,<1,ICP40B,1,10000,8,ICP40B,1,10000,36,ICP40B,1,10000,25.5,ICP40B,0.5,10000,2.75,ICP40B,0.01,15,2.54,ICP40B,0.01,15,22.3,ICP40B,0.5,10000,66,ICP40B,1,10000,1.56,ICP40B,0.01,15,176,ICP40B,2,10000,<1,ICP40B,1,10000,0.12,ICP40B,0.01,15,27,ICP40B,1,10000,0.06,ICP40B,0.01,15,4,ICP40B,2,10000,>5,ICP40B,0.01,5,7,ICP40B,5,10000,10.8,ICP40B,0.5,10000,<10,ICP40B,10,10000,866,ICP40B,0.5,5000,0.25,ICP40B,0.01,15,74,ICP40B,2,10000,<10,ICP40B,10,10000,12.5,ICP40B,0.5,10000,34,ICP40B,1,10000,56.6,ICP40B,0.5,10000,,AAS42S,5,500,PAL02957,2.61,2.61,-,-,-,-,-,-,-,-,-,-,<2,5.83,11,247,2.3,<5,11.6,<1,8,36,25.5,2.75,2.54,22.3,66,1.56,176,<1,0.12,27,0.06,4,>5,7,10.8,<10,866,0.25,74,<10,12.5,34,56.6,-
Tannenberg,TR2600303,10-Feb-26,23-Feb-26,,PAL02958,Core,Drill Core,Drillhole,TR2600303     50              368,10-Feb-26,23-Feb-26,TR2600303,TR2600303     50              368,,1.31,1.31,1.31,,,,,,,,,,,<2,ICP40B,2,10,3.20,ICP40B,0.01,15,18,ICP40B,3,10000,136,ICP40B,1,10000,1.5,ICP40B,0.5,2500,<5,ICP40B,5,10000,>15,ICP40B,0.01,15,<1,ICP40B,1,10000,9,ICP40B,1,10000,22,ICP40B,1,10000,50.1,ICP40B,0.5,10000,1.62,ICP40B,0.01,15,1.49,ICP40B,0.01,15,16.1,ICP40B,0.5,10000,38,ICP40B,1,10000,1.55,ICP40B,0.01,15,232,ICP40B,2,10000,<1,ICP40B,1,10000,0.07,ICP40B,0.01,15,17,ICP40B,1,10000,0.03,ICP40B,0.01,15,9,ICP40B,2,10000,>5,ICP40B,0.01,5,<5,ICP40B,5,10000,6.5,ICP40B,0.5,10000,<10,ICP40B,10,10000,1209,ICP40B,0.5,5000,0.13,ICP40B,0.01,15,40,ICP40B,2,10000,<10,ICP40B,10,10000,10.8,ICP40B,0.5,10000,20,ICP40B,1,10000,30.0,ICP40B,0.5,10000,,AAS42S,5,500,PAL02958,1.31,1.31,-,-,-,-,-,-,-,-,-,-,<2,3.20,18,136,1.5,<5,>15,<1,9,22,50.1,1.62,1.49,16.1,38,1.55,232,<1,0.07,17,0.03,9,>5,<5,6.5,<10,1209,0.13,40,<10,10.8,20,30.0,-
Tannenberg,TR2600303,10-Feb-26,23-Feb-26,,PAL02959,Core,Drill Core,Drillhole,TR2600303     50              368,10-Feb-26,23-Feb-26,TR2600303,TR2600303     50              368,,1.30,1.30,1.30,500.0,,,379.0,,NVL,,,NVL,,<2,ICP40B,2,10,1.91,ICP40B,0.01,15,42,ICP40B,3,10000,81,ICP40B,1,10000,0.8,ICP40B,0.5,2500,<5,ICP40B,5,10000,>15,ICP40B,0.01,15,<1,ICP40B,1,10000,14,ICP40B,1,10000,10,ICP40B,1,10000,70.9,ICP40B,0.5,10000,0.86,ICP40B,0.01,15,0.85,ICP40B,0.01,15,9.1,ICP40B,0.5,10000,25,ICP40B,1,10000,0.51,ICP40B,0.01,15,69,ICP40B,2,10000,9,ICP40B,1,10000,0.05,ICP40B,0.01,15,13,ICP40B,1,10000,0.02,ICP40B,0.01,15,13,ICP40B,2,10000,>5,ICP40B,0.01,5,<5,ICP40B,5,10000,3.5,ICP40B,0.5,10000,<10,ICP40B,10,10000,714,ICP40B,0.5,5000,0.09,ICP40B,0.01,15,24,ICP40B,2,10000,<10,ICP40B,10,10000,4.5,ICP40B,0.5,10000,13,ICP40B,1,10000,19.7,ICP40B,0.5,10000,,AAS42S,5,500,PAL02959,1.30,1.30,500.0,-,-,379.0,-,NVL,-,-,NVL,-,<2,1.91,42,81,0.8,<5,>15,<1,14,10,70.9,0.86,0.85,9.1,25,0.51,69,9,0.05,13,0.02,13,>5,<5,3.5,<10,714,0.09,24,<10,4.5,13,19.7,-
