BATCH NO: 1.1 (PAL01,Wtkg_KG[WGH10],Wtcru_dry_kg_KG[CRU24],Tot. Weight_G[CRU-QA/QC],Pass 2mm_%[CRU-QA/QC],Rmnd 2mm_%[CRU-QA/QC],WT. - Frac Entire_G[CRU-QA/QC],WT. + Frac Entire_G[CRU-QA/QC],Tot. Weight_G[PUL-QA/QC],Pass 75um_%[PUL-QA/QC],Rmnd 75um_%[PUL-QA/QC],WT. - Frac Entire_G[PUL-QA/QC],WT. + Frac Entire_G[PUL-QA/QC],Ag_ppm[ICP40B|LDL:2|UDL:10],Al_pct[ICP40B|LDL:0.01|UDL:15],As_ppm[ICP40B|LDL:3|UDL:10000],Ba_ppm[ICP40B|LDL:1|UDL:10000],Be_ppm[ICP40B|LDL:0.5|UDL:2500],Bi_ppm[ICP40B|LDL:5|UDL:10000],Ca_pct[ICP40B|LDL:0.01|UDL:15],Cd_ppm[ICP40B|LDL:1|UDL:10000],Co_ppm[ICP40B|LDL:1|UDL:10000],Cr_ppm[ICP40B|LDL:1|UDL:10000],Cu_ppm[ICP40B|LDL:0.5|UDL:10000],Fe_pct[ICP40B|LDL:0.01|UDL:15],K_pct[ICP40B|LDL:0.01|UDL:15],La_ppm[ICP40B|LDL:0.5|UDL:10000],Li_ppm[ICP40B|LDL:1|UDL:10000],Mg_pct[ICP40B|LDL:0.01|UDL:15],Mn_ppm[ICP40B|LDL:2|UDL:10000],Mo_ppm[ICP40B|LDL:1|UDL:10000],Na_pct[ICP40B|LDL:0.01|UDL:15],Ni_ppm[ICP40B|LDL:1|UDL:10000],P_pct[ICP40B|LDL:0.01|UDL:15],Pb_ppm[ICP40B|LDL:2|UDL:10000],S_pct[ICP40B|LDL:0.01|UDL:5],Sb_ppm[ICP40B|LDL:5|UDL:10000],Sc_ppm[ICP40B|LDL:0.5|UDL:10000],Sn_ppm[ICP40B|LDL:10|UDL:10000],Sr_ppm[ICP40B|LDL:0.5|UDL:5000],Ti_pct[ICP40B|LDL:0.01|UDL:15],V_ppm[ICP40B|LDL:2|UDL:10000],W_ppm[ICP40B|LDL:10|UDL:10000],Y_ppm[ICP40B|LDL:0.5|UDL:10000],Zn_ppm[ICP40B|LDL:1|UDL:10000],Zr_ppm[ICP40B|LDL:0.5|UDL:10000],Ag_ppm[AAS42S|LDL:5|UDL:500],Cu_pct[AAS42S|LDL:0.001|UDL:50]
PAL01493,1.70,1.70,-,-,-,-,-,-,-,-,-,-,<2,0.51,<3,19,<0.5,<5,>15,<1,<1,2,3.4,0.44,0.17,3.0,11,11.0,587,<1,0.05,2,<0.01,11,0.03,<5,<0.5,<10,31.8,<0.01,<2,<10,2.7,40,10.3,-,-
PAL01494,3.62,3.62,-,-,-,-,-,-,-,-,-,-,<2,4.22,8,200,1.2,<5,6.30,<1,4,26,6.2,1.65,1.77,13.1,35,0.32,1228,1,0.79,17,0.04,24,0.01,<5,4.5,<10,127,0.13,28,<10,13.4,27,41.6,-,-
PAL01495,3.31,3.31,-,-,-,-,-,-,-,-,-,-,<2,5.55,14,243,1.9,<5,4.23,<1,6,32,5.5,2.53,2.51,20.5,37,0.44,1508,1,0.81,25,0.04,22,0.02,<5,5.9,<10,123,0.17,45,<10,18.6,21,51.8,-,-
PAL01496,3.30,3.30,-,-,-,-,-,-,-,-,-,-,<2,4.58,14,258,1.3,<5,3.52,<1,6,31,5.4,2.06,1.97,19.2,38,0.34,1055,<1,0.80,20,0.04,12,0.02,<5,4.8,<10,119,0.15,36,<10,12.9,18,46.8,-,-
PAL01497,3.05,3.05,-,-,-,-,-,-,-,-,-,-,<2,4.69,16,252,1.4,<5,4.86,<1,9,30,6.3,2.13,2.01,21.5,38,0.35,1326,<1,0.82,31,0.04,13,0.02,5,5.4,<10,126,0.17,37,<10,14.8,21,52.1,-,-
PAL01498,3.35,3.35,-,-,-,-,-,-,-,-,-,-,<2,4.24,9,732,1.1,<5,3.97,<1,5,25,5.5,1.51,1.90,12.8,33,0.38,915,<1,0.83,18,0.04,9,0.03,<5,3.7,<10,220,0.12,27,<10,11.5,17,40.8,-,-
PAL01499,3.44,3.44,-,-,-,-,-,-,-,-,-,-,<2,4.42,14,1402,1.1,<5,4.66,<1,5,28,4.8,1.94,1.83,17.5,35,0.34,1212,<1,0.86,19,0.04,12,0.05,5,4.6,<10,281,0.15,34,<10,14.6,15,48.5,-,-
PAL01500,3.47,3.47,-,-,-,-,-,-,-,-,-,-,<2,4.37,15,3683,1.1,<5,3.52,<1,5,23,6.1,1.65,1.80,17.9,32,0.36,1095,<1,0.86,20,0.04,11,0.12,<5,4.0,<10,675,0.13,30,<10,13.2,15,42.7,-,-
PAL01501,1.90,1.90,-,-,-,-,-,-,-,-,-,-,<2,4.35,12,2278,1.2,<5,6.19,<1,4,28,4.1,1.76,1.37,26.2,33,0.36,2490,<1,0.89,16,0.04,7,0.07,<5,5.3,<10,387,0.15,36,<10,21.4,14,46.4,-,-
PAL01502,1.71,1.71,-,-,-,-,-,-,-,-,-,-,<2,3.99,11,6433,1.3,<5,2.22,<1,8,43,9.8,1.90,1.39,24.3,29,0.64,899,1,0.82,29,0.03,9,0.21,<5,5.1,<10,959,0.16,38,<10,12.9,28,66.7,-,-
PAL01503,-,-,-,-,-,-,-,-,-,-,-,-,>10,1.17,447,5333,<0.5,23,10.6,4,60,1207,3227,4.67,0.43,4.2,21,5.99,1281,<1,0.04,821,0.01,16,0.18,810,11.3,<10,627,0.15,66,<10,<0.5,340,12.2,19,-
PAL01504,1.50,1.50,-,-,-,-,-,-,-,-,-,-,<2,4.07,12,5808,1.3,<5,2.19,<1,8,43,7.9,2.60,1.28,28.1,31,0.89,959,1,0.88,28,0.03,10,0.18,<5,5.9,<10,834,0.14,40,<10,12.7,39,52.4,-,-
PAL01505,2.50,2.50,-,-,-,-,-,-,-,-,-,-,<2,9.60,15,1012,2.6,<5,1.27,<1,14,97,7.7,4.32,3.38,28.9,63,0.91,826,2,0.48,52,0.06,15,0.04,9,15.3,<10,233,0.42,120,<10,14.4,73,101,-,-
PAL01506,2.44,2.44,-,-,-,-,-,-,-,-,-,-,<2,10.5,10,832,2.5,<5,0.95,<1,13,119,7.2,4.27,3.96,31.4,60,0.95,587,2,0.34,49,0.07,17,0.02,13,16.7,<10,121,0.47,136,<10,11.1,62,102,-,-
PAL01507,2.69,2.69,-,-,-,-,-,-,-,-,-,-,<2,7.60,5,699,1.7,<5,1.78,<1,17,135,6.6,4.20,2.20,23.8,53,1.30,679,2,1.35,63,0.06,13,0.02,12,14.1,<10,149,0.45,115,<10,9.2,79,81.8,-,-
PAL01508,1.05,1.05,-,-,-,-,-,-,-,-,-,-,<2,8.45,8,539,1.8,<5,1.19,<1,12,127,3.3,3.47,2.64,20.3,56,0.98,505,1,1.31,44,0.07,9,0.01,8,15.7,<10,102,0.47,124,<10,10.7,62,89.1,-,-
PAL01509,1.63,1.63,500.0,76.60,23.40,383.0,117.0,20.0,88.00,12.00,17.6,2.4,<2,8.42,5,409,1.5,<5,2.38,<1,13,114,14.2,3.84,1.89,17.6,56,1.26,670,<1,2.32,55,0.07,13,0.01,9,13.9,<10,147,0.45,110,<10,9.6,63,78.7,-,-
PAL01510,3.52,3.52,-,-,-,-,-,-,-,-,-,-,<2,7.14,<3,361,1.2,<5,5.01,<1,15,112,6.9,4.00,1.10,18.5,53,1.94,1033,1,2.49,55,0.06,9,0.03,8,15.5,<10,237,0.38,96,<10,16.3,66,69.5,-,-
PAL01511,1.63,1.63,-,-,-,-,-,-,-,-,-,-,<2,7.25,3,862,1.5,<5,1.91,<1,15,147,5.3,4.01,1.51,29.8,67,1.47,662,1,2.96,63,0.07,6,0.03,10,14.4,<10,248,0.53,128,<10,10.3,68,85.0,-,-
PAL01512,2.32,2.32,-,-,-,-,-,-,-,-,-,-,<2,7.75,6,601,1.6,<5,1.48,<1,13,125,4.6,3.99,1.73,27.3,62,1.47,603,<1,2.17,61,0.07,12,0.02,8,14.5,<10,178,0.45,114,<10,9.0,68,72.9,-,-
PAL01513,0.00,0.00,-,-,-,-,-,-,-,-,-,-,<2,7.66,7,595,1.6,<5,1.45,<1,12,126,4.0,3.95,1.73,27.5,62,1.45,595,1,2.16,63,0.07,4,0.01,9,14.4,<10,170,0.45,119,<10,9.0,68,73.9,-,-
PAL01514,3.56,3.56,-,-,-,-,-,-,-,-,-,-,<2,7.26,13,674,1.6,<5,1.95,<1,13,104,6.4,3.76,1.97,18.8,59,1.45,510,<1,1.58,63,0.07,6,0.02,7,14.0,<10,219,0.44,106,<10,7.9,67,70.1,-,-
*DUP-PAL01514,0.00,0.00,-,-,-,-,-,-,-,-,-,-,<2,7.28,14,692,1.6,<5,1.99,<1,13,116,6.6,3.74,1.95,19.2,58,1.46,510,<1,1.58,62,0.06,9,0.02,10,14.0,<10,241,0.43,103,<10,7.6,66,62.7,-,-
PAL01515,2.86,2.86,-,-,-,-,-,-,-,-,-,-,<2,7.63,7,3795,1.6,<5,2.26,<1,17,110,7.8,4.12,1.59,28.7,59,1.78,668,<1,2.35,63,0.07,11,0.14,8,16.0,<10,1354,0.43,103,<10,10.1,77,64.1,-,-
PAL01516,3.14,3.14,-,-,-,-,-,-,-,-,-,-,<2,8.00,6,688,1.8,<5,1.23,<1,18,125,5.1,4.21,2.78,26.0,55,1.60,598,<1,1.67,67,0.07,6,<0.01,9,14.7,<10,129,0.49,122,<10,7.8,77,79.3,-,-
PAL01517,3.56,3.56,-,-,-,-,-,-,-,-,-,-,<2,7.39,8,590,1.6,<5,1.94,<1,15,104,10.8,3.93,2.29,26.6,50,1.43,552,<1,1.65,56,0.07,13,0.01,8,13.6,<10,165,0.40,103,<10,9.3,65,54.3,-,-
PAL01518,3.37,3.37,-,-,-,-,-,-,-,-,-,-,<2,6.69,6,452,1.5,<5,1.67,<1,14,105,9.0,3.48,1.85,23.3,51,1.42,542,<1,2.13,49,0.06,12,0.01,6,12.7,<10,134,0.42,92,<10,8.2,61,61.3,-,-
PAL01519,3.47,3.47,-,-,-,-,-,-,-,-,-,-,<2,7.04,8,440,1.5,<5,2.32,<1,15,112,8.4,3.59,1.81,26.1,50,1.46,544,<1,2.28,54,0.06,14,0.01,7,12.9,<10,204,0.44,96,<10,8.9,62,69.7,-,-
PAL01520,3.88,3.88,-,-,-,-,-,-,-,-,-,-,<2,6.78,7,478,1.4,<5,1.79,<1,14,116,8.1,3.30,1.75,22.8,47,1.41,475,1,2.04,53,0.06,15,<0.01,8,12.3,<10,166,0.41,90,<10,8.2,60,66.1,-,-
PAL01521,3.06,3.06,-,-,-,-,-,-,-,-,-,-,<2,7.93,6,601,1.7,<5,1.82,<1,16,119,9.2,4.01,2.27,25.4,49,1.62,547,1,2.05,57,0.07,7,<0.01,9,14.9,<10,189,0.49,119,<10,8.5,68,82.0,-,-
PAL01522,3.41,3.41,-,-,-,-,-,-,-,-,-,-,<2,7.40,21,508,1.5,<5,2.38,<1,15,95,12.3,3.49,2.06,25.9,49,1.46,519,1,1.90,63,0.07,7,<0.01,7,13.3,<10,192,0.42,99,<10,8.8,61,67.9,-,-
PAL01523,1.67,1.67,-,-,-,-,-,-,-,-,-,-,<2,0.61,<3,19,<0.5,<5,>15,<1,<1,2,1.9,0.45,0.21,3.4,11,11.5,589,<1,0.05,1,<0.01,13,0.03,<5,0.6,<10,30.2,0.01,<2,<10,2.9,59,10.6,-,-
PAL01524,3.23,3.23,-,-,-,-,-,-,-,-,-,-,<2,6.76,8,500,1.4,<5,1.68,<1,12,92,9.5,3.15,1.78,22.4,42,1.35,504,<1,2.10,50,0.06,8,<0.01,8,11.7,<10,148,0.38,78,<10,7.8,55,56.4,-,-
PAL01525,3.59,3.59,-,-,-,-,-,-,-,-,-,-,<2,7.47,14,500,1.4,<5,2.29,<1,15,97,10.3,3.50,1.95,24.6,48,1.49,542,<1,2.14,61,0.07,6,<0.01,6,13.5,<10,196,0.43,95,<10,8.6,62,66.1,-,-
PAL01526,3.57,3.57,-,-,-,-,-,-,-,-,-,-,<2,7.54,8,539,1.5,<5,1.29,<1,14,109,10.8,3.55,2.06,23.5,48,1.53,502,<1,2.06,56,0.07,10,<0.01,10,13.3,<10,157,0.44,98,<10,7.5,64,69.8,-,-
PAL01527,3.45,3.45,-,-,-,-,-,-,-,-,-,-,<2,8.01,9,580,1.6,<5,1.22,<1,16,117,10.9,3.95,2.17,27.1,52,1.65,553,<1,2.18,62,0.07,7,<0.01,8,14.2,<10,150,0.47,108,<10,8.1,68,71.6,-,-
PAL01528,3.21,3.21,-,-,-,-,-,-,-,-,-,-,<2,6.87,9,370,1.3,<5,1.75,<1,15,98,13.2,3.33,1.63,21.8,54,1.44,589,<1,2.12,63,0.06,5,<0.01,8,11.1,<10,217,0.41,80,<10,7.2,59,64.5,-,-
PAL01529,3.34,3.34,500.0,77.20,22.80,386.0,114.0,20.0,87.00,13.00,17.4,2.6,<2,7.23,8,560,1.5,<5,1.55,<1,16,96,12.0,3.60,2.21,23.9,52,1.51,489,<1,1.86,58,0.07,7,<0.01,6,13.0,<10,157,0.43,99,<10,7.7,64,67.1,-,-
PAL01530,3.39,3.39,-,-,-,-,-,-,-,-,-,-,<2,6.77,9,494,1.4,<5,1.55,<1,14,96,13.2,3.36,1.87,25.0,48,1.44,500,<1,1.91,52,0.06,9,0.01,5,12.7,<10,128,0.40,85,<10,8.6,60,63.1,-,-
PAL01531,2.91,2.91,-,-,-,-,-,-,-,-,-,-,<2,7.05,9,551,1.4,<5,1.45,<1,14,122,11.9,3.50,2.03,25.0,43,1.43,506,<1,1.92,51,0.07,19,<0.01,8,13.2,<10,145,0.42,94,<10,7.9,73,65.7,-,-
PAL01532,3.55,3.55,-,-,-,-,-,-,-,-,-,-,<2,8.50,10,1831,1.9,<5,1.69,<1,18,122,18.5,4.54,2.69,28.7,55,1.79,600,<1,2.01,68,0.07,42,0.04,11,16.0,<10,178,0.49,122,<10,9.3,98,80.6,-,-
PAL01533,-,-,-,-,-,-,-,-,-,-,-,-,>10,5.16,171,16,1.0,<5,0.39,12,3,33,>10000,2.42,4.61,1.0,9,0.21,160,198,1.30,18,0.05,1414,1.26,<5,2.2,<10,32.3,0.07,16,<10,<0.5,2523,15.6,16,2.10
PAL01534,2.73,2.73,-,-,-,-,-,-,-,-,-,-,<2,7.40,8,544,1.5,<5,1.02,<1,15,106,17.5,3.57,2.08,24.9,47,1.47,461,<1,2.03,56,0.07,10,<0.01,6,12.5,<10,119,0.43,101,<10,7.2,63,69.6,-,-
PAL01535,3.70,3.70,-,-,-,-,-,-,-,-,-,-,<2,7.41,11,447,1.5,<5,2.73,<1,17,108,21.4,3.73,1.73,26.9,60,1.60,614,<1,2.15,62,0.07,7,<0.01,9,13.7,<10,190,0.43,94,<10,11.6,66,65.1,-,-
PAL01536,3.34,3.34,-,-,-,-,-,-,-,-,-,-,<2,9.34,11,723,2.0,<5,1.72,<1,20,143,14.8,5.00,3.18,30.7,63,1.82,738,<1,1.95,72,0.08,12,0.01,12,20.8,<10,156,0.54,142,<10,11.4,81,83.9,-,-
PAL01537,3.52,3.52,-,-,-,-,-,-,-,-,-,-,<2,6.89,7,386,1.4,<5,1.05,<1,17,97,15.2,3.65,1.71,18.8,57,1.55,539,<1,1.84,70,0.06,8,<0.01,6,12.4,<10,138,0.40,93,<10,5.9,65,59.7,-,-
PAL01538,2.89,2.89,-,-,-,-,-,-,-,-,-,-,<2,7.59,9,414,1.4,<5,1.54,<1,16,119,17.2,4.03,1.76,21.6,62,1.70,610,<1,2.14,71,0.07,12,<0.01,9,14.7,<10,171,0.43,106,<10,7.5,71,63.3,-,-
PAL01539,2.60,2.60,-,-,-,-,-,-,-,-,-,-,<2,8.30,9,572,1.6,<5,0.98,<1,19,129,17.5,4.65,2.42,26.1,62,1.82,575,<1,1.85,82,0.07,13,0.01,8,15.8,<10,165,0.45,119,<10,10.7,81,73.6,-,-
PAL01540,1.31,1.31,-,-,-,-,-,-,-,-,-,-,<2,9.86,13,850,2.3,<5,0.24,<1,15,98,7.2,4.45,4.61,35.7,48,1.53,476,<1,0.78,44,0.06,9,0.01,9,17.3,<10,143,0.48,141,<10,10.5,74,86.8,-,-
PAL01541,2.86,2.86,-,-,-,-,-,-,-,-,-,-,<2,6.95,10,660,1.5,<5,0.81,<1,14,109,7.2,3.70,2.95,26.7,46,1.31,520,2,1.02,44,0.06,11,0.03,6,13.2,<10,445,0.40,103,<10,9.9,64,67.6,-,-
*DUP-PAL01541,0.00,0.00,-,-,-,-,-,-,-,-,-,-,<2,7.21,10,661,1.6,<5,0.81,<1,14,116,7.5,3.80,2.99,26.1,45,1.30,525,2,0.99,46,0.06,10,0.03,7,13.4,<10,477,0.40,110,<10,9.7,63,65.8,-,-
PAL01542,1.16,1.16,-,-,-,-,-,-,-,-,-,-,<2,0.38,<3,74,<0.5,<5,>15,<1,2,4,4.2,0.24,0.16,2.3,20,2.10,283,2,0.05,5,<0.01,85,0.02,<5,0.5,<10,1564,0.01,4,<10,0.9,120,5.1,-,-
PAL01543,2.18,2.18,-,-,-,-,-,-,-,-,-,-,<2,2.69,4,183,0.9,<5,>15,<1,5,17,21.3,1.31,1.10,11.3,39,6.46,6534,<1,0.23,22,0.03,366,3.09,<5,3.5,<10,486,0.11,31,<10,6.2,83,34.5,-,-
PAL01544,0.00,0.00,-,-,-,-,-,-,-,-,-,-,<2,2.72,5,177,0.9,<5,>15,<1,6,23,22.7,1.31,1.08,11.6,39,6.45,6474,<1,0.23,21,0.03,384,3.05,<5,3.5,<10,485,0.10,30,<10,6.2,82,32.8,-,-
PAL01545,2.21,2.21,-,-,-,-,-,-,-,-,-,-,<2,3.26,3,281,1.0,<5,14.8,<1,5,33,36.2,1.28,1.27,14.9,42,5.66,5472,<1,0.31,20,0.03,166,3.83,<5,4.2,<10,694,0.13,32,<10,7.2,50,44.0,-,-
PAL01546,1.68,1.68,-,-,-,-,-,-,-,-,-,-,<2,3.90,7,475,1.3,<5,12.8,<1,5,38,39.1,1.57,1.49,18.1,45,6.11,6348,<1,0.39,23,0.03,107,1.58,<5,5.2,<10,523,0.16,37,<10,8.5,49,50.9,-,-
PAL01547,1.58,1.58,-,-,-,-,-,-,-,-,-,-,<2,4.55,9,461,1.6,<5,11.3,<1,7,29,48.6,1.72,1.80,20.4,50,5.83,4455,<1,0.39,27,0.04,185,0.77,<5,6.1,<10,370,0.19,47,<10,10.3,56,57.9,-,-
PAL01548,1.03,1.03,-,-,-,-,-,-,-,-,-,-,<2,6.48,9,442,2.3,<5,7.20,<1,11,43,70.7,2.18,2.45,27.5,64,3.67,2849,<1,0.53,52,0.05,269,0.79,9,8.7,<10,397,0.25,58,<10,12.9,81,87.1,-,-
PAL01549,0.48,0.48,500.0,77.40,22.60,387.0,113.0,20.0,87.00,13.00,17.4,2.6,<2,6.65,9,431,2.3,<5,5.70,<1,9,44,103,2.12,2.47,30.0,64,2.78,1896,<1,0.62,39,0.05,274,0.86,7,8.9,<10,351,0.27,57,<10,13.2,87,95.6,-,-
PAL01550,0.45,0.45,-,-,-,-,-,-,-,-,-,-,<2,7.01,7,510,2.2,<5,4.88,<1,7,40,224,1.58,2.51,32.4,66,2.55,1572,<1,0.68,29,0.05,73,0.30,5,9.4,<10,354,0.28,58,<10,13.7,45,99.9,-,-
PAL01551,0.43,0.43,-,-,-,-,-,-,-,-,-,-,<2,7.14,8,526,2.3,<5,5.67,<1,9,47,104,1.85,2.66,32.1,69,2.95,1950,<1,0.68,33,0.06,87,0.34,<5,9.6,<10,370,0.31,65,<10,14.5,45,109,-,-
PAL01552,0.38,0.38,-,-,-,-,-,-,-,-,-,-,<2,6.87,10,864,2.1,<5,5.33,<1,9,42,219,1.98,2.46,32.3,67,2.78,2493,<1,0.72,31,0.05,59,0.95,5,9.1,<10,502,0.30,59,<10,14.2,31,104,-,-
PAL01553,0.60,0.60,-,-,-,-,-,-,-,-,-,-,<2,5.57,9,213,1.8,<5,8.63,<1,11,40,312,1.98,2.07,25.0,58,3.62,2961,<1,0.54,28,0.05,64,2.57,<5,7.5,<10,619,0.22,56,<10,11.8,30,77.8,-,-
PAL01554,1.42,1.42,-,-,-,-,-,-,-,-,-,-,<2,0.44,<3,15,<0.5,<5,>15,<1,<1,2,2.2,0.41,0.16,2.8,12,10.9,573,<1,0.03,<1,<0.01,6,0.02,<5,<0.5,<10,28.1,<0.01,<2,<10,2.7,48,8.7,-,-
PAL01555,0.55,0.55,-,-,-,-,-,-,-,-,-,-,<2,4.40,11,253,1.4,<5,12.4,<1,13,34,596,1.73,1.68,19.5,49,4.35,5101,<1,0.37,25,0.04,58,4.08,<5,5.8,<10,940,0.17,50,<10,10.2,18,59.9,-,-
PAL01556,0.28,0.28,-,-,-,-,-,-,-,-,-,-,3,6.64,20,497,2.2,<5,8.43,<1,26,121,2139,2.41,2.45,28.2,71,3.55,3406,6,0.54,79,0.05,138,2.74,6,9.3,<10,447,0.28,176,<10,13.3,43,93.2,-,-
PAL01557,-,-,-,-,-,-,-,-,-,-,-,-,>10,5.21,169,16,1.0,<5,0.37,12,3,32,>10000,2.32,4.61,1.0,9,0.21,158,190,1.36,18,0.05,1414,1.26,<5,2.2,<10,32.6,0.07,16,<10,<0.5,2523,15.6,16,2.12
PAL01558,0.41,0.41,-,-,-,-,-,-,-,-,-,-,>10,5.16,24,190,1.8,<5,9.05,30,106,182,>10000,2.82,1.97,22.9,63,4.48,2572,148,0.37,153,0.05,4419,2.49,8,7.6,<10,269,0.21,677,<10,12.9,2400,73.3,33,2.10
PAL01559,0.51,0.51,-,-,-,-,-,-,-,-,-,-,>10,3.20,47,487,0.6,<5,7.22,3,48,26,>10000,1.35,0.71,6.3,154,1.56,1534,20,0.75,24,0.02,172,3.50,<5,1.4,<10,459,0.04,103,<10,15.6,137,27.2,21,1.53
PAL01560,0.30,0.30,-,-,-,-,-,-,-,-,-,-,>10,4.30,54,333,1.2,<5,1.45,<1,39,48,>10000,1.61,1.47,11.2,53,0.76,595,3,1.23,23,0.03,143,1.42,<5,6.4,<10,111,0.22,66,<10,7.3,18,58.5,10,1.48
PAL01561,0.57,0.57,-,-,-,-,-,-,-,-,-,-,8,4.43,37,185,0.7,<5,2.61,35,29,43,>10000,1.73,1.06,10.2,61,1.24,1257,7,1.10,22,0.04,1615,1.10,6,7.1,<10,118,0.19,69,<10,8.5,759,43.9,-,1.06
