BATCH NO: 1.1 (PAL01,Wtkg_KG[WGH10],Wtcru_dry_kg_KG[CRU24],Tot. Weight_G[CRU-QA/QC],Pass 2mm_%[CRU-QA/QC],Rmnd 2mm_%[CRU-QA/QC],WT. - Frac Entire_G[CRU-QA/QC],WT. + Frac Entire_G[CRU-QA/QC],Tot. Weight_G[PUL-QA/QC],Pass 75um_%[PUL-QA/QC],Rmnd 75um_%[PUL-QA/QC],WT. - Frac Entire_G[PUL-QA/QC],WT. + Frac Entire_G[PUL-QA/QC],Ag_ppm[ICP40B|LDL:2|UDL:10],Al_pct[ICP40B|LDL:0.01|UDL:15],As_ppm[ICP40B|LDL:3|UDL:10000],Ba_ppm[ICP40B|LDL:1|UDL:10000],Be_ppm[ICP40B|LDL:0.5|UDL:2500],Bi_ppm[ICP40B|LDL:5|UDL:10000],Ca_pct[ICP40B|LDL:0.01|UDL:15],Cd_ppm[ICP40B|LDL:1|UDL:10000],Co_ppm[ICP40B|LDL:1|UDL:10000],Cr_ppm[ICP40B|LDL:1|UDL:10000],Cu_ppm[ICP40B|LDL:0.5|UDL:10000],Fe_pct[ICP40B|LDL:0.01|UDL:15],K_pct[ICP40B|LDL:0.01|UDL:15],La_ppm[ICP40B|LDL:0.5|UDL:10000],Li_ppm[ICP40B|LDL:1|UDL:10000],Mg_pct[ICP40B|LDL:0.01|UDL:15],Mn_ppm[ICP40B|LDL:2|UDL:10000],Mo_ppm[ICP40B|LDL:1|UDL:10000],Na_pct[ICP40B|LDL:0.01|UDL:15],Ni_ppm[ICP40B|LDL:1|UDL:10000],P_pct[ICP40B|LDL:0.01|UDL:15],Pb_ppm[ICP40B|LDL:2|UDL:10000],S_pct[ICP40B|LDL:0.01|UDL:5],Sb_ppm[ICP40B|LDL:5|UDL:10000],Sc_ppm[ICP40B|LDL:0.5|UDL:10000],Sn_ppm[ICP40B|LDL:10|UDL:10000],Sr_ppm[ICP40B|LDL:0.5|UDL:5000],Ti_pct[ICP40B|LDL:0.01|UDL:15],V_ppm[ICP40B|LDL:2|UDL:10000],W_ppm[ICP40B|LDL:10|UDL:10000],Y_ppm[ICP40B|LDL:0.5|UDL:10000],Zn_ppm[ICP40B|LDL:1|UDL:10000],Zr_ppm[ICP40B|LDL:0.5|UDL:10000],Ag_ppm[AAS42S|LDL:5|UDL:500],Cu_pct[AAS42S|LDL:0.001|UDL:50]
PAL01484,1.84,1.84,-,-,-,-,-,-,-,-,-,-,<2,4.00,4,1296,0.9,<5,7.13,<1,3,29,8.1,0.92,2.16,14.0,42,0.30,1365,1,0.66,11,0.03,171,0.07,<5,2.3,<10,374,0.06,15,<10,14.3,16,44.6,-,-
PAL01485,1.17,1.17,-,-,-,-,-,-,-,-,-,-,<2,4.45,9,1465,1.2,<5,6.07,<1,3,24,9.3,1.31,2.89,13.7,39,0.21,1151,2,0.77,12,0.03,15,0.07,<5,2.0,<10,442,0.06,12,<10,14.8,16,53.7,-,-
PAL01486,1.91,1.91,-,-,-,-,-,-,-,-,-,-,<2,4.33,7,842,1.0,<5,5.50,<1,3,31,5.0,1.47,1.75,13.9,36,0.29,1542,<1,1.00,15,0.04,16,0.04,<5,4.0,<10,212,0.13,28,<10,15.0,15,38.9,-,-
PAL01487,3.46,3.46,-,-,-,-,-,-,-,-,-,-,<2,4.14,6,2037,1.0,<5,2.61,<1,5,28,4.4,1.79,1.66,9.9,45,0.72,890,<1,0.90,21,0.03,16,0.09,<5,4.0,<10,817,0.13,27,<10,9.4,30,35.1,-,-
*DUP-PAL01487,0.00,0.00,-,-,-,-,-,-,-,-,-,-,<2,3.93,7,2011,1.0,<5,2.49,<1,5,31,4.7,1.80,1.63,9.8,44,0.70,888,1,0.90,21,0.03,17,0.09,<5,3.9,<10,764,0.13,28,<10,9.2,29,34.7,-,-
PAL01488,3.30,3.30,-,-,-,-,-,-,-,-,-,-,<2,4.78,7,705,1.2,<5,1.50,<1,5,22,4.1,1.93,2.20,9.9,43,0.58,531,<1,0.78,23,0.04,23,0.03,<5,3.0,<10,155,0.11,24,<10,7.8,28,41.0,-,-
PAL01489,3.28,3.28,500.0,76.20,23.80,381.0,119.0,20.0,87.50,12.50,17.5,2.5,<2,4.42,5,336,1.1,<5,4.37,<1,4,21,4.5,1.37,1.92,12.4,35,0.33,977,<1,0.89,17,0.04,41,0.01,<5,4.0,<10,123,0.11,23,<10,11.8,15,36.0,-,-
PAL01490,2.85,2.85,-,-,-,-,-,-,-,-,-,-,<2,4.27,6,285,1.2,<5,2.93,<1,4,21,4.1,1.57,1.99,10.6,33,0.29,871,<1,0.85,16,0.04,30,0.01,<5,3.6,<10,89.9,0.11,22,<10,11.5,15,36.7,-,-
PAL01491,2.50,2.50,-,-,-,-,-,-,-,-,-,-,<2,4.52,8,275,1.5,<5,3.72,<1,4,25,4.5,1.61,2.02,14.1,37,0.32,918,<1,0.72,16,0.04,221,0.02,<5,4.3,<10,110,0.13,33,<10,11.9,17,45.3,-,-
PAL01492,3.13,3.13,-,-,-,-,-,-,-,-,-,-,<2,3.90,5,740,1.1,<5,3.87,<1,8,21,7.3,1.74,1.84,9.7,35,0.73,1131,<1,0.74,27,0.03,48,0.04,<5,3.1,<10,308,0.09,20,<10,10.4,42,33.8,-,-
