PROJECTCOD,CertificateNo,Received,Reported,HOLEID,SAMPLEID,SAMPLETYPE,SapSubType,Point_Type,Dsptch_L_D,SmpDspDate,SmpRetDate,Lab_L_D,Labjobno,AnalysisLD,SampWt_g_D,Wtkg,Wtcru_dry_kg,Tot_Weight_CRU,Pass_2mm_pct,Rmnd_2mm_pct,WT_MinusFrac_CRU_g,WT_PlusFrac_CRU_g,Tot_Weight_PUL_g,Pass_75um_pct,Rmnd_75um_pct,WT_MinusFrac_PUL_g,WT_PlusFrac_PUL_g,Ag_ppm,Ag_ppm_GMD,Ag_ppm_LDD,Ag_ppm_UDD,Al_pct,Al_pct_GMD,Al_pct_LDD,Al_pct_UDD,As_ppm,As_ppm_GMD,As_ppm_LDD,As_ppm_UDD,Ba_ppm,Ba_ppm_GMD,Ba_ppm_LDD,Ba_ppm_UDD,Be_ppm,Be_ppm_GMD,Be_ppm_LDD,Be_ppm_UDD,Bi_ppm,Bi_ppm_GMD,Bi_ppm_LDD,Bi_ppm_UDD,Ca_pct,Ca_pct_GMD,Ca_pct_LDD,Ca_pct_UDD,Cd_ppm,Cd_ppm_GMD,Cd_ppm_LDD,Cd_ppm_UDD,Co_ppm,Co_ppm_GMD,Co_ppm_LDD,Co_ppm_UDD,Cr_ppm,Cr_ppm_GMD,Cr_ppm_LDD,Cr_ppm_UDD,Cu_ppm,Cu_ppm_GMD,Cu_ppm_LDD,Cu_ppm_UDD,Fe_pct,Fe_pct_GMD,Fe_pct_LDD,Fe_pct_UDD,K_pct,K_pct_GMD,K_pct_LDD,K_pct_UDD,La_ppm,La_ppm_GMD,La_ppm_LDD,La_ppm_UDD,Li_ppm,Li_ppm_GMD,Li_ppm_LDD,Li_ppm_UDD,Mg_pct,Mg_pct_GMD,Mg_pct_LDD,Mg_pct_UDD,Mn_ppm,Mn_ppm_GMD,Mn_ppm_LDD,Mn_ppm_UDD,Mo_ppm,Mo_ppm_GMD,Mo_ppm_LDD,Mo_ppm_UDD,Na_pct,Na_pct_GMD,Na_pct_LDD,Na_pct_UDD,Ni_ppm,Ni_ppm_GMD,Ni_ppm_LDD,Ni_ppm_UDD,P_pct,P_pct_GMD,P_pct_LDD,P_pct_UDD,Pb_ppm,Pb_ppm_GMD,Pb_ppm_LDD,Pb_ppm_UDD,S_pct,S_pct_GMD,S_pct_LDD,S_pct_UDD,Sb_ppm,Sb_ppm_GMD,Sb_ppm_LDD,Sb_ppm_UDD,Sc_ppm,Sc_ppm_GMD,Sc_ppm_LDD,Sc_ppm_UDD,Sn_ppm,Sn_ppm_GMD,Sn_ppm_LDD,Sn_ppm_UDD,Sr_ppm,Sr_ppm_GMD,Sr_ppm_LDD,Sr_ppm_UDD,Ti_pct,Ti_pct_GMD,Ti_pct_LDD,Ti_pct_UDD,V_ppm,V_ppm_GMD,V_ppm_LDD,V_ppm_UDD,W_ppm,W_ppm_GMD,W_ppm_LDD,W_ppm_UDD,Y_ppm,Y_ppm_GMD,Y_ppm_LDD,Y_ppm_UDD,Zn_ppm,Zn_ppm_GMD,Zn_ppm_LDD,Zn_ppm_UDD,Zr_ppm,Zr_ppm_GMD,Zr_ppm_LDD,Zr_ppm_UDD,Ag_ppm_AAS42S,Ag_ppm_AAS42S_GMD,Ag_ppm_AAS42S_LDD,Ag_ppm_AAS42S_UDD,Cu_pct,Cu_pct_GMD,Cu_pct_LDD,Cu_pct_UDD,Zn_pct,Zn_pct_GMD,Zn_pct_LDD,Zn_pct_UDD,SampleID_orig,Wtkg_KG[WGH10],Wtcru_dry_kg_KG[CRU24],Tot. Weight_G[CRU-QA/QC],Pass 2mm_%[CRU-QA/QC],Rmnd 2mm_%[CRU-QA/QC],WT. - Frac Entire_G[CRU-QA/QC],WT. + Frac Entire_G[CRU-QA/QC],Tot. Weight_G[PUL-QA/QC],Pass 75um_%[PUL-QA/QC],Rmnd 75um_%[PUL-QA/QC],WT. - Frac Entire_G[PUL-QA/QC],WT. + Frac Entire_G[PUL-QA/QC],Ag_ppm[ICP40B|LDL:2|UDL:10],Al_pct[ICP40B|LDL:0.01|UDL:15],As_ppm[ICP40B|LDL:3|UDL:10000],Ba_ppm[ICP40B|LDL:1|UDL:10000],Be_ppm[ICP40B|LDL:0.5|UDL:2500],Bi_ppm[ICP40B|LDL:5|UDL:10000],Ca_pct[ICP40B|LDL:0.01|UDL:15],Cd_ppm[ICP40B|LDL:1|UDL:10000],Co_ppm[ICP40B|LDL:1|UDL:10000],Cr_ppm[ICP40B|LDL:1|UDL:10000],Cu_ppm[ICP40B|LDL:0.5|UDL:10000],Fe_pct[ICP40B|LDL:0.01|UDL:15],K_pct[ICP40B|LDL:0.01|UDL:15],La_ppm[ICP40B|LDL:0.5|UDL:10000],Li_ppm[ICP40B|LDL:1|UDL:10000],Mg_pct[ICP40B|LDL:0.01|UDL:15],Mn_ppm[ICP40B|LDL:2|UDL:10000],Mo_ppm[ICP40B|LDL:1|UDL:10000],Na_pct[ICP40B|LDL:0.01|UDL:15],Ni_ppm[ICP40B|LDL:1|UDL:10000],P_pct[ICP40B|LDL:0.01|UDL:15],Pb_ppm[ICP40B|LDL:2|UDL:10000],S_pct[ICP40B|LDL:0.01|UDL:5],Sb_ppm[ICP40B|LDL:5|UDL:10000],Sc_ppm[ICP40B|LDL:0.5|UDL:10000],Sn_ppm[ICP40B|LDL:10|UDL:10000],Sr_ppm[ICP40B|LDL:0.5|UDL:5000],Ti_pct[ICP40B|LDL:0.01|UDL:15],V_ppm[ICP40B|LDL:2|UDL:10000],W_ppm[ICP40B|LDL:10|UDL:10000],Y_ppm[ICP40B|LDL:0.5|UDL:10000],Zn_ppm[ICP40B|LDL:1|UDL:10000],Zr_ppm[ICP40B|LDL:0.5|UDL:10000],Ag_ppm[AAS42S|LDL:5|UDL:500],Cu_pct[AAS42S|LDL:0.001|UDL:50],Zn_pct[AAS42S|LDL:0.001|UDL:5]
Tannenberg,TR2503150,24-Dec-25,06-Feb-26,,PAL00961,Core,Drill Core,Drillhole,TR2503150     151             384,24-Dec-25,06-Feb-26,TR2503150,TR2503150     151             384,,0.44,0.44,0.44,,,,,,,,,,,<2,ICP40B,2,10,3.01,ICP40B,0.01,15,179,ICP40B,3,10000,395,ICP40B,1,10000,0.7,ICP40B,0.5,2500,<5,ICP40B,5,10000,3.06,ICP40B,0.01,15,<1,ICP40B,1,10000,88,ICP40B,1,10000,11,ICP40B,1,10000,1239,ICP40B,0.5,10000,0.58,ICP40B,0.01,15,1.12,ICP40B,0.01,15,8.4,ICP40B,0.5,10000,146,ICP40B,1,10000,0.54,ICP40B,0.01,15,594,ICP40B,2,10000,11,ICP40B,1,10000,0.71,ICP40B,0.01,15,34,ICP40B,1,10000,0.02,ICP40B,0.01,15,10,ICP40B,2,10000,1.77,ICP40B,0.01,5,5,ICP40B,5,10000,1.2,ICP40B,0.5,10000,<10,ICP40B,10,10000,275,ICP40B,0.5,5000,0.04,ICP40B,0.01,15,32,ICP40B,2,10000,<10,ICP40B,10,10000,4.1,ICP40B,0.5,10000,31,ICP40B,1,10000,18.8,ICP40B,0.5,10000,,AAS42S,5,500,,AAS42S,0.001,50,,AAS42S,0.001,5,PAL00961,0.44,0.44,-,-,-,-,-,-,-,-,-,-,<2,3.01,179,395,0.7,<5,3.06,<1,88,11,1239,0.58,1.12,8.4,146,0.54,594,11,0.71,34,0.02,10,1.77,5,1.2,<10,275,0.04,32,<10,4.1,31,18.8,-,-,-
Tannenberg,TR2503150,24-Dec-25,06-Feb-26,,PAL00962,Core,Drill Core,Drillhole,TR2503150     151             384,24-Dec-25,06-Feb-26,TR2503150,TR2503150     151             384,,0.00,0.00,0.00,,,,,,,,,,,<2,ICP40B,2,10,3.21,ICP40B,0.01,15,197,ICP40B,3,10000,414,ICP40B,1,10000,0.7,ICP40B,0.5,2500,<5,ICP40B,5,10000,3.24,ICP40B,0.01,15,<1,ICP40B,1,10000,92,ICP40B,1,10000,12,ICP40B,1,10000,1295,ICP40B,0.5,10000,0.62,ICP40B,0.01,15,1.18,ICP40B,0.01,15,9.4,ICP40B,0.5,10000,154,ICP40B,1,10000,0.57,ICP40B,0.01,15,630,ICP40B,2,10000,12,ICP40B,1,10000,0.76,ICP40B,0.01,15,36,ICP40B,1,10000,0.03,ICP40B,0.01,15,10,ICP40B,2,10000,1.87,ICP40B,0.01,5,5,ICP40B,5,10000,1.3,ICP40B,0.5,10000,<10,ICP40B,10,10000,285,ICP40B,0.5,5000,0.04,ICP40B,0.01,15,33,ICP40B,2,10000,<10,ICP40B,10,10000,4.3,ICP40B,0.5,10000,33,ICP40B,1,10000,18.3,ICP40B,0.5,10000,,AAS42S,5,500,,AAS42S,0.001,50,,AAS42S,0.001,5,PAL00962,0.00,0.00,-,-,-,-,-,-,-,-,-,-,<2,3.21,197,414,0.7,<5,3.24,<1,92,12,1295,0.62,1.18,9.4,154,0.57,630,12,0.76,36,0.03,10,1.87,5,1.3,<10,285,0.04,33,<10,4.3,33,18.3,-,-,-
Tannenberg,TR2503150,24-Dec-25,06-Feb-26,,PAL00963,Core,Drill Core,Drillhole,TR2503150     151             384,24-Dec-25,06-Feb-26,TR2503150,TR2503150     151             384,,0.39,0.39,0.39,,,,,,,,,,,<2,ICP40B,2,10,2.85,ICP40B,0.01,15,241,ICP40B,3,10000,268,ICP40B,1,10000,0.6,ICP40B,0.5,2500,<5,ICP40B,5,10000,3.30,ICP40B,0.01,15,<1,ICP40B,1,10000,63,ICP40B,1,10000,13,ICP40B,1,10000,1150,ICP40B,0.5,10000,0.85,ICP40B,0.01,15,1.02,ICP40B,0.01,15,9.3,ICP40B,0.5,10000,144,ICP40B,1,10000,0.60,ICP40B,0.01,15,652,ICP40B,2,10000,10,ICP40B,1,10000,0.69,ICP40B,0.01,15,28,ICP40B,1,10000,0.02,ICP40B,0.01,15,8,ICP40B,2,10000,1.85,ICP40B,0.01,5,9,ICP40B,5,10000,1.2,ICP40B,0.5,10000,<10,ICP40B,10,10000,244,ICP40B,0.5,5000,0.04,ICP40B,0.01,15,28,ICP40B,2,10000,<10,ICP40B,10,10000,4.6,ICP40B,0.5,10000,47,ICP40B,1,10000,18.2,ICP40B,0.5,10000,,AAS42S,5,500,,AAS42S,0.001,50,,AAS42S,0.001,5,PAL00963,0.39,0.39,-,-,-,-,-,-,-,-,-,-,<2,2.85,241,268,0.6,<5,3.30,<1,63,13,1150,0.85,1.02,9.3,144,0.60,652,10,0.69,28,0.02,8,1.85,9,1.2,<10,244,0.04,28,<10,4.6,47,18.2,-,-,-
Tannenberg,TR2503150,24-Dec-25,06-Feb-26,,PAL00964,Core,Drill Core,Drillhole,TR2503150     151             384,24-Dec-25,06-Feb-26,TR2503150,TR2503150     151             384,,0.44,0.44,0.44,,,,,,,,,,,<2,ICP40B,2,10,2.29,ICP40B,0.01,15,121,ICP40B,3,10000,174,ICP40B,1,10000,0.5,ICP40B,0.5,2500,<5,ICP40B,5,10000,1.18,ICP40B,0.01,15,<1,ICP40B,1,10000,35,ICP40B,1,10000,9,ICP40B,1,10000,437,ICP40B,0.5,10000,0.74,ICP40B,0.01,15,1.09,ICP40B,0.01,15,5.1,ICP40B,0.5,10000,155,ICP40B,1,10000,0.42,ICP40B,0.01,15,580,ICP40B,2,10000,3,ICP40B,1,10000,0.62,ICP40B,0.01,15,19,ICP40B,1,10000,0.02,ICP40B,0.01,15,6,ICP40B,2,10000,0.51,ICP40B,0.01,5,6,ICP40B,5,10000,1.1,ICP40B,0.5,10000,<10,ICP40B,10,10000,58.9,ICP40B,0.5,5000,0.04,ICP40B,0.01,15,12,ICP40B,2,10000,<10,ICP40B,10,10000,3.9,ICP40B,0.5,10000,24,ICP40B,1,10000,17.2,ICP40B,0.5,10000,,AAS42S,5,500,,AAS42S,0.001,50,,AAS42S,0.001,5,PAL00964,0.44,0.44,-,-,-,-,-,-,-,-,-,-,<2,2.29,121,174,0.5,<5,1.18,<1,35,9,437,0.74,1.09,5.1,155,0.42,580,3,0.62,19,0.02,6,0.51,6,1.1,<10,58.9,0.04,12,<10,3.9,24,17.2,-,-,-
Tannenberg,TR2503150,24-Dec-25,06-Feb-26,,*DUP-PAL00964,Core,Drill Core,Drillhole,TR2503150     151             384,24-Dec-25,06-Feb-26,TR2503150,TR2503150     151             384,,0.00,0.00,0.00,,,,,,,,,,,<2,ICP40B,2,10,2.35,ICP40B,0.01,15,138,ICP40B,3,10000,189,ICP40B,1,10000,0.6,ICP40B,0.5,2500,<5,ICP40B,5,10000,1.25,ICP40B,0.01,15,<1,ICP40B,1,10000,36,ICP40B,1,10000,10,ICP40B,1,10000,444,ICP40B,0.5,10000,0.78,ICP40B,0.01,15,1.13,ICP40B,0.01,15,6.2,ICP40B,0.5,10000,161,ICP40B,1,10000,0.45,ICP40B,0.01,15,599,ICP40B,2,10000,3,ICP40B,1,10000,0.65,ICP40B,0.01,15,19,ICP40B,1,10000,0.03,ICP40B,0.01,15,6,ICP40B,2,10000,0.54,ICP40B,0.01,5,6,ICP40B,5,10000,1.1,ICP40B,0.5,10000,<10,ICP40B,10,10000,57.9,ICP40B,0.5,5000,0.04,ICP40B,0.01,15,14,ICP40B,2,10000,<10,ICP40B,10,10000,4.2,ICP40B,0.5,10000,25,ICP40B,1,10000,18.6,ICP40B,0.5,10000,,AAS42S,5,500,,AAS42S,0.001,50,,AAS42S,0.001,5,*DUP-PAL00964,0.00,0.00,-,-,-,-,-,-,-,-,-,-,<2,2.35,138,189,0.6,<5,1.25,<1,36,10,444,0.78,1.13,6.2,161,0.45,599,3,0.65,19,0.03,6,0.54,6,1.1,<10,57.9,0.04,14,<10,4.2,25,18.6,-,-,-
Tannenberg,TR2503150,24-Dec-25,06-Feb-26,,PAL00965,Core,Drill Core,Drillhole,TR2503150     151             384,24-Dec-25,06-Feb-26,TR2503150,TR2503150     151             384,,0.40,0.40,0.40,,,,,,,,,,,<2,ICP40B,2,10,2.85,ICP40B,0.01,15,86,ICP40B,3,10000,116,ICP40B,1,10000,0.6,ICP40B,0.5,2500,<5,ICP40B,5,10000,3.25,ICP40B,0.01,15,<1,ICP40B,1,10000,16,ICP40B,1,10000,9,ICP40B,1,10000,380,ICP40B,0.5,10000,1.29,ICP40B,0.01,15,1.10,ICP40B,0.01,15,5.7,ICP40B,0.5,10000,154,ICP40B,1,10000,1.45,ICP40B,0.01,15,2297,ICP40B,2,10000,2,ICP40B,1,10000,0.58,ICP40B,0.01,15,17,ICP40B,1,10000,0.02,ICP40B,0.01,15,6,ICP40B,2,10000,0.31,ICP40B,0.01,5,<5,ICP40B,5,10000,1.4,ICP40B,0.5,10000,<10,ICP40B,10,10000,73.6,ICP40B,0.5,5000,0.04,ICP40B,0.01,15,10,ICP40B,2,10000,<10,ICP40B,10,10000,6.2,ICP40B,0.5,10000,16,ICP40B,1,10000,17.4,ICP40B,0.5,10000,,AAS42S,5,500,,AAS42S,0.001,50,,AAS42S,0.001,5,PAL00965,0.40,0.40,-,-,-,-,-,-,-,-,-,-,<2,2.85,86,116,0.6,<5,3.25,<1,16,9,380,1.29,1.10,5.7,154,1.45,2297,2,0.58,17,0.02,6,0.31,<5,1.4,<10,73.6,0.04,10,<10,6.2,16,17.4,-,-,-
Tannenberg,TR2503150,24-Dec-25,06-Feb-26,,PAL00966,Core,Drill Core,Drillhole,TR2503150     151             384,24-Dec-25,06-Feb-26,TR2503150,TR2503150     151             384,,0.40,0.40,0.40,,,,,,,,,,,<2,ICP40B,2,10,3.54,ICP40B,0.01,15,77,ICP40B,3,10000,126,ICP40B,1,10000,0.6,ICP40B,0.5,2500,<5,ICP40B,5,10000,2.71,ICP40B,0.01,15,<1,ICP40B,1,10000,16,ICP40B,1,10000,11,ICP40B,1,10000,616,ICP40B,0.5,10000,1.05,ICP40B,0.01,15,1.08,ICP40B,0.01,15,6.7,ICP40B,0.5,10000,128,ICP40B,1,10000,1.14,ICP40B,0.01,15,2024,ICP40B,2,10000,<1,ICP40B,1,10000,0.55,ICP40B,0.01,15,12,ICP40B,1,10000,0.02,ICP40B,0.01,15,9,ICP40B,2,10000,0.29,ICP40B,0.01,5,<5,ICP40B,5,10000,1.5,ICP40B,0.5,10000,<10,ICP40B,10,10000,65.3,ICP40B,0.5,5000,0.04,ICP40B,0.01,15,10,ICP40B,2,10000,<10,ICP40B,10,10000,7.1,ICP40B,0.5,10000,18,ICP40B,1,10000,20.2,ICP40B,0.5,10000,,AAS42S,5,500,,AAS42S,0.001,50,,AAS42S,0.001,5,PAL00966,0.40,0.40,-,-,-,-,-,-,-,-,-,-,<2,3.54,77,126,0.6,<5,2.71,<1,16,11,616,1.05,1.08,6.7,128,1.14,2024,<1,0.55,12,0.02,9,0.29,<5,1.5,<10,65.3,0.04,10,<10,7.1,18,20.2,-,-,-
Tannenberg,TR2503150,24-Dec-25,06-Feb-26,,PAL00967,Core,Drill Core,Drillhole,TR2503150     151             384,24-Dec-25,06-Feb-26,TR2503150,TR2503150     151             384,,0.37,0.37,0.37,500.0,76.20,23.80,381.0,119.0,20.0,85.00,15.00,17.0,3.0,<2,ICP40B,2,10,3.68,ICP40B,0.01,15,96,ICP40B,3,10000,138,ICP40B,1,10000,0.6,ICP40B,0.5,2500,<5,ICP40B,5,10000,1.37,ICP40B,0.01,15,<1,ICP40B,1,10000,22,ICP40B,1,10000,9,ICP40B,1,10000,723,ICP40B,0.5,10000,0.85,ICP40B,0.01,15,1.26,ICP40B,0.01,15,6.5,ICP40B,0.5,10000,173,ICP40B,1,10000,0.63,ICP40B,0.01,15,1069,ICP40B,2,10000,<1,ICP40B,1,10000,0.62,ICP40B,0.01,15,12,ICP40B,1,10000,0.02,ICP40B,0.01,15,7,ICP40B,2,10000,0.25,ICP40B,0.01,5,<5,ICP40B,5,10000,1.4,ICP40B,0.5,10000,<10,ICP40B,10,10000,55.9,ICP40B,0.5,5000,0.05,ICP40B,0.01,15,10,ICP40B,2,10000,<10,ICP40B,10,10000,5.9,ICP40B,0.5,10000,19,ICP40B,1,10000,21.9,ICP40B,0.5,10000,,AAS42S,5,500,,AAS42S,0.001,50,,AAS42S,0.001,5,PAL00967,0.37,0.37,500.0,76.20,23.80,381.0,119.0,20.0,85.00,15.00,17.0,3.0,<2,3.68,96,138,0.6,<5,1.37,<1,22,9,723,0.85,1.26,6.5,173,0.63,1069,<1,0.62,12,0.02,7,0.25,<5,1.4,<10,55.9,0.05,10,<10,5.9,19,21.9,-,-,-
Tannenberg,TR2503150,24-Dec-25,06-Feb-26,,PAL00968,Core,Drill Core,Drillhole,TR2503150     151             384,24-Dec-25,06-Feb-26,TR2503150,TR2503150     151             384,,0.37,0.37,0.37,,,,,,,,,,,<2,ICP40B,2,10,4.11,ICP40B,0.01,15,72,ICP40B,3,10000,146,ICP40B,1,10000,0.7,ICP40B,0.5,2500,<5,ICP40B,5,10000,1.51,ICP40B,0.01,15,<1,ICP40B,1,10000,25,ICP40B,1,10000,10,ICP40B,1,10000,876,ICP40B,0.5,10000,0.81,ICP40B,0.01,15,1.37,ICP40B,0.01,15,9.1,ICP40B,0.5,10000,216,ICP40B,1,10000,0.72,ICP40B,0.01,15,1254,ICP40B,2,10000,<1,ICP40B,1,10000,0.73,ICP40B,0.01,15,13,ICP40B,1,10000,0.03,ICP40B,0.01,15,8,ICP40B,2,10000,0.22,ICP40B,0.01,5,<5,ICP40B,5,10000,1.7,ICP40B,0.5,10000,<10,ICP40B,10,10000,56.1,ICP40B,0.5,5000,0.05,ICP40B,0.01,15,12,ICP40B,2,10000,<10,ICP40B,10,10000,7.0,ICP40B,0.5,10000,22,ICP40B,1,10000,24.9,ICP40B,0.5,10000,,AAS42S,5,500,,AAS42S,0.001,50,,AAS42S,0.001,5,PAL00968,0.37,0.37,-,-,-,-,-,-,-,-,-,-,<2,4.11,72,146,0.7,<5,1.51,<1,25,10,876,0.81,1.37,9.1,216,0.72,1254,<1,0.73,13,0.03,8,0.22,<5,1.7,<10,56.1,0.05,12,<10,7.0,22,24.9,-,-,-
Tannenberg,TR2503150,24-Dec-25,06-Feb-26,,PAL00969,Core,Drill Core,Drillhole,TR2503150     151             384,24-Dec-25,06-Feb-26,TR2503150,TR2503150     151             384,,0.39,0.39,0.39,,,,,,,,,,,<2,ICP40B,2,10,4.76,ICP40B,0.01,15,75,ICP40B,3,10000,162,ICP40B,1,10000,0.8,ICP40B,0.5,2500,<5,ICP40B,5,10000,0.98,ICP40B,0.01,15,<1,ICP40B,1,10000,28,ICP40B,1,10000,11,ICP40B,1,10000,522,ICP40B,0.5,10000,0.76,ICP40B,0.01,15,1.55,ICP40B,0.01,15,8.6,ICP40B,0.5,10000,285,ICP40B,1,10000,0.53,ICP40B,0.01,15,823,ICP40B,2,10000,<1,ICP40B,1,10000,0.79,ICP40B,0.01,15,13,ICP40B,1,10000,0.03,ICP40B,0.01,15,7,ICP40B,2,10000,0.20,ICP40B,0.01,5,<5,ICP40B,5,10000,1.6,ICP40B,0.5,10000,<10,ICP40B,10,10000,63.5,ICP40B,0.5,5000,0.05,ICP40B,0.01,15,12,ICP40B,2,10000,<10,ICP40B,10,10000,6.3,ICP40B,0.5,10000,13,ICP40B,1,10000,24.2,ICP40B,0.5,10000,,AAS42S,5,500,,AAS42S,0.001,50,,AAS42S,0.001,5,PAL00969,0.39,0.39,-,-,-,-,-,-,-,-,-,-,<2,4.76,75,162,0.8,<5,0.98,<1,28,11,522,0.76,1.55,8.6,285,0.53,823,<1,0.79,13,0.03,7,0.20,<5,1.6,<10,63.5,0.05,12,<10,6.3,13,24.2,-,-,-
