fid,HoleID,From,To,SampleID,Length_mm,Cu_pc,mid_x,mid_y,mid_z,PROJECTCOD,PNTPROSPC,HOLEID,SAMPLEID,SAMPLETYPE,SapSubType,Point_Type,SF_Observe,WGS84_CALX,WGS84_CALY,WGS84_CALZ,CoordSurv,SurvInstr,SampleDate,SAMPLEDBY,Lith1,Lith2,LT_Color1,LT_Color2,Lith_Desc,Alt_Assbl1,Alt1,Alt2,Alt3,Alt_Desc,MN_Miner_1,MN_Miner_2,MN_Miner_3,Min_Desc,Lab_L_D,Dsptch_L_D,SmpDspDate,Labjobno,SmpRetDate,AnalysisLD,GenerMeth,SampWt_g_D,RecvdWt_g,Ag_ppm,Ag_ppm_GMD,Ag_ppm_LDD,Ag_ppm_UDD,Co_ppm,Co_ppm_GMD,Co_ppm_LDD,Co_ppm_UDD,Cu_ppm,Cu_ppm_GMD,Cu_ppm_LDD,Cu_ppm_UDD,Fe_pct,Fe_pct_GMD,Fe_pct_LDD,Fe_pct_UDD,Ni_ppm,Ni_ppm_GMD,Ni_ppm_LDD,Ni_ppm_UDD,Pb_ppm,Pb_ppm_GMD,Pb_ppm_LDD,Pb_ppm_UDD,Zn_ppm,Zn_ppm_GMD,Zn_ppm_LDD,Zn_ppm_UDD
1,Ro15,283.9,284.04,16819,14,0.013,4348595.4,5647200.43,-12.59314485,Tannenberg Copper Project,,Ro15,16819,Core,Drill Core,Drillhole,,9.8443325,50.940173,-12.59314485,Downhole Survey,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,56,,,,130,,,,0.94,,,,71,,,,34,,,,41,,,
2,Ro15,284.37,284.5,16816,13,0.023,4348595.4,5647200.43,-13.05814485,Tannenberg Copper Project,,Ro15,16816,Core,Drill Core,Drillhole,,9.8443325,50.940173,-13.05814485,Downhole Survey,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,61,,,,228,,,,0.84,,,,67,,,,34,,,,35,,,
3,Ro17,477.94,478,,60,0.027,4348766.65,5646242.45,-173.1567081,Tannenberg Copper Project,,Ro17,,Core,Drill Core,Drillhole,,9.8471647,50.9316127,-173.1567081,Downhole Survey,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,269,,,,,,,,,,,,83,,,,37,,,
4,Ro17,478,478.13,,130,0.048,4348766.65,5646242.45,-173.2517081,Tannenberg Copper Project,,Ro17,,Core,Drill Core,Drillhole,,9.8471647,50.9316127,-173.2517081,Downhole Survey,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,480,,,,,,,,,,,,71,,,,37,,,
5,Ro17,478.48,478.56,,80,0.022,4348766.65,5646242.45,-173.7067081,Tannenberg Copper Project,,Ro17,,Core,Drill Core,Drillhole,,9.8471647,50.9316127,-173.7067081,Downhole Survey,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,220,,,,,,,,,,,,60,,,,36,,,
6,Ro17,478.56,478.63,,70,0.031,4348766.65,5646242.45,-173.7817081,Tannenberg Copper Project,,Ro17,,Core,Drill Core,Drillhole,,9.8471647,50.9316127,-173.7817081,Downhole Survey,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,308,,,,,,,,,,,,60,,,,41,,,
7,Ro17,478.63,478.75,,120,0.032,4348766.65,5646242.45,-173.8767081,Tannenberg Copper Project,,Ro17,,Core,Drill Core,Drillhole,,9.8471647,50.9316127,-173.8767081,Downhole Survey,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,322,,,,,,,,,,,,60,,,,38,,,
8,Ro17,478.75,478.8,,50,0.035,4348766.65,5646242.45,-173.9617081,Tannenberg Copper Project,,Ro17,,Core,Drill Core,Drillhole,,9.8471647,50.9316127,-173.9617081,Downhole Survey,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,349,,,,,,,,,,,,60,,,,40,,,
9,Ro17,478.8,478.9,,100,0.037,4348766.65,5646242.45,-174.0367081,Tannenberg Copper Project,,Ro17,,Core,Drill Core,Drillhole,,9.8471647,50.9316127,-174.0367081,Downhole Survey,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,372,,,,,,,,,,,,60,,,,47,,,
10,Ro17,478.9,479,,100,0.055,4348766.65,5646242.45,-174.1367081,Tannenberg Copper Project,,Ro17,,Core,Drill Core,Drillhole,,9.8471647,50.9316127,-174.1367081,Downhole Survey,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,549,,,,,,,,,,,,83,,,,48,,,
11,Ro17,479.61,479.71,,100,0.069,4348766.65,5646242.45,-174.8467081,Tannenberg Copper Project,,Ro17,,Core,Drill Core,Drillhole,,9.8471647,50.9316127,-174.8467081,Downhole Survey,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,687,,,,,,,,,,,,60,,,,78,,,
12,Ro17,480,480.11,,110,0.018,4348766.65,5646242.45,-175.2417081,Tannenberg Copper Project,,Ro17,,Core,Drill Core,Drillhole,,9.8471647,50.9316127,-175.2417081,Downhole Survey,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,179,,,,,,,,,,,,60,,,,75,,,
13,Ro17,480.8,480.89,,90,0.021,4348766.65,5646242.45,-176.0317081,Tannenberg Copper Project,,Ro17,,Core,Drill Core,Drillhole,,9.8471647,50.9316127,-176.0317081,Downhole Survey,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,209,,,,,,,,,,,,80,,,,127,,,
14,Ro17,480.89,481,,110,0.027,4348766.65,5646242.45,-176.1317081,Tannenberg Copper Project,,Ro17,,Core,Drill Core,Drillhole,,9.8471647,50.9316127,-176.1317081,Downhole Survey,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,273,,,,,,,,,,,,92,,,,184,,,
15,Ro17,482.05,482.06,,10,2.441,4348766.65,5646242.45,-177.2417081,Tannenberg Copper Project,,Ro17,,Core,Drill Core,Drillhole,,9.8471647,50.9316127,-177.2417081,Downhole Survey,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,24409,,,,,,,,,,,,105,,,,167,,,
16,Ro17,483.94,483.98,,40,0.002,4348766.65,5646242.45,-179.1467081,Tannenberg Copper Project,,Ro17,,Core,Drill Core,Drillhole,,9.8471647,50.9316127,-179.1467081,Downhole Survey,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,16,,,,,,,,,,,,55,,,,17,,,
17,Ro17,483.98,484.18,,200,0.002,4348766.65,5646242.45,-179.2667081,Tannenberg Copper Project,,Ro17,,Core,Drill Core,Drillhole,,9.8471647,50.9316127,-179.2667081,Downhole Survey,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,18,,,,,,,,,,,,43,,,,20,,,
18,Ro16,402.09,402.13,17834,40,0.024,4348603.83,5646669.52,-111.3519818,Tannenberg Copper Project,,Ro16,17834,Core,Drill Core,Drillhole,,9.8446729,50.9354062,-111.3519818,Downhole Survey,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,237,,,,,,,,,,,,57,,,,41,,,
19,Ro16,403,403.1,17833,100,0.022,4348603.83,5646669.52,-112.2919818,Tannenberg Copper Project,,Ro16,17833,Core,Drill Core,Drillhole,,9.8446729,50.9354062,-112.2919818,Downhole Survey,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,219,,,,,,,,,,,,43,,,,40,,,
20,Ro16,403.1,403.16,17832,60,0.029,4348603.83,5646669.52,-112.3719818,Tannenberg Copper Project,,Ro16,17832,Core,Drill Core,Drillhole,,9.8446729,50.9354062,-112.3719818,Downhole Survey,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,289,,,,,,,,,,,,57,,,,35,,,
21,Ro16,403.16,403.21,17831,50,0.341,4348603.83,5646669.52,-112.4269818,Tannenberg Copper Project,,Ro16,17831,Core,Drill Core,Drillhole,,9.8446729,50.9354062,-112.4269818,Downhole Survey,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,3406,,,,,,,,,,,,540,,,,43,,,
22,Ro16,403.21,403.3,17830,90,0.074,4348603.83,5646669.52,-112.4969818,Tannenberg Copper Project,,Ro16,17830,Core,Drill Core,Drillhole,,9.8446729,50.9354062,-112.4969818,Downhole Survey,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,737,,,,,,,,,,,,57,,,,39,,,
23,Ro16,403.3,403.37,17828,70,0.027,4348603.83,5646669.52,-112.5769818,Tannenberg Copper Project,,Ro16,17828,Core,Drill Core,Drillhole,,9.8446729,50.9354062,-112.5769818,Downhole Survey,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,273,,,,,,,,,,,,71,,,,42,,,
24,Ro16,403.37,403.53,17827,160,0.023,4348603.83,5646669.52,-112.6919818,Tannenberg Copper Project,,Ro16,17827,Core,Drill Core,Drillhole,,9.8446729,50.9354062,-112.6919818,Downhole Survey,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,225,,,,,,,,,,,,142,,,,37,,,
25,Ro16,403.53,403.57,17826,40,0.183,4348603.83,5646669.52,-112.7919818,Tannenberg Copper Project,,Ro16,17826,Core,Drill Core,Drillhole,,9.8446729,50.9354062,-112.7919818,Downhole Survey,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,1833,,,,,,,,,,,,128,,,,44,,,
26,Ro16,403.57,403.7,17825,130,0.008,4348603.83,5646669.52,-112.8769818,Tannenberg Copper Project,,Ro16,17825,Core,Drill Core,Drillhole,,9.8446729,50.9354062,-112.8769818,Downhole Survey,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,76,,,,,,,,,,,,128,,,,43,,,
27,Ro16,404.24,404.64,17824,400,0.003,4348603.83,5646669.52,-113.6819818,Tannenberg Copper Project,,Ro16,17824,Core,Drill Core,Drillhole,,9.8446729,50.9354062,-113.6819818,Downhole Survey,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,34,,,,,,,,,,,,128,,,,39,,,
28,Ro16,404.64,405,17823,360,0.004,4348603.83,5646669.52,-114.0619818,Tannenberg Copper Project,,Ro16,17823,Core,Drill Core,Drillhole,,9.8446729,50.9354062,-114.0619818,Downhole Survey,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,44,,,,,,,,,,,,128,,,,46,,,
29,Ro16,405,405.26,17822,260,0.004,4348603.83,5646669.52,-114.3719818,Tannenberg Copper Project,,Ro16,17822,Core,Drill Core,Drillhole,,9.8446729,50.9354062,-114.3719818,Downhole Survey,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,42,,,,,,,,,,,,114,,,,46,,,
30,Ro16,405.26,405.45,17821,190,0.004,4348603.83,5646669.52,-114.5969818,Tannenberg Copper Project,,Ro16,17821,Core,Drill Core,Drillhole,,9.8446729,50.9354062,-114.5969818,Downhole Survey,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,36,,,,,,,,,,,,114,,,,43,,,
31,Ro16,405.45,405.75,17820,300,0.002,4348603.83,5646669.52,-114.8419818,Tannenberg Copper Project,,Ro16,17820,Core,Drill Core,Drillhole,,9.8446729,50.9354062,-114.8419818,Downhole Survey,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,22,,,,,,,,,,,,114,,,,35,,,
32,Ro16,405.75,405.96,17819,210,0.003,4348603.83,5646669.52,-115.0969818,Tannenberg Copper Project,,Ro16,17819,Core,Drill Core,Drillhole,,9.8446729,50.9354062,-115.0969818,Downhole Survey,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,26,,,,,,,,,,,,100,,,,75,,,
33,Ro16,405.96,406.25,17818,290,0.003,4348603.83,5646669.52,-115.3469818,Tannenberg Copper Project,,Ro16,17818,Core,Drill Core,Drillhole,,9.8446729,50.9354062,-115.3469818,Downhole Survey,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,30,,,,,,,,,,,,100,,,,45,,,
34,Ro16,406.25,406.34,,90,0.003,4348603.83,5646669.52,-115.5369818,Tannenberg Copper Project,,Ro16,,Core,Drill Core,Drillhole,,9.8446729,50.9354062,-115.5369818,Downhole Survey,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,28,,,,,,,,,,,,114,,,,46,,,
35,Ro16,406.34,406.37,,30,0.002,4348603.83,5646669.52,-115.5969818,Tannenberg Copper Project,,Ro16,,Core,Drill Core,Drillhole,,9.8446729,50.9354062,-115.5969818,Downhole Survey,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,18,,,,,,,,,,,,114,,,,58,,,
36,Ro16,406.37,406.44,,70,0.003,4348603.83,5646669.52,-115.6469818,Tannenberg Copper Project,,Ro16,,Core,Drill Core,Drillhole,,9.8446729,50.9354062,-115.6469818,Downhole Survey,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,28,,,,,,,,,,,,114,,,,52,,,
37,Ro16,406.44,406.62,17816,180,0.002,4348603.83,5646669.52,-115.7719818,Tannenberg Copper Project,,Ro16,17816,Core,Drill Core,Drillhole,,9.8446729,50.9354062,-115.7719818,Downhole Survey,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,22,,,,,,,,,,,,114,,,,61,,,
38,Ro16,406.62,406.64,,20,0.004,4348603.83,5646669.52,-115.8719818,Tannenberg Copper Project,,Ro16,,Core,Drill Core,Drillhole,,9.8446729,50.9354062,-115.8719818,Downhole Survey,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,40,,,,,,,,,,,,114,,,,70,,,
39,Ro16,406.64,406.88,,240,0.004,4348603.83,5646669.52,-116.0019818,Tannenberg Copper Project,,Ro16,,Core,Drill Core,Drillhole,,9.8446729,50.9354062,-116.0019818,Downhole Survey,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,36,,,,,,,,,,,,114,,,,62,,,
40,Ro16,406.88,407.22,17814,400,0.005,4348603.83,5646669.52,-116.2919818,Tannenberg Copper Project,,Ro16,17814,Core,Drill Core,Drillhole,,9.8446729,50.9354062,-116.2919818,Downhole Survey,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,46,,,,,,,,,,,,114,,,,52,,,
41,Ro16,407.22,407.7,17813,480,0.003,4348603.83,5646669.52,-116.7019818,Tannenberg Copper Project,,Ro16,17813,Core,Drill Core,Drillhole,,9.8446729,50.9354062,-116.7019818,Downhole Survey,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,34,,,,,,,,,,,,114,,,,60,,,
42,Ro16,407.7,408,17812,300,0.004,4348603.83,5646669.52,-117.0919818,Tannenberg Copper Project,,Ro16,17812,Core,Drill Core,Drillhole,,9.8446729,50.9354062,-117.0919818,Downhole Survey,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,36,,,,,,,,,,,,114,,,,73,,,
43,Ro16,408,408.09,17811,90,0.042,4348603.83,5646669.52,-117.2869818,Tannenberg Copper Project,,Ro16,17811,Core,Drill Core,Drillhole,,9.8446729,50.9354062,-117.2869818,Downhole Survey,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,424,,,,,,,,,,,,114,,,,46,,,
44,Ro16,408.09,408.12,,30,0.005,4348603.83,5646669.52,-117.3469818,Tannenberg Copper Project,,Ro16,,Core,Drill Core,Drillhole,,9.8446729,50.9354062,-117.3469818,Downhole Survey,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,48,,,,,,,,,,,,185,,,,249,,,
45,Ro16,408.12,408.15,,30,0.005,4348603.83,5646669.52,-117.3769818,Tannenberg Copper Project,,Ro16,,Core,Drill Core,Drillhole,,9.8446729,50.9354062,-117.3769818,Downhole Survey,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,50,,,,,,,,,,,,185,,,,116,,,
46,Ro16,408.15,408.3,17809,150,0.009,4348603.83,5646669.52,-117.4669818,Tannenberg Copper Project,,Ro16,17809,Core,Drill Core,Drillhole,,9.8446729,50.9354062,-117.4669818,Downhole Survey,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,90,,,,,,,,,,,,100,,,,34,,,
47,Ro16,408.3,408.57,17808,270,0.001,4348603.83,5646669.52,-117.6769818,Tannenberg Copper Project,,Ro16,17808,Core,Drill Core,Drillhole,,9.8446729,50.9354062,-117.6769818,Downhole Survey,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,10,,,,,,,,,,,,71,,,,35,,,
48,Ro16,408.57,408.66,17807,90,0.002,4348603.83,5646669.52,-117.8569818,Tannenberg Copper Project,,Ro16,17807,Core,Drill Core,Drillhole,,9.8446729,50.9354062,-117.8569818,Downhole Survey,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,20,,,,,,,,,,,,71,,,,54,,,
49,Ro16,408.66,409,17806,340,0.001,4348603.83,5646669.52,-118.0719818,Tannenberg Copper Project,,Ro16,17806,Core,Drill Core,Drillhole,,9.8446729,50.9354062,-118.0719818,Downhole Survey,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,6,,,,,,,,,,,,57,,,,35,,,
50,Ro16,409,409.46,17805,460,0.002,4348603.83,5646669.52,-118.4719818,Tannenberg Copper Project,,Ro16,17805,Core,Drill Core,Drillhole,,9.8446729,50.9354062,-118.4719818,Downhole Survey,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,16,,,,,,,,,,,,57,,,,39,,,
51,Ro16,409.72,410,17804,280,0.001,4348603.83,5646669.52,-119.1019818,Tannenberg Copper Project,,Ro16,17804,Core,Drill Core,Drillhole,,9.8446729,50.9354062,-119.1019818,Downhole Survey,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,12,,,,,,,,,,,,43,,,,33,,,
52,Ro16,410,410.31,17803,310,0.001,4348603.83,5646669.52,-119.3969818,Tannenberg Copper Project,,Ro16,17803,Core,Drill Core,Drillhole,,9.8446729,50.9354062,-119.3969818,Downhole Survey,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,8,,,,,,,,,,,,43,,,,37,,,
53,Ro16,410.31,410.63,17802,320,0,4348603.83,5646669.52,-119.7119818,Tannenberg Copper Project,,Ro16,17802,Core,Drill Core,Drillhole,,9.8446729,50.9354062,-119.7119818,Downhole Survey,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,4,,,,,,,,,,,,29,,,,33,,,
54,Ro16,410.73,410.93,17801,200,0,4348603.83,5646669.52,-120.0719818,Tannenberg Copper Project,,Ro16,17801,Core,Drill Core,Drillhole,,9.8446729,50.9354062,-120.0719818,Downhole Survey,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,4,,,,,,,,,,,,29,,,,37,,,
55,Rohrbach,518.72,518.86,18310,140,0.021,4339608.76,5643831.92,-291.8513754,Tannenberg Copper Project,,Rohrbach,18310,Core,Drill Core,Drillhole,,9.7180577,50.9074886,-291.8513754,Downhole Survey,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,209,,,,,,,,,,,,33,,,,76,,,
56,Rohrbach,518.86,518.98,18309,120,0.023,4339608.76,5643831.92,-291.9813754,Tannenberg Copper Project,,Rohrbach,18309,Core,Drill Core,Drillhole,,9.7180577,50.9074886,-291.9813754,Downhole Survey,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,232,,,,,,,,,,,,92,,,,86,,,
57,Rohrbach,522.78,522.8,18248,20,0.1,4339608.76,5643831.92,-295.8513754,Tannenberg Copper Project,,Rohrbach,18248,Core,Drill Core,Drillhole,,9.7180577,50.9074886,-295.8513754,Downhole Survey,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,1000,,,,,,,,,,,,100,,,,130,,,
58,Rohrbach,524,524.19,18246,190,0.709,4339608.76,5643831.92,-297.1563754,Tannenberg Copper Project,,Rohrbach,18246,Core,Drill Core,Drillhole,,9.7180577,50.9074886,-297.1563754,Downhole Survey,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,7090,,,,,,,,,,,,127,,,,780,,,
59,Rohrbach,524.19,524.36,18245,170,0.178,4339608.76,5643831.92,-297.3363754,Tannenberg Copper Project,,Rohrbach,18245,Core,Drill Core,Drillhole,,9.7180577,50.9074886,-297.3363754,Downhole Survey,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,1780,,,,,,,,,,,,64,,,,180,,,
60,Rohrbach,524.36,524.46,18244,100,0.025,4339608.76,5643831.92,-297.4713754,Tannenberg Copper Project,,Rohrbach,18244,Core,Drill Core,Drillhole,,9.7180577,50.9074886,-297.4713754,Downhole Survey,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,251,,,,,,,,,,,,54,,,,69,,,
61,Rohrbach,524.46,524.75,18243,290,0.081,4339608.76,5643831.92,-297.6663754,Tannenberg Copper Project,,Rohrbach,18243,Core,Drill Core,Drillhole,,9.7180577,50.9074886,-297.6663754,Downhole Survey,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,810,,,,,,,,,,,,36,,,,90,,,
62,Rohrbach,524.75,525,18242,250,0.005,4339608.76,5643831.92,-297.9363754,Tannenberg Copper Project,,Rohrbach,18242,Core,Drill Core,Drillhole,,9.7180577,50.9074886,-297.9363754,Downhole Survey,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,50,,,,,,,,,,,,27,,,,12,,,
63,Quentel,403,403.08,19106,80,0.001,4336188.92,5676848.21,-26.07333548,Tannenberg Copper Project,,Quentel,19106,Core,Drill Core,Drillhole,,9.6545396,51.2030598,-26.07333548,Downhole Survey,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,7,,,,,,,,,,,,28,,,,55,,,
64,Quentel,403.08,403.44,19107,360,0.001,4336188.92,5676848.21,-26.29333548,Tannenberg Copper Project,,Quentel,19107,Core,Drill Core,Drillhole,,9.6545396,51.2030598,-26.29333548,Downhole Survey,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,7,,,,,,,,,,,,28,,,,27,,,
65,Quentel,403.44,404.23,19108,790,0.001,4336188.92,5676848.21,-26.86833548,Tannenberg Copper Project,,Quentel,19108,Core,Drill Core,Drillhole,,9.6545396,51.2030598,-26.86833548,Downhole Survey,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,7,,,,,,,,,,,,28,,,,51,,,
66,Quentel,404.23,406,19109,1770,0.001,4336188.92,5676848.21,-28.14833548,Tannenberg Copper Project,,Quentel,19109,Core,Drill Core,Drillhole,,9.6545396,51.2030598,-28.14833548,Downhole Survey,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,7,,,,,,,,,,,,207,,,,88,,,
67,Quentel,406,406.13,19110,130,0.001,4336188.92,5676848.21,-29.09833548,Tannenberg Copper Project,,Quentel,19110,Core,Drill Core,Drillhole,,9.6545396,51.2030598,-29.09833548,Downhole Survey,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,7,,,,,,,,,,,,56,,,,144,,,
68,Quentel,406.13,407.2,19111,1070,0.001,4336188.92,5676848.21,-29.69833548,Tannenberg Copper Project,,Quentel,19111,Core,Drill Core,Drillhole,,9.6545396,51.2030598,-29.69833548,Downhole Survey,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,9,,,,,,,,,,,,70,,,,407,,,
69,Quentel,407.2,408,19112,800,0.001,4336188.92,5676848.21,-30.63333548,Tannenberg Copper Project,,Quentel,19112,Core,Drill Core,Drillhole,,9.6545396,51.2030598,-30.63333548,Downhole Survey,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,11,,,,,,,,,,,,42,,,,249,,,
70,Quentel,408,408.45,19113,450,0.002,4336188.92,5676848.21,-31.25833548,Tannenberg Copper Project,,Quentel,19113,Core,Drill Core,Drillhole,,9.6545396,51.2030598,-31.25833548,Downhole Survey,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,16,,,,,,,,,,,,0,,,,375,,,
71,Quentel,408.45,409,19114,550,0.001,4336188.92,5676848.21,-31.75833548,Tannenberg Copper Project,,Quentel,19114,Core,Drill Core,Drillhole,,9.6545396,51.2030598,-31.75833548,Downhole Survey,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,11,,,,,,,,,,,,28,,,,92,,,
72,Quentel,409,409.32,19115,320,0.001,4336188.92,5676848.21,-32.19333548,Tannenberg Copper Project,,Quentel,19115,Core,Drill Core,Drillhole,,9.6545396,51.2030598,-32.19333548,Downhole Survey,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,11,,,,,,,,,,,,70,,,,53,,,
73,Quentel,409.32,410,19116,680,0.001,4336188.92,5676848.21,-32.69333548,Tannenberg Copper Project,,Quentel,19116,Core,Drill Core,Drillhole,,9.6545396,51.2030598,-32.69333548,Downhole Survey,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,13,,,,,,,,,,,,83,,,,255,,,
74,Quentel,410,410.43,19117,430,0.001,4336188.92,5676848.21,-33.24833548,Tannenberg Copper Project,,Quentel,19117,Core,Drill Core,Drillhole,,9.6545396,51.2030598,-33.24833548,Downhole Survey,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,9,,,,,,,,,,,,56,,,,287,,,
75,Quentel,410.43,411,19118,570,0.001,4336188.92,5676848.21,-33.74833548,Tannenberg Copper Project,,Quentel,19118,Core,Drill Core,Drillhole,,9.6545396,51.2030598,-33.74833548,Downhole Survey,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,11,,,,,,,,,,,,70,,,,298,,,
76,Quentel,411,411.31,19119,310,0.004,4336188.92,5676848.21,-34.18833548,Tannenberg Copper Project,,Quentel,19119,Core,Drill Core,Drillhole,,9.6545396,51.2030598,-34.18833548,Downhole Survey,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,39,,,,,,,,,,,,83,,,,168,,,
77,Quentel,411.31,411.81,19120,500,0.004,4336188.92,5676848.21,-34.59333548,Tannenberg Copper Project,,Quentel,19120,Core,Drill Core,Drillhole,,9.6545396,51.2030598,-34.59333548,Downhole Survey,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,35,,,,,,,,,,,,97,,,,320,,,
78,Quentel,411.81,412,19121,190,0.001,4336188.92,5676848.21,-34.93833548,Tannenberg Copper Project,,Quentel,19121,Core,Drill Core,Drillhole,,9.6545396,51.2030598,-34.93833548,Downhole Survey,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,9,,,,,,,,,,,,0,,,,86,,,
79,Quentel,412,412.91,19122,910,0.001,4336188.92,5676848.21,-35.48833548,Tannenberg Copper Project,,Quentel,19122,Core,Drill Core,Drillhole,,9.6545396,51.2030598,-35.48833548,Downhole Survey,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,11,,,,,,,,,,,,56,,,,78,,,
80,Quentel,412.91,413.43,19123,520,0.001,4336188.92,5676848.21,-36.20333548,Tannenberg Copper Project,,Quentel,19123,Core,Drill Core,Drillhole,,9.6545396,51.2030598,-36.20333548,Downhole Survey,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,13,,,,,,,,,,,,70,,,,77,,,
81,Quentel,413.43,414,19124,570,0.001,4336188.92,5676848.21,-36.74833548,Tannenberg Copper Project,,Quentel,19124,Core,Drill Core,Drillhole,,9.6545396,51.2030598,-36.74833548,Downhole Survey,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,13,,,,,,,,,,,,83,,,,126,,,
