fid,HoleID,From,To,SampleID,Length_mm,Cu_pc,mid_x,mid_y,mid_z,PROJECTCOD,PNTPROSPC,HOLEID,SAMPLEID,SAMPLETYPE,SapSubType,Point_Type,SF_Observe,WGS84_CALX,WGS84_CALY,WGS84_CALZ,CoordSurv,SurvInstr,SampleDate,SAMPLEDBY,Lith1,Lith2,LT_Color1,LT_Color2,Lith_Desc,Alt_Assbl1,Alt1,Alt2,Alt3,Alt_Desc,MN_Miner_1,MN_Miner_2,MN_Miner_3,Min_Desc,Lab_L_D,Dsptch_L_D,SmpDspDate,Labjobno,SmpRetDate,AnalysisLD,GenerMeth,SampWt_g_D,RecvdWt_g,Ag_ppm,Ag_ppm_GMD,Ag_ppm_LDD,Ag_ppm_UDD,Co_ppm,Co_ppm_GMD,Co_ppm_LDD,Co_ppm_UDD,Cu_ppm,Cu_ppm_GMD,Cu_ppm_LDD,Cu_ppm_UDD,Fe_pct,Fe_pct_GMD,Fe_pct_LDD,Fe_pct_UDD,Ni_ppm,Ni_ppm_GMD,Ni_ppm_LDD,Ni_ppm_UDD,Pb_ppm,Pb_ppm_GMD,Pb_ppm_LDD,Pb_ppm_UDD,Zn_ppm,Zn_ppm_GMD,Zn_ppm_LDD,Zn_ppm_UDD
216,Ro17,475.166,475.24,,74,0.013,4348766.65,5646242.45,-170.3897081,Tannenberg Copper Project,,Ro17,,Core,Drill Core,Drillhole,,9.8471647,50.9316127,-170.3897081,Downhole Survey,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,131,,,,,,,,,,,,570,,,,910,,,
217,Ro17,475.24,475.364,,124,0.011,4348766.65,5646242.45,-170.4887081,Tannenberg Copper Project,,Ro17,,Core,Drill Core,Drillhole,,9.8471647,50.9316127,-170.4887081,Downhole Survey,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,112,,,,,,,,,,,,698,,,,734,,,
218,Ro17,475.364,475.519,,155,0.006,4348766.65,5646242.45,-170.6282081,Tannenberg Copper Project,,Ro17,,Core,Drill Core,Drillhole,,9.8471647,50.9316127,-170.6282081,Downhole Survey,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,57,,,,,,,,,,,,512,,,,262,,,
219,Ro17,475.519,475.569,,50,0.007,4348766.65,5646242.45,-170.7307081,Tannenberg Copper Project,,Ro17,,Core,Drill Core,Drillhole,,9.8471647,50.9316127,-170.7307081,Downhole Survey,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,67,,,,,,,,,,,,721,,,,796,,,
220,Ro17,475.569,475.589,,20,0.013,4348766.65,5646242.45,-170.7657081,Tannenberg Copper Project,,Ro17,,Core,Drill Core,Drillhole,,9.8471647,50.9316127,-170.7657081,Downhole Survey,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,129,,,,,,,,,,,,1382,,,,246,,,
221,Ro17,475.589,475.674,,85,0.006,4348766.65,5646242.45,-170.8182081,Tannenberg Copper Project,,Ro17,,Core,Drill Core,Drillhole,,9.8471647,50.9316127,-170.8182081,Downhole Survey,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,64,,,,,,,,,,,,582,,,,215,,,
222,Ro17,475.674,475.769,,95,0.009,4348766.65,5646242.45,-170.9082081,Tannenberg Copper Project,,Ro17,,Core,Drill Core,Drillhole,,9.8471647,50.9316127,-170.9082081,Downhole Survey,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,87,,,,,,,,,,,,802,,,,412,,,
223,Ro17,475.769,475.849,,80,0.01,4348766.65,5646242.45,-170.9957081,Tannenberg Copper Project,,Ro17,,Core,Drill Core,Drillhole,,9.8471647,50.9316127,-170.9957081,Downhole Survey,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,103,,,,,,,,,,,,1393,,,,376,,,
224,Ro17,475.849,476,,151,0.006,4348766.65,5646242.45,-171.1112081,Tannenberg Copper Project,,Ro17,,Core,Drill Core,Drillhole,,9.8471647,50.9316127,-171.1112081,Downhole Survey,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,62,,,,,,,,,,,,1127,,,,319,,,
225,Ro17,477,477.113,,113,0.015,4348766.65,5646242.45,-172.2432081,Tannenberg Copper Project,,Ro17,,Core,Drill Core,Drillhole,,9.8471647,50.9316127,-172.2432081,Downhole Survey,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,149,,,,,,,,,,,,234,,,,44,,,
